;EA;EA2;EA3;EA4;EA5;EA10;EA50;EA100
313;322883;33087;2512;106800;18241;86321;31331;737232
314;71730;77420;48671;235371;44172;37273;254596;65131
315;78070;94012;7253;134250;32530;2547;210865;77205
316;158261;82823;69734;77883;19151;84401;213891;142708
317;232841;55051;153840;124064;136482;171438;8002;370074
318;332977;991279;115502;6495;88166;635404;405776;597574
319;90858;522162;4723;60222;252686;80163;508366;188533
320;10216;71852;54972;32967;71441;108205;33909;572204
321;125556;38510;310317;352088;158483;343065;265805;1189175
322;24671;42031;261;44690;2259;10672;331829;520031
323;647156;66987;8838;175720;241008;114664;746250;2336184
324;813573;213679;20223;215717;16660;1104799;407522;1891464
325;502128;605013;40589;130079;92247;36585;715642;217540
326;72504;194062;63869;291519;36327;66564;688479;70396
327;46661;18791;213639;104268;171173;1211;128758;2105574
328;34138;302120;435681;48913;24233;168372;135061;1100355
329;450921;75304;53899;76748;30740;259410;81680;292088
330;365398;45532;129628;359001;17410;19632;1565820;31005
331;9952;67494;82508;79615;146990;130540;273861;178462
332;33755;302475;85259;386950;111326;280281;95240;565589
333;160701;57870;10827;212474;109131;401949;1070203;588494
334;72173;914301;82953;244471;137075;156097;446413;1368418
335;11860;91174;9231;38148;29714;2379;434931;614640
336;611465;89724;34514;23644;199534;91273;159283;90415
337;51909;72972;59186;61573;48564;62922;178670;237648
338;1512114;132731;52791;202421;158415;161048;455323;1183265
339;72412;43514;131415;33491;186126;11922;116625;1188050
340;80148;2192;52017;73814;56690;5969;2230;458732
341;65843;4413;214629;120827;84512;20621;1378;598279
342;404728;184414;181280;29541;20113;34190;468402;1298646
343;7722;261039;89613;56080;35078;20707;226931;100062
344;549381;64021;119413;220890;222524;85388;1853263;1578969
345;17336;48106;100794;72303;108217;109319;125588;111907
346;264450;3479;65199;34613;84188;17057;156290;617694
347;112479;54711;4696;14537;119621;76854;44872;462396
348;555697;141303;110915;197998;47593;112700;731512;1263043
349;30148;128508;59706;77040;49435;179092;403768;168941
350;444342;225375;231708;330058;21235;247627;223139;51958
