;RLS;RLS-N2;RLS-N3;RLS-N4;RLS-R2;RLS-R3;RLS-R4
338;676;64018;41962;17338;29100;118496;44981
339;fail;41968;411919;65730;282266;81011;308549
340;fail;38953;155367;240054;58776;50666;269943
341;fail;41566;40110;5738;64222;22016;52984
342;11186;167004;32184;43406;55335;57892;44665
343;fail;17570;13950;108318;191035;22119;87288
344;71153;321439;266513;147902;4026;31082;371115
345;8832;8844;39951;310467;22530;23781;31833
346;6295;124868;82554;3691;30091;97721;1774
347;fail;152315;244554;181053;16585;221796;231778
348;fail;25704;319271;89885;11634;96388;161135
349;6930;70721;57349;246696;21688;25537;263398
350;fail;70537;15438;13200;41880;45266;195809
351;125791;64505;42964;8155;10120;70576;34838
352;18896;12218;143042;94661;91705;104205;128614
353;113723;29529;15337;16283;18316;71963;241032
354;fail;332721;56034;301396;70236;21374;131679
355;17825;16887;153587;19918;81435;951;6767
356;fail;68457;62418;190781;49237;5905;22658
357;fail;22519;55185;17251;209151;148846;49834
358;58310;29090;103899;74807;51948;116720;58952
359;52876;60025;26564;273500;37582;101279;94942
360;28980;273813;66903;115116;9188;29419;103368
361;fail;86666;255722;11335;212008;87361;37292
362;19368;89083;94889;7591;469198;8058;40743
363;fail;21737;30437;59906;74229;36320;95937
364;9555;49402;70247;14245;20205;81979;49993
365;fail;45588;116877;174472;4380;145272;77228
366;fail;330927;3221;413173;88786;50713;56220
367;7946;7788;159981;73629;15775;348041;97237
368;10396;45415;14109;143904;19489;25727;3823
369;fail;76524;67631;41236;75340;13637;5349
370;24588;57665;63228;53252;76973;49978;74528
371;7892;53351;75258;61806;18281;123794;80311
372;fail;27891;110806;166113;72958;157210;6980
373;fail;48094;155770;138264;3383;120380;2172
374;382509;40969;12630;71285;61672;53482;65281
375;76103;288347;5136;131501;101046;105696;147043
376;27528;41917;205708;112583;144052;25619;90624
377;63021;3530;170694;161474;122414;139926;9405
378;135603;5437;24808;308;68078;271151;54758
379;fail;54112;86326;169824;94247;17096;34269
380;382;146454;12264;6812;552;11851;85969
381;fail;39328;25852;54081;47697;41984;142572
382;109720;4496;53526;123658;21540;61784;192017
383;111864;45414;27782;62712;26196;86101;196771
384;101761;8707;17471;3311;35131;8342;106021
385;46490;24010;234244;86952;244825;195514;13902
386;20513;45821;160723;47462;148084;28604;315
387;57224;71891;30184;104124;34849;129004;180147
388;78429;23625;91624;3123;20294;42092;55812
389;fail;69044;413878;279332;132428;191714;303023
390;53256;34025;325983;92157;19350;6343;123388
391;4361;22238;59;114435;15799;82959;12477
392;fail;22660;25822;25804;96126;20889;1416
393;fail;129347;121480;34202;56204;130934;36620
394;1560;130078;103124;151133;8672;82280;6561
395;836;23827;25817;77846;13920;54619;1077
396;47472;62840;90286;101831;57227;71670;129459
397;10314;160146;110233;554334;80698;49652;24065
398;122163;53857;2547;159737;77340;67503;261449
399;41227;64686;26579;124602;37608;80527;6304
400;3826;7005;6023;14430;16891;6210;44856
401;54413;152906;77383;39949;86272;7726;172709
402;71339;8253;31197;176419;23106;1106;30874
403;fail;231327;117794;3532;125233;285661;22375
404;94687;36042;122631;37439;9492;45843;6364
405;24984;137616;106752;27898;18884;13350;60192
406;14547;59373;68227;335251;26951;14081;32563
407;fail;86739;9172;42520;485093;103638;44292
408;16002;3420;49974;172982;64509;260232;32022
409;fail;1961;157810;73174;77571;86135;55217
410;8562;49100;136778;38136;87717;143232;70290
411;71399;116059;74291;156071;4521;121055;287923
412;32318;13047;6828;149795;18969;115757;201970
413;fail;2723;269467;73663;18272;57278;855874
414;118065;169496;191061;327401;623528;115099;88580
415;96195;2370;46016;4189;86264;10989;19425
416;47316;7566;29889;271158;15906;60695;49636
417;fail;42947;94357;6821;519586;19990;119257
418;fail;116280;42162;115572;132543;3038;75840
419;fail;16873;68507;201042;1503;215127;383758
420;63900;35864;15135;31929;137596;18571;73515
421;fail;15907;73007;29511;118076;192249;283290
422;59714;7887;100915;123287;29209;54362;103315
423;fail;48551;28055;503157;23586;160395;154233
424;3573;43740;46349;85872;14847;11603;20785
425;fail;260802;101342;396259;8413;17030;45907
426;30448;34826;42282;144568;4359;78752;97798
427;54413;1327;220882;147641;129300;130260;12261
428;fail;34965;161125;290324;124997;63500;192051
429;fail;118517;76280;23944;16687;247936;578901
430;fail;30304;29848;159814;29001;67738;15969
431;110916;452;13942;47754;19430;99677;1099
432;fail;57391;42812;13822;766;142865;59594
433;fail;83418;80072;17754;123127;136613;98916
434;fail;39824;57410;78403;21187;17401;19458
435;fail;142481;154750;170289;85754;27147;47370
436;67225;2460;32995;132390;30841;19996;121275
437;12769;231314;213877;115644;31606;348961;25383
438;14570;14914;83113;21673;146644;1002;10195
439;fail;268028;51181;17059;316655;37107;216711
440;2817;171422;288260;426;35633;10604;70112
441;fail;70900;121614;73862;175442;14156;315415
442;fail;132852;234403;79601;190623;345025;12794
443;fail;89574;20578;21290;130362;65783;192346
444;fail;17359;957;99427;28081;657;14368
445;27764;104210;187435;35536;27428;3217;14902
446;fail;20920;57116;72616;501176;11711;164725
447;95199;34629;66217;27488;99547;27564;25606
448;fail;2703;189924;264667;2561;121306;1097
449;38962;58264;54348;239218;13733;24776;1573
450;fail;28809;20053;208881;30869;79273;95989
451;49446;24931;77855;5907;46759;52974;11512
452;fail;58100;74386;97356;32623;16449;277202
453;fail;320741;94548;24537;1668;86760;183459
454;141162;25028;145513;336498;78002;16834;191660
455;196644;35463;315203;566716;322049;57414;200621
456;1575;46631;102089;222672;120860;2458;22985
457;22373;30455;40513;4153;91127;44963;209940
458;28443;39274;62051;53418;6027;11670;87081
459;fail;107897;199999;32675;13342;13423;33852
460;238543;236300;65505;73466;17946;5516;52996
461;2499;168983;42109;18037;141835;2003;54383
462;53515;7623;5051;112166;13304;79025;106551
463;fail;78108;15160;40230;92839;60349;24572
464;fail;62500;127281;110361;160302;57636;3047
465;fail;70603;21403;39782;2597;369534;28625
466;17044;187113;92918;16883;196003;140824;821211
467;4393;50093;314480;222715;118300;106039;48635
468;fail;61193;5570;305716;146150;64034;35079
469;fail;27254;5737;90159;276497;54318;6705
470;19750;1263;150361;33996;15042;10932;5157
471;4887;8229;5082;182902;96597;5227;22792
472;16025;13837;13073;5346;55141;16933;43123
473;99239;18994;22674;184214;57724;30795;59975
474;32263;76857;331726;6406;143519;370317;75070
475;23562;18978;51474;56101;13508;28387;54881
476;fail;40924;121923;110552;57489;73630;273945
477;9986;24675;9012;27342;89023;100735;33484
478;fail;229357;156365;57258;106185;1307;257795
479;fail;30303;80090;167055;6395;38624;7719
480;fail;27666;56827;172342;94430;81842;49829
481;13420;225194;42998;164801;21352;100710;89933
482;7354;288415;147659;94720;84518;208137;30520
483;96776;156120;54383;139536;42062;15500;72232
484;fail;127650;51693;112709;201945;7001;20616
485;fail;16763;164382;1959;192297;50419;180804
486;fail;171038;55636;143868;24976;139736;65426
487;2296;63780;39256;220333;47425;44896;55771
488;fail;7171;120586;26755;8894;63145;122863
489;24834;10073;138120;750286;48124;42160;26729
490;16943;30383;208990;55183;103046;18458;19460
491;fail;87257;260564;267245;42040;111997;8332
492;11925;112702;84512;16905;9651;79015;60553
493;fail;516594;66682;15352;44293;30012;535534
494;6248;8086;17909;42318;157095;10521;2282
495;fail;13208;47143;26092;3942;769651;16095
496;fail;49542;27969;82939;31525;9183;19346
497;fail;9774;67537;85782;31930;17006;7455
498;fail;25217;33878;78958;51598;9861;104635
499;fail;29395;30708;81874;41708;79614;145399
500;fail;39997;193717;115464;317096;142113;68777
501;3556;22296;44169;14631;9272;98515;1470
502;55384;27722;156898;237875;99598;33037;24905
503;fail;265579;79335;49716;171448;186361;183107
504;fail;64830;434876;24498;86100;70062;53356
505;27031;6442;18732;34079;177451;47426;13249
506;20694;35120;154469;62041;95828;58660;20436
507;24110;100798;79528;32144;27311;51169;133910
508;fail;81284;62182;624526;31348;222137;215663
509;101221;203860;137457;275446;13352;25234;78791
510;26953;176758;19238;32284;47251;75838;18057
511;67620;21713;128202;29457;110500;94526;203035
512;fail;23282;104600;219301;186351;54150;205669
513;fail;94995;201793;61633;20941;39372;230922
514;10508;28229;87407;54912;89141;2385;57559
515;fail;5362;102299;153201;125655;60008;232276
516;fail;94936;299803;149906;119892;393311;111499
517;7903;78982;225345;78355;45657;15842;29545
518;124532;151651;201411;271138;36549;60451;55820
519;12206;3902;92988;42165;155859;16617;112188
520;fail;126520;21305;27433;32709;111321;53952
521;3531;71205;170571;44429;7138;79869;59536
522;6749;19338;108093;18971;14681;35606;51879
523;18807;7290;44179;212763;5701;50638;5307
524;fail;132818;63495;127834;4418;64741;194100
525;fail;356690;434158;109053;91179;58804;69922
526;410;132439;6682;2891;16963;1280;89164
527;fail;85021;132147;992;64977;123540;8461
528;15649;44094;4113;10977;55077;5339;8719
529;68830;409428;71465;21278;47494;6743;18954
530;fail;72049;82720;169325;97770;522565;149271
531;54506;33300;69525;352968;237063;848960;350265
532;fail;286258;13033;33752;75339;56374;115874
533;26967;14170;76516;33440;1258;101428;66186
534;16301;28614;121953;86719;3622;10487;123438
535;27924;12838;109118;28058;29112;67082;34326
536;92353;72304;17633;123461;65507;439084;13253
537;fail;116212;102645;65236;34392;24677;117829
538;41579;63091;80612;27284;121771;4340;29704
539;33487;27394;114099;166305;110842;187467;132819
540;fail;50381;96653;58181;5648;9577;16867
541;59319;180126;132843;306362;41983;80088;58028
542;fail;72046;286197;190064;14359;28866;55353
543;fail;76104;72493;19055;284239;28877;225768
544;fail;43963;101987;499041;59071;36153;9129
545;13703;374678;12851;80226;86740;100175;175635
546;4583;195319;1211069;178349;386644;84015;239265
547;103464;250300;71869;77110;39794;168596;47624
548;109666;10930;63216;23916;50106;7268;24705
549;19812;150919;444707;162095;153689;144088;71673
550;fail;43946;234157;52659;384028;68503;265525
551;53023;174120;174733;124871;261391;186209;60954
552;43503;36018;73679;94073;26352;16607;82205
553;211633;9984;172159;147294;30454;32994;12050
554;270;121808;15135;86528;34363;2592;291597
555;7842;43086;38475;54528;72905;8016;20434
556;fail;27034;169903;336844;229144;103538;93296
557;182154;552045;9030;96318;69706;74769;37433
558;13405;10970;107581;232915;328413;54196;95786
559;3811;65430;119008;105201;190064;83248;10500
560;16009;168572;74136;62538;25086;50277;7258
561;21864;327608;93861;6293;272640;25524;7680
562;fail;118123;350433;151602;777849;8550;86653
563;85591;7970;36799;54962;88211;177481;66275
564;fail;16371;560540;82909;197243;242288;97933
565;34063;16719;11752;6847;259419;50121;15140
566;3174;292802;303462;84492;13260;78703;106155
567;fail;37151;66751;106355;232631;121904;287599
568;38511;21129;176246;57118;185087;22740;122961
569;51737;42175;108411;12828;16444;63780;24318
570;104655;67950;149477;117431;5125;35550;121792
571;fail;62965;39184;84938;97468;2482;150219
572;fail;36094;277983;33348;14294;45705;243247
573;66717;27583;49372;311321;31503;264866;43304
574;fail;101919;54523;113140;181263;137916;278304
575;114965;11150;5939;15049;73733;19040;75885
576;99753;9977;21958;13799;50375;122031;42587
