;RLS-N2;EA4;pmut2.0
877;36039;294477;33130
878;152191;78264;16283
879;12635;26783;48791
880;11447;50948;13151
881;24510;25989;87731
882;56433;36496;148762
883;328499;290065;68660
884;135726;47131;22863
885;212863;21374;663690
886;13629;38610;139368
887;16701;242884;134883
888;208118;29888;372951
889;36882;47850;228843
890;15218;35589;113716
891;3607;74087;1495
892;154449;319352;77193
893;56356;31659;152397
894;108698;8785;48989
895;45607;24230;16117
896;411;60677;231478
897;7059;117066;132006
898;995;12994;160506
899;181572;38577;190897
900;146508;83828;120711
901;264668;127719;15201
902;4480;181464;118916
903;171808;98937;74191
904;100873;23553;48363
905;20933;95818;26893
906;30303;7912;13981
907;82691;55626;163044
908;8646;197127;332706
909;72374;9339;3798
910;577;48442;232773
911;50036;220746;208658
912;3556;59995;114836
913;131187;238933;134880
914;3751;24020;258212
915;16985;89089;14727
916;5291;822;7200
917;108022;74564;57349
918;125961;62241;718270
919;162693;410081;143738
920;32402;18739;115797
921;96028;25109;37643
922;36561;225556;101298
923;57175;181120;83718
924;15935;4993;22613
925;115986;434078;176287
926;76018;72371;40591
927;9251;369971;235851
928;75519;41491;181656
929;9068;42751;21843
930;1472;57372;8730
931;13682;31750;28520
932;28788;71691;97198
933;24404;32307;4368
934;126545;322378;391055
935;292227;248753;163610
936;47334;32894;9994
937;190262;110584;53629
938;56196;54914;76710
939;85126;296053;357569
940;103688;124030;262044
941;402166;68467;230489
942;165254;37619;139003
943;28542;19897;79867
944;144224;263387;73891
945;323300;55436;21142
946;217464;49150;96227
947;188360;332686;81273
948;20794;127690;77927
949;6677;32998;29833
950;178400;48322;59364
951;27701;190471;153014
952;84912;568750;171200
953;14385;165363;101615
954;146906;51318;4381
955;39587;31574;269019
956;12039;180491;663481
957;60077;489224;50093
958;20266;8929;231834
959;185041;461;6617
960;183497;79811;14077
961;17130;47819;37357
962;99035;125277;44219
963;19253;37062;94053
964;32979;43992;65294
965;1973;34220;26599
966;24252;39092;46082
967;110743;51827;32373
968;23544;11810;249140
969;40391;80873;30142
970;26505;350778;41856
971;65020;91901;61935
972;118152;122090;44567
973;4659;63047;43328
974;39019;239250;68748
975;755;96149;16029
976;30106;29184;59366
977;115131;84925;86578
978;58631;43982;30841
979;13851;119190;5757
980;175774;10604;270701
981;180386;6728;24056
982;199505;231371;448499
983;38971;12112;83828
984;129730;6210;109618
985;686;131167;194349
986;69463;202520;69457
987;4944;44993;119400
988;66561;31183;131899
989;57076;17478;66234
990;54515;27683;176209
991;75068;18259;16323
992;22441;22045;18671
