;EA;EA2;EA3;EA4;EA5;EA10;EA50;EA100
514;863;260;410;360;1344;3954;288285;122032
515;423;424;184;1340;1060;4169;86349;136841
516;616;657;1420;559;348;18663;62170;881349
517;357;496;345;319;2195;16566;230363;137362
518;374;476;426;1905;2974;31378;442064;1357
519;770;1107;561;1378;1207;4534;37910;546441
520;740;445;368;933;685;12463;238162;346035
521;632;398;342;378;235;2869;318836;34776
522;322;889;388;477;118;10336;62875;244964
523;454;580;518;258;1860;32229;427744;156989
524;400;306;246;523;902;55876;275693;93412
525;550;1345;839;4052;1133;21762;14936;109239
526;928;168;511;641;880;20312;320941;901139
527;735;362;598;614;1387;5774;120353;32467
528;428;555;375;1386;2555;24296;49372;29975
529;786;258;376;249;623;1210;30962;196437
530;280;270;466;938;381;4005;235878;293621
531;564;301;475;409;1861;35922;19102;73883
532;384;758;609;3785;1718;9397;401002;231170
533;306;816;865;1105;1374;37242;113170;48809
534;782;233;302;739;2330;1152;26139;226807
535;585;825;867;890;1942;3271;89502;69117
536;599;422;588;1658;1095;21194;140106;142740
537;266;303;693;584;527;12980;11279;572130
538;1227;236;1588;1573;845;14928;141808;283273
539;447;202;146;242;1655;9396;520674;501777
540;403;699;757;1223;1791;24495;237939;26651
541;282;588;768;702;1712;32168;64734;18063
542;312;300;479;397;140;9086;4960;216923
543;453;622;391;1212;1745;41031;97685;fail
544;317;78;244;445;1001;6106;344778;15324
545;487;249;624;1824;6638;42594;fail;523913
546;303;391;1559;591;1382;87490;124254;8039
547;374;597;107;2424;1477;22480;318678;510669
548;887;248;471;1128;1892;1123;105526;101521
549;430;503;818;353;1354;23924;466033;67028
550;553;587;542;1385;1319;7221;228479;923
551;522;546;385;932;1695;16518;28061;257395
552;498;384;145;832;1397;8959;162974;34418
553;632;771;318;364;2238;406;67137;258685
554;837;412;523;2269;927;5912;134305;190797
555;650;254;451;1072;2058;116424;51277;217210
556;518;395;496;1184;1897;16016;327695;133611
557;387;628;1096;1219;6340;2420;72835;37028
558;664;565;308;545;217;2833;69274;234776
559;548;456;545;1535;1178;5870;125568;141625
560;908;431;268;1699;452;66971;187854;260295
561;778;451;626;1212;2065;19405;93017;384159
562;388;181;410;455;1665;1742;32971;149054
563;253;609;584;734;1679;13912;191294;168507
564;302;201;562;226;1474;12349;278955;300748
565;802;1849;620;412;7436;27941;fail;167936
566;682;532;561;236;130;14229;181379;47966
567;459;150;454;496;3296;1262;366641;217711
568;568;367;223;906;1230;7419;32200;116361
569;327;437;1266;827;636;27640;74179;15854
570;268;854;368;1640;263;6522;313814;302388
571;143;488;1055;1492;449;22195;16153;332420
572;374;106;142;633;1294;3009;346254;58017
573;801;396;1045;418;1470;20944;19095;208751
574;411;371;217;1011;3061;16410;473670;580895
575;570;328;428;1004;942;23099;162066;6094
576;876;1348;584;1475;1241;15759;390253;95883
577;815;332;1872;555;2458;6048;446752;906730
578;400;378;387;127;958;11050;105799;5960
579;621;570;1094;570;166;4219;4541;83153
580;346;630;398;505;141;493;85818;81323
581;319;447;252;774;539;39068;90300;12352
582;309;404;523;625;1258;3724;89381;36495
583;165;675;398;469;262;868;666710;118046
584;413;844;331;1487;1104;39566;181499;60919
585;575;421;758;1133;289;5833;184323;66193
586;779;708;673;215;740;2742;292986;103515
587;368;499;1160;824;1123;106631;61156;840694
588;797;406;159;1007;997;4932;33932;435172
589;759;797;924;379;2091;121523;4029;228301
590;699;305;290;558;301;6053;155963;25015
591;454;394;348;891;2388;2401;128478;682932
592;1125;248;177;1489;154;17440;63001;34004
593;454;347;779;1656;1149;6141;43102;784511
594;825;394;157;825;169;78136;202338;308266
595;488;229;436;1272;863;90600;131355;66517
596;571;319;765;922;2084;8195;1769;32435
597;255;216;258;687;947;1420;79194;101717
598;570;309;361;603;1093;12091;114384;283154
599;623;377;336;279;2317;2370;43681;172501
600;256;512;414;1415;4755;26893;255630;665078
601;591;585;555;749;529;20883;221904;258671
602;156;735;633;793;883;15226;351867;543247
603;612;269;374;530;1927;64821;194088;341598
604;711;621;1210;382;2439;18717;142435;180588
605;399;610;758;610;1572;24128;191009;44340
606;295;715;1138;958;817;69457;47932;192669
607;955;765;282;879;1264;6938;26297;20054
608;625;632;534;834;6144;12739;394884;624802
609;905;401;721;285;1037;5220;61436;182904
610;462;700;216;838;1059;17074;12327;804538
611;617;686;171;428;515;3601;23591;145988
612;727;623;532;877;831;26301;606654;44025
613;386;640;222;1574;486;78782;18196;550526
614;243;619;1465;1385;2917;22234;348536;343011
615;852;455;1556;3542;1195;110222;7646;868769
616;253;191;674;1375;677;25394;37678;301816
617;320;442;534;749;488;8938;12119;103228
618;404;401;274;826;346;19822;106046;16856
619;585;312;286;477;595;12060;297729;673171
620;709;644;1120;991;521;19186;346062;102524
621;337;646;640;2365;1198;58208;196822;356350
622;584;461;302;2094;3368;24121;79986;94875
