;pmut1.25;pmut1.5;pmut1.75;pmut2.0;pmut2.25;pmut2.5;pmut2.75;pmut3.0;pmut3.25
377;1403;1155;1287;493;952;637;559;298;758
378;1399;727;385;915;360;282;203;177;540
379;1894;756;564;891;562;850;539;353;641
380;1649;2108;1212;710;1135;560;1047;634;375
381;2054;488;231;1188;1051;973;240;681;876
382;2787;1402;628;578;450;1091;374;1341;231
383;2564;1977;419;1053;234;92;722;577;230
384;7291;2990;397;1825;464;856;393;300;294
385;710;912;653;869;285;1221;436;748;891
386;5098;701;541;1747;572;980;769;347;505
387;3427;1217;1270;730;1070;1321;434;524;1019
388;2465;269;3306;919;299;407;449;275;813
389;1166;851;905;361;1059;304;318;267;280
390;378;2236;1301;816;658;349;235;1166;390
391;1351;600;631;863;274;888;344;747;497
392;2893;1575;1123;1406;690;485;620;598;476
393;1837;1186;1020;955;1357;719;697;854;991
394;2340;1314;1504;425;416;703;405;134;290
395;429;119;935;406;888;915;459;775;437
396;1197;1915;1266;591;688;456;187;279;371
397;1340;2455;233;165;476;1932;433;404;672
398;2658;422;485;880;185;822;607;898;389
399;2251;1468;2200;806;1009;1085;1371;621;500
400;1466;1607;624;1777;603;952;1053;729;705
401;2473;2670;281;1645;920;1209;791;1525;1021
402;1798;1858;658;581;476;521;294;383;302
403;1198;430;2065;617;285;497;744;890;271
404;1231;474;617;756;498;484;305;662;271
405;1233;1298;956;757;545;328;626;1227;493
406;1577;1231;631;447;938;1220;447;649;764
407;2151;461;649;918;1622;565;843;435;653
408;275;718;806;1074;910;700;1954;316;417
409;1591;2065;406;681;437;1330;426;435;391
410;1896;750;740;923;358;126;518;402;423
411;2917;864;1785;493;606;658;613;472;471
412;1057;984;873;1008;695;771;382;574;709
413;2003;1499;1142;665;227;2288;349;295;626
414;2277;1038;648;1016;502;635;354;531;484
415;2517;1554;287;896;917;436;433;532;755
416;1859;1834;1332;427;1063;659;577;527;76
417;753;820;822;596;209;153;644;519;625
418;1175;77;945;970;562;192;394;274;456
419;3108;2108;477;729;388;1008;288;574;578
420;1307;2264;439;1022;479;488;495;368;833
421;1616;130;677;1253;554;381;956;294;564
422;2549;1132;1032;534;942;539;502;561;205
423;2614;1680;544;1172;641;1336;1126;484;554
424;1216;924;785;255;1142;393;723;967;464
425;1342;1145;601;336;130;1168;479;486;265
426;4053;623;1282;911;597;701;1107;171;417
427;1527;541;686;366;752;563;418;444;235
428;2794;706;1135;284;323;699;493;522;307
429;268;1222;867;311;195;164;953;468;150
