;EA;EA2;EA3;EA4;EA5;EA10
355;868;1369;1896;3060;2913;100639
356;1315;727;1617;2899;1735;46857
357;1035;819;1761;2412;3343;172328
358;1152;820;2692;1463;13752;441996
359;783;1461;525;2957;3069;24457
360;366;586;2299;911;2997;21530
361;1197;407;1480;1597;1499;81800
362;1291;876;863;5234;1062;79082
363;147;958;568;2073;7416;38658
364;1103;1195;530;3268;1083;14811
365;1306;371;1524;2437;1733;207320
366;836;589;417;3222;4220;83830
367;1632;439;2497;544;1777;8879
368;273;938;1670;4581;12921;37174
369;300;683;460;1017;3092;9864
370;1051;386;904;2065;3927;49290
371;114;2086;1457;1112;4633;64222
372;1140;2017;1629;2825;5856;111362
373;1317;411;1514;1779;365;64262
374;1520;448;1231;1294;2841;10332
375;941;2877;706;3560;6859;86793
376;764;1254;1626;1698;6714;856656
377;1438;723;1993;6013;4150;98997
378;648;1378;1053;1997;1091;32092
379;1150;427;2023;2394;1648;768
380;1192;2331;1337;719;7118;60343
381;955;880;3270;3356;7349;1681
382;1729;881;1021;1161;1622;176137
383;694;2444;877;848;2980;174835
384;1242;944;1044;3000;2275;75233
385;1424;1684;993;1186;5452;192403
386;308;942;1317;1116;1540;21315
387;1417;1717;2447;1011;4393;32848
388;814;1304;511;2073;5952;182626
389;698;1494;2481;1257;1863;31568
390;952;801;865;1214;3557;30206
391;842;425;952;1374;5815;949
392;696;1222;713;1192;2024;72505
393;968;773;2151;2073;7543;33787
394;608;1284;4396;1842;2973;16211
395;575;1554;2039;691;4991;584
396;812;461;1833;1880;4914;25930
397;504;638;2021;2615;4209;43235
398;525;857;735;3412;5387;19469
399;531;1130;521;4246;7563;60739
400;351;1483;2513;1434;4235;53371
401;282;480;2399;799;2357;129022
402;961;1130;675;1093;4838;44008
403;792;534;1514;2827;3180;100453
404;509;590;1294;1459;2564;127387
405;1028;1324;641;3554;7506;8872
406;562;369;1222;2283;3226;210445
407;487;660;1042;4112;2430;92082
408;465;736;680;2418;6749;12755
409;2058;899;2593;958;2790;23849
410;1184;516;599;4923;3861;6111
411;1037;1298;721;2964;4106;14574
412;822;295;1709;152;6442;18424
413;1659;1681;1843;7432;1470;123331
414;1106;365;879;3381;9874;95964
415;558;417;962;321;18999;6325
416;705;1414;801;407;5256;88223
417;763;860;951;4205;4405;4444
418;279;833;569;4906;2152;221717
419;408;694;2787;8649;3900;179911
420;1201;2389;1608;1066;5607;5391
421;47;935;1176;2411;9536;32548
422;513;1149;543;2061;2162;209010
423;1430;1577;1889;2234;10248;191795
424;900;818;3261;3958;2461;4931
425;549;1048;2532;1842;6731;91948
426;1268;902;2389;1180;3095;193160
427;464;658;1806;2335;11369;16376
428;1628;1431;758;3456;2257;174650
429;630;1416;650;3369;3645;129143
430;995;649;1811;483;5516;12025
431;771;1139;859;2129;5708;47995
432;627;551;1417;2481;1777;6733
433;1392;1119;1557;1065;1652;50417
434;187;610;2276;5095;2801;73021
435;584;800;1346;762;3314;17397
436;1298;1711;1556;2275;9445;12201
437;261;939;3607;1743;863;93710
438;970;1180;2581;844;3819;31176
439;469;487;392;6242;2915;33582
440;883;1085;2017;2525;5670;34809
441;1251;299;1856;996;4769;50384
442;1525;169;2216;1519;3959;104137
443;783;1730;382;2205;3433;6796
444;731;1035;567;3325;2445;126303
445;439;400;161;2965;9008;182245
446;1721;713;2712;2340;3797;20533
447;673;1445;653;1670;12316;381658
448;1572;907;3113;1688;3109;39785
449;814;1690;637;3897;5043;389736
450;1062;700;759;631;670;47628
451;2481;735;2259;698;6990;45128
452;722;1357;3777;5475;6097;13733
453;844;886;3030;4384;12672;112707
454;678;970;1067;525;1335;182846
455;1516;920;2278;776;13250;2100
456;543;506;1244;820;5232;18247
457;870;978;2799;4168;7640;56758
458;1163;568;1499;1714;4847;18599
459;892;1475;1087;1182;4953;71750
460;584;1056;4832;5703;7298;17085
461;2680;1036;1268;3391;5059;38577
462;884;1177;447;3034;1624;13276
463;819;1560;1299;3615;11412;167842
464;818;692;2048;2224;1265;56082
465;947;1094;901;4170;3685;142106
466;523;686;1129;1615;8679;82236
467;396;594;2318;2697;854;121949
468;661;886;417;947;492;30664
469;1473;1151;795;2490;3797;45931
470;1781;750;1620;461;4613;81910
471;2526;819;1882;456;5622;352183
472;1232;884;572;2068;4628;354974
473;874;1428;1800;2971;7280;169457
474;1183;570;1770;2365;6104;67352
475;955;1111;679;1288;4117;13198
476;792;429;510;3522;1765;64735
477;994;343;404;663;1747;20553
478;883;689;521;746;907;2875
479;422;1227;1472;1981;1940;227699
480;996;1970;808;1481;7143;490339
481;482;2039;1017;1354;3745;179991
482;657;648;195;6067;4617;140365
483;616;1068;1066;4894;3114;46418
484;575;299;1792;3895;4475;108179
485;553;384;1030;2758;2359;296782
486;1600;862;2497;5375;3627;120350
487;1168;794;1546;2893;3802;15593
488;714;1070;911;1432;5768;50699
489;1097;465;753;832;183;15233
490;672;399;1079;1468;1168;27209
491;323;753;92;6245;2905;10226
492;957;630;2073;1871;10193;4654
493;1293;830;2040;2057;2756;78133
494;1182;191;440;1548;1958;93904
495;557;361;433;951;2877;52139
496;721;1277;958;6238;6656;266741
497;619;1561;431;2029;2389;27371
498;697;629;3143;1242;14668;52671
499;559;709;277;633;3407;11104
500;963;2034;2858;9072;15537;148692
501;863;1447;2380;1026;556;18902
502;478;812;1006;2550;2871;38200
503;771;459;1254;3928;2900;21258
504;800;979;4399;949;11095;67407
505;1246;537;515;1096;2757;321579
506;1557;256;2344;2554;1497;49473
507;682;628;378;492;5231;49338
508;945;1260;4016;2815;4525;75378
509;1169;757;564;1878;4227;1376
510;1015;777;2949;2859;3370;97072
511;505;2786;1778;8713;2903;115955
512;744;665;2209;5951;3404;10843
513;774;1335;705;3532;5973;8772
514;540;1329;659;2084;13371;87459
515;1310;946;1269;2471;2872;10693
516;321;919;905;990;6114;213505
517;1067;127;387;1642;2234;118354
518;779;1557;2557;1101;5896;260382
519;1349;1090;4037;4485;6436;15830
520;873;873;1159;665;243;23632
521;790;428;693;785;6539;1169
522;811;780;670;458;6029;36350
523;803;914;3721;928;1852;38819
524;2196;840;689;2180;5263;146420
525;605;1162;1010;678;4458;44407
526;1365;690;292;11061;5407;131164
527;676;1126;1460;1494;6408;45044
528;786;1315;1383;7154;14524;85526
529;734;650;883;2490;5939;102883
530;1060;1282;1155;1109;1622;54706
531;765;366;787;1029;3733;17437
532;2269;657;1205;3276;9136;74011
533;696;796;1059;4422;835;274087
534;678;1201;1347;1800;1347;39037
535;1200;654;1485;1521;3039;48279
536;281;711;1529;206;2382;7984
537;924;1322;1908;2131;5202;16422
538;556;355;1097;3565;3797;229040
539;1432;1271;126;1164;5596;165812
540;562;1079;1034;2181;5062;41715
541;862;391;902;3611;8675;17671
542;1076;493;339;1222;3209;260701
543;496;626;872;2122;5070;51286
544;1616;807;2174;935;1229;126419
545;870;648;864;1841;4604;346368
546;575;704;509;2743;2480;89731
547;563;1289;1679;1056;10302;37429
548;728;273;389;1739;5735;37298
549;580;972;1012;2969;2916;156372
550;800;949;2060;371;3052;3633
551;1023;1230;2185;1052;214;41217
552;268;529;915;1791;10381;112106
553;1076;805;4924;6294;8421;178737
554;887;670;1235;2780;1352;31633
555;752;1016;1108;1094;2733;1247
556;350;574;1331;1683;3369;23649
557;1056;698;1861;3368;2012;14421
558;629;1708;1283;3133;4489;133204
559;1610;838;1640;260;3970;22595
560;881;1927;1066;1351;2470;70418
561;1435;1122;1074;5874;3152;110399
562;481;351;1514;2669;5404;13506
563;1115;550;4113;2732;3758;15203
564;1137;1144;1964;5571;6241;48471
565;287;1286;482;669;4054;81615
566;657;1239;1225;2031;5504;28854
567;577;361;2339;1853;314;43905
568;332;382;1272;5171;2164;51135
569;661;293;1936;3518;5437;47492
570;1279;1353;2494;4448;1220;96372
571;1341;751;737;1389;5208;52979
572;1284;1398;276;1268;2839;208197
573;630;744;1832;1712;8253;37931
574;463;1386;1339;2250;3093;447440
575;1552;2066;2998;4102;3651;93218
576;1171;256;1020;3388;8316;6678
577;1128;963;2985;1686;2061;146485
578;361;395;924;2598;4372;180537
579;805;1047;922;3080;1406;105163
580;411;959;881;2039;2687;11900
581;844;940;601;3018;835;139369
582;543;1766;598;3153;16744;92956
583;921;865;2682;1376;10208;46683
584;810;513;1006;4174;6400;185861
585;662;1012;1234;2420;2409;36334
586;739;327;2416;2781;2495;9755
587;776;884;542;2428;1568;109955
588;132;698;576;2257;3439;212878
589;566;1044;2213;1905;7764;6823
590;524;542;2168;4332;1553;9952
591;398;242;2517;1995;13544;5334
592;1130;838;3351;1932;4726;37071
593;480;598;1437;5940;7754;97815
594;252;861;851;768;1413;52365
595;1438;1630;1013;760;5582;99584
596;594;857;1981;2326;1413;215697
597;1045;1497;4238;4730;1271;93465
598;1038;838;1104;2501;4739;63208
599;364;342;836;1384;710;78547
600;1123;1913;1762;3758;3599;27401
601;926;2086;926;815;1266;20679
602;632;381;2589;2507;3716;96557
603;857;1227;1499;1470;5118;40744
604;1457;1869;1056;3682;4920;33391
605;1030;1003;3965;2033;3521;30306
606;1025;949;1358;1597;2834;18300
607;2456;654;3099;3293;10699;87989
608;1214;1238;923;467;3913;82885
609;689;873;1987;1096;5129;84658
610;1649;1090;2389;851;4988;17975
611;1689;981;128;1701;3723;29877
612;1113;853;3104;822;3053;419195
613;298;1523;1531;5937;6702;94615
614;1345;1952;3575;794;10542;151842
615;917;683;1747;2845;5178;46736
616;1373;283;3056;6416;5615;197003
617;859;1005;836;4961;2173;251739
618;848;273;557;1576;4464;53850
619;729;417;1115;1573;12349;257797
620;1024;687;896;3861;1181;134015
621;1671;1286;1245;8098;9809;75374
622;427;654;173;3728;16264;48706
623;795;679;1869;1076;2515;1096
624;1569;2856;2438;8602;10565;39696
625;899;1145;935;1697;2250;91379
626;1166;574;1518;4804;3084;100543
627;1512;615;2153;3411;2082;24461
628;408;762;1391;4235;3337;8533
629;984;1477;1937;1631;3488;118087
630;999;788;529;1502;4706;37989
631;1978;625;462;956;925;28101
632;539;864;1092;2254;4729;26446
633;679;388;401;4266;6629;146571
634;542;722;1130;3492;8309;75108
635;1180;415;1020;2902;3920;8652
636;1924;393;4194;508;3074;95201
637;1323;1498;2587;1515;10287;160410
638;803;1206;1654;2364;4617;29773
639;1159;907;2391;4731;5169;59463
640;1022;876;825;1202;6424;142973
641;357;667;1377;3071;945;79928
642;358;1152;1352;2392;6113;355169
643;887;1258;363;4505;7957;32801
644;754;1137;1975;1832;3241;173822
645;910;722;1388;332;1755;42840
646;1282;1484;2567;1887;4271;121692
647;480;1373;2305;801;6460;27257
648;434;354;1785;3722;3118;23164
649;697;577;824;1287;3610;121763
650;689;1143;497;4292;2758;221232
651;780;2006;2000;3391;3016;5259
652;781;548;4533;1515;17328;239646
653;867;1529;1321;4882;3629;388758
654;1478;1074;767;1568;1709;15739
655;831;907;5749;551;2471;54764
656;1306;647;3450;1947;3714;3893
657;563;1506;2025;726;249;68296
658;461;1276;902;1354;3572;13199
659;1414;599;1466;2409;7206;198697
660;964;577;828;5845;3008;79575
661;1331;1994;4185;2752;3491;70380
662;835;764;2385;4899;3413;39364
663;746;1281;717;3322;1371;21568
664;569;707;3149;4414;4207;69792
665;353;301;1540;2004;2327;90878
666;549;1448;801;2979;8380;221430
667;1885;1798;2780;1708;1617;11319
668;1415;2259;2247;2507;3545;80200
669;1908;1027;2527;1476;2923;206856
670;1525;994;2152;2036;6922;111734
671;578;1449;1949;690;681;73355
672;319;700;789;3043;3450;98873
673;550;1169;548;8736;8244;3010
674;364;1077;3352;3231;7898;99455
675;555;363;2217;3602;3155;3210
676;683;858;680;3768;4239;45942
677;381;624;2120;271;2772;56472
678;771;1093;447;1657;3885;41793
679;544;662;961;4678;2118;94664
680;638;1294;1033;4949;9150;18484
681;972;1100;1164;1505;4956;8280
682;693;1061;905;3942;3580;51427
683;1127;599;1325;1909;6919;132909
684;387;714;1797;213;9956;22296
685;2721;812;1267;3745;1672;69383
686;327;318;456;1801;5207;106849
687;595;397;974;634;4469;6883
688;1165;608;501;1842;2914;49723
689;656;1989;2428;3239;7671;106163
690;447;731;1478;753;3789;134267
691;544;930;1032;5424;5455;20835
692;1105;882;1527;3832;5132;72863
693;1192;1343;884;626;811;168022
694;1615;451;2830;4760;5582;208658
695;1146;215;193;1042;6844;158476
696;580;1717;2436;5362;13848;43052
697;777;1285;500;2658;3441;76710
698;964;1339;1487;4195;1950;179472
699;1140;867;594;615;10637;136270
700;699;368;1284;4161;3693;29578
701;1196;1700;1371;4092;1958;73214
702;444;1968;792;2910;5128;141849
703;669;874;1621;1683;5533;53733
704;191;716;583;5491;1393;15518
705;831;1052;1467;2467;10255;2033
706;343;903;634;3958;4741;146761
707;1289;545;1555;2223;5363;158527
708;1236;1216;1361;4064;3184;31847
709;752;1121;4960;2233;7161;3334
710;1086;985;3872;5456;8366;385253
711;1551;1062;1847;11480;5765;114144
712;1042;180;1149;956;13588;114538
713;2553;2276;1285;1089;3323;184615
714;1352;630;1431;3918;359;163939
715;720;1127;1602;3894;2159;7407
716;2322;1676;1570;1603;1967;27120
717;448;1060;1091;1658;5936;39753
718;813;1232;1184;393;1601;46464
719;547;1281;456;2847;3497;46006
720;498;1129;1477;3169;4692;40330
721;1117;1362;1466;4949;1676;65560
722;679;415;1658;1112;1849;56059
723;409;1414;133;1877;2856;22872
724;1184;520;3346;2078;5016;33357
725;1083;730;1864;5070;2542;41290
726;393;922;233;1832;5722;37574
727;488;908;1321;1822;5722;13504
728;1082;1059;646;2853;1468;187274
729;1054;638;1866;2054;1425;104041
730;1315;832;865;3481;7183;14693
731;1154;1862;1302;576;4143;234055
732;871;1114;354;4748;4683;39054
733;420;1150;1576;949;13170;136316
734;840;132;1401;1240;4560;19136
735;495;999;2463;417;6545;18640
736;442;1179;307;3261;2893;119363
737;1215;798;1975;3825;5869;20033
738;1115;3122;1823;2377;2995;83168
739;716;1307;2117;2999;4229;138445
740;432;474;1824;1877;7366;101380
741;922;1409;1041;2750;5012;180267
742;945;721;666;5242;11252;193513
743;1230;1329;2989;1699;2713;79636
744;1301;889;2007;1467;8406;301046
745;1603;379;1098;5752;4428;79487
746;623;1558;1204;6175;6986;106306
747;394;1007;1219;816;1504;5126
748;1506;1323;1103;3367;6509;23210
749;944;740;737;1523;1295;56464
750;861;1434;1479;7551;6863;236223
751;1021;955;898;3959;3469;204089
752;461;243;902;2739;13284;53322
753;1386;572;3339;1900;3079;6074
754;831;722;2273;5785;9050;136931
755;598;1723;538;3168;5733;89580
756;2126;1061;2455;2245;3150;518
757;866;462;440;1742;2357;4267
758;227;1026;2057;1723;5359;28679
759;565;780;3019;1068;2351;19573
760;1654;1357;342;2627;5318;87685
761;954;1263;1245;2165;2414;86911
