id;length;n;p;count;minDif;maxDif;avgDif;solvable;solvablePercent
1438;8;2857;0,70;1000;0;32;1;425;0,425
1439;8;7142;0,70;1000;0;31;1;320;0,320
1440;8;14285;0,70;1000;0;40;2;211;0,211
1441;8;71428;0,70;1000;0;75;6;112;0,112
1442;8;12;0,80;1000;0;1;0;990;0,990
1443;8;25;0,80;1000;0;2;0;976;0,976
1444;8;37;0,80;1000;0;1;0;977;0,977
1445;8;50;0,80;1000;0;2;0;970;0,970
1446;8;62;0,80;1000;0;2;0;950;0,950
1447;8;125;0,80;1000;0;3;0;904;0,904
1448;8;250;0,80;1000;0;4;0;861;0,861
1449;8;625;0,80;1000;0;7;0;721;0,721
1450;8;1250;0,80;1000;0;9;0;602;0,602
1451;8;2500;0,80;1000;0;18;0;484;0,484
1452;8;6250;0,80;1000;0;19;1;354;0,354
1453;8;12500;0,80;1000;0;32;2;254;0,254
1454;8;62500;0,80;1000;0;60;5;141;0,141
1455;8;11;0,90;1000;0;2;0;986;0,986
1456;8;22;0,90;1000;0;1;0;980;0,980
1457;8;33;0,90;1000;0;2;0;973;0,973
1458;8;44;0,90;1000;0;2;0;975;0,975
1459;8;55;0,90;1000;0;2;0;977;0,977
1460;8;111;0,90;1000;0;2;0;943;0,943
1461;8;222;0,90;1000;0;3;0;897;0,897
1462;8;555;0,90;1000;0;5;0;807;0,807
1463;8;1111;0,90;1000;0;8;0;740;0,740
1464;8;2222;0,90;1000;0;6;0;604;0,604
1465;8;5555;0,90;1000;0;21;1;476;0,476
1466;8;11111;0,90;1000;0;23;1;366;0,366
1467;8;55555;0,90;1000;0;80;4;205;0,205
1468;10;100;0,10;1000;0;2;0;998;0,998
1469;10;200;0,10;1000;0;2;0;993;0,993
1470;10;300;0,10;1000;0;1;0;987;0,987
1471;10;400;0,10;1000;0;1;0;986;0,986
1472;10;500;0,10;1000;0;2;0;979;0,979
1473;10;1000;0,10;1000;0;2;0;966;0,966
1474;10;2000;0,10;1000;0;4;0;925;0,925
1475;10;5000;0,10;1000;0;6;0;859;0,859
1476;10;10000;0,10;1000;0;8;0;770;0,770
1477;10;20000;0,10;1000;0;13;0;616;0,616
1478;10;50000;0,10;1000;0;16;0;499;0,499
1479;10;100000;0,10;1000;0;33;1;402;0,402
