;pmut1.25;pmut1.5;pmut1.75;pmut2.0;pmut2.25;pmut2.5;pmut2.75;pmut3.0;pmut3.25
211;82744;275247;121996;1719;54171;98454;56172;85530;15492
212;130131;12499;207895;768996;147088;141844;40059;215393;160381
213;86537;83191;243479;242362;231044;408768;198268;264514;3592
214;605535;92109;23767;287623;11920;48453;503640;103151;93242
215;385403;7654;77134;61907;185799;16296;279261;26631;82125
216;17678;236322;200920;284557;79504;20558;67698;132570;135563
217;23100;35163;143493;67271;204716;2336;104397;58649;444581
218;35415;54229;40506;99867;44599;26458;23293;549594;175770
219;25175;155185;40375;40466;7224;64040;304215;166287;51704
220;158470;46735;110708;27957;2041;77481;139597;55907;1921
221;98824;19235;66115;60554;90465;153284;379912;151217;26790
222;346292;105936;397703;96055;21440;64786;237094;259839;851514
223;30700;286021;32748;4277;41720;25725;125049;137448;372690
224;82471;115181;37235;125657;88092;174033;29920;230907;92386
225;84383;51273;141659;23341;78723;77456;505002;19136;311503
226;741559;117982;43711;39820;48444;256558;17934;192598;106847
227;61126;112150;42506;17842;51714;120874;73091;94547;634122
228;11266;126319;113738;30502;173344;247066;193745;110765;119468
229;731933;111567;414827;269178;16677;265777;535455;203308;54100
230;25112;88818;238228;176247;38465;51274;160409;460617;24003
231;3529;6490;41811;62053;18392;23688;47311;322275;116266
232;618805;29386;86547;557727;31709;40383;64605;558458;559191
233;108629;56502;51969;73612;116649;18631;127881;511793;93205
234;167343;112975;350558;65354;74883;18106;160999;fail;173222
235;281740;9727;31306;14928;16213;20987;13354;155508;125026
236;183902;359283;470899;372781;91583;221264;80253;175157;280688
237;23269;263616;56532;86366;44639;57679;51580;39233;61658
238;630519;6285;71961;63671;135039;420806;4530;342463;61726
239;152642;8284;44425;149355;56037;309908;11815;183877;157560
240;201313;468552;138164;39672;83971;169426;113978;31711;529960
241;94769;188767;691660;41749;72568;87603;205881;398480;106666
242;174274;151874;32239;70850;435230;358315;232360;54690;189942
243;94684;117268;14009;218071;73303;79437;20007;198816;117483
244;9487;59784;88213;99455;241978;154987;33168;217970;143418
245;54656;88818;144593;25970;117396;148333;64707;28015;95236
246;15496;11512;98712;147499;130887;225621;380944;46439;189327
247;151362;25830;63154;24894;43738;323031;122172;49457;335829
248;12552;24501;74981;35765;51235;33263;53723;344482;177987
249;245703;54025;119950;36812;19791;11386;64508;249386;117505
