;pmut1.25;pmut1.5;pmut1.75;pmut2.0;pmut2.25;pmut2.5;pmut2.75;pmut3.0;pmut3.25
198;82952;65205;120994;122633;328764;8313;302061;83341;101479
199;33137;118101;27303;58313;7783;63488;35360;48513;8719
200;439257;137188;82342;347156;18893;4217;20962;7669;109153
201;53905;60975;22968;20366;224766;25148;227100;31879;130639
202;142547;272031;16761;280106;2170;11527;357316;93215;2400
203;243356;256493;53514;75511;156960;54874;219426;58319;3296
204;51099;102143;49185;3746;112685;40395;88461;145895;13888
205;555178;81140;84287;208096;11680;15835;141507;19651;41096
206;49586;954856;14272;152562;4878;76282;25205;558900;318183
207;396436;5719;17319;95211;198493;16732;14612;28618;7359
208;21858;26985;141368;256993;66623;10962;17008;2107;18708
209;141027;35276;57781;362099;104665;90400;118646;197182;89249
210;73419;23330;42190;72437;88999;100811;59639;7464;228239
211;39464;75514;40618;129638;30241;3329;273592;12577;273648
212;338160;148703;438011;34784;385346;110859;83097;26478;360663
213;554366;159788;307478;400245;6166;979183;15334;12802;511035
214;60039;90621;124945;67041;34751;80907;157800;42261;169047
215;47095;1918;247859;167485;52030;340457;52375;1638916;49131
216;619548;155902;1133;1012;124870;448500;28012;516200;237038
217;178952;312741;116301;365024;35507;180928;77398;302012;10994
218;100167;114343;3272;74093;2175;21749;41799;6851;33826
219;154188;8092;672497;38650;49248;15070;83467;63482;8568
220;106451;15450;394312;24327;120786;1261519;19599;203867;40263
221;104406;204742;10248;413024;44310;26115;9082;58115;79526
222;227620;231011;174245;58448;104526;300603;6236;1369;73310
223;122502;38318;198255;76751;3499;36023;5973;792;46763
224;12129;68089;115115;25782;40022;6218;71679;34915;3745
225;71778;51670;13899;36911;12492;1827;5118;10134;52211
226;371586;439707;2695;76906;286651;32425;24092;75374;42336
227;104163;266121;36529;57860;219294;12583;65005;67633;73509
228;313051;166864;234760;15217;4037;67363;554618;216749;425059
229;348085;151967;535428;172734;129217;57415;28520;18857;506372
230;117066;262275;18239;22932;198436;51701;372194;90296;349654
231;455515;404131;14803;522647;64309;10564;46967;3544;6684
232;7493;1100832;105427;160009;316876;146609;106349;25498;61136
233;256314;186937;184325;29367;43906;12407;203819;2981;11322
234;225505;187984;218772;521641;152982;208450;16174;205811;457035
235;142907;496698;47585;45564;279608;39329;218599;143039;2988
236;43362;68891;2884;4172;103505;15090;26715;14621;4580
237;22845;74946;62918;208730;110958;72743;19294;18597;26614
238;104477;193041;211652;3575;3089;48877;182596;17557;157980
239;13971;2663;190376;60305;45475;67288;16602;214231;25411
240;363548;32151;18866;70331;402872;75793;144440;41366;196998
241;75949;73361;22070;67950;13343;23628;87468;24331;61863
242;73992;145382;156238;418177;183154;197531;42458;197792;273357
243;125064;169080;84389;26078;58646;54830;7934;11285;365473
244;25821;141291;12928;46682;101506;40193;57562;295524;71402
245;114439;52987;21410;112633;29417;42344;79460;157930;31719
246;176492;18184;39030;84070;82490;18432;3139;38818;27319
247;125872;79777;165080;16531;110044;4955;105735;363181;58881
248;71414;867757;90197;325002;9277;214719;10949;46605;43063
249;147905;169250;218042;153590;336984;78549;90533;30220;100714
250;97958;48857;282204;80039;33467;167476;134803;1556;27720
251;229887;888;62506;1103116;6320;166923;50940;50654;49788
252;137766;105208;33025;115177;425933;19845;15803;649671;501271
253;279858;100732;490096;29129;97932;108455;179976;113350;91813
254;96100;28903;294280;56217;53141;17852;29866;66970;4497
255;60104;62755;31655;30768;121067;37800;170947;495094;15314
256;137983;238672;74356;162393;23860;235730;7345;29718;4526
257;2526;42423;37945;31170;17739;7541;58177;48654;19806
258;14181;78227;7399;4289;78097;16134;618374;153235;120537
259;1382;52617;61900;71258;25399;69260;8370;192323;49552
260;854396;364126;37054;163056;86650;13514;582937;267530;385175
261;80255;305596;2465;4653;55284;42342;430860;57821;78471
262;165521;81692;73096;240168;38592;325059;108852;13698;6243
263;25559;303949;30207;37985;147512;35727;449681;46722;40934
264;39265;42196;126503;34190;32374;71009;58369;24255;27152
265;237219;24479;1121;32630;48961;247026;35032;88357;111229
266;50983;105575;440643;580081;29249;47250;242683;41242;363979
267;27262;648;258810;2105;64716;33503;2100;100982;12491
268;1266996;553596;1427;48682;173617;68316;79464;47434;171875
269;16329;41734;22566;1194615;82421;137283;36178;170758;63395
270;14175;48006;120467;59742;74452;18842;34614;38201;2680
