;RLS-N2;EA3;pmut2.0
770;23096;599455;257550
771;33921;67227;31925
772;74686;6498;203634
773;4547;48989;71294
774;39536;77112;176551
775;21792;409;12109
776;10240;131271;33334
777;124553;74665;73419
778;14737;117896;216820
779;46859;90322;100828
780;52963;63642;40819
781;191652;148610;378128
782;7157;107139;342349
783;10478;185670;37865
784;2011;86417;30191
785;16230;333267;144525
786;117022;325740;234200
787;198187;49436;379079
788;20640;88008;329299
789;76399;44844;231116
790;17273;8757;169746
791;12141;18855;33975
792;58586;75728;28283
793;37003;389061;280334
794;1758;161534;94099
795;52265;90624;37114
796;96738;773;73720
797;36901;80014;20627
798;79972;374436;263574
799;4638;2795;102649
800;16024;8602;205270
801;53650;87222;169016
802;4216;100463;10359
803;114904;361175;131829
804;222864;247033;289517
805;270237;29680;182211
806;323836;234632;120787
807;128422;135514;150353
808;30258;41032;25446
809;23596;142452;31738
810;53349;60316;257022
811;170205;90632;132130
812;124085;189086;407299
813;133569;117357;523703
814;191902;33769;49448
815;153602;8319;164489
816;33158;188076;26357
817;48904;210258;158512
818;47478;48653;40382
819;206713;178150;80005
820;73982;373566;116261
821;18734;9570;108802
822;14874;13115;614596
823;6299;23932;25364
824;8620;112563;119344
825;107623;120679;110669
826;21697;41487;143051
827;20777;56214;136570
828;39318;127438;210234
829;11429;49104;69061
830;24776;267612;40576
831;101729;63959;20418
832;6724;144122;62964
833;77797;59902;14738
834;46538;132602;69861
835;7309;238425;44604
836;25143;10750;96791
837;84917;59177;213895
838;55208;105597;187439
839;146705;52754;682403
840;150634;33363;69914
841;55301;11319;207167
842;30719;119869;223096
843;61686;106554;83318
844;40926;58825;73326
845;88866;219536;318021
846;24787;47581;13311
847;33321;8238;85943
848;57782;91309;158869
849;148853;217167;189381
850;50207;101642;216561
851;24145;64965;52316
852;18161;20588;128453
853;6513;19636;29680
854;2869;53534;92100
855;153156;42773;396455
856;71392;92706;75073
857;101854;177417;142036
858;72975;180224;259709
859;19574;89861;259096
860;42052;79786;194828
861;14607;466437;167603
862;23100;88734;115664
863;38886;425684;65081
864;64027;44369;68122
865;25170;41425;209321
866;115578;30555;251428
867;110221;196492;251383
868;24136;112628;40000
869;14034;352221;195357
870;96803;28510;187582
871;59961;250702;490826
872;106942;356936;93751
873;29074;87819;65888
874;69685;3389;82218
875;132922;119939;20342
876;75690;351665;147115
877;32968;93771;13298
878;20368;7058;22061
879;12804;33358;84099
880;44806;118579;94747
881;29283;115216;181856
882;60626;92132;5038
883;15868;77446;77621
884;77924;10490;494496
885;17476;68286;64425
886;9093;244304;304196
887;9270;468950;8016
888;12400;83216;6403
889;212898;172693;fail
890;59493;16059;310588
891;28458;32319;282572
892;28469;65166;226975
893;27003;26975;183573
894;111344;19519;254732
895;1389;304294;614832
896;50093;26934;132743
897;4046;113265;152115
898;38228;151853;40808
899;9898;612354;432729
900;629;79003;90218
901;12996;201861;369451
902;25611;166072;111757
903;108356;29208;34005
904;99562;68166;111048
905;70471;55822;107495
906;68000;26015;40319
907;103608;252523;20700
908;15911;184801;115799
909;167378;310946;83272
910;1485;47658;380340
911;13168;201487;18663
912;35072;75041;46055
913;19751;6232;131303
914;12716;60911;172136
915;39620;45426;133989
916;69868;187990;281240
917;30719;232980;45163
918;50239;44037;179816
919;16687;101129;217043
920;13928;132578;70481
921;357;10172;15164
922;116064;163290;50302
923;8474;108224;46705
924;16662;58852;176898
925;90822;40373;61496
926;74829;245419;207474
927;41376;36113;3599
928;18109;53681;8522
929;21345;25403;32820
930;9155;34796;100984
931;78100;323364;165743
932;106880;360319;736878
933;41645;14821;44082
934;27996;502070;86064
935;62394;76623;310189
936;125932;289996;65256
937;42075;49245;16912
938;828;6377;158701
939;91967;109437;52899
940;142645;48559;221624
941;42553;605477;9413
942;70537;179270;124880
943;235480;114677;12641
944;105120;14914;667305
945;6461;147115;2923
946;96207;78760;25560
947;68127;25417;13314
948;31553;109162;124871
949;26892;109223;107572
950;32796;10464;269818
951;3255;39501;15638
952;67582;38092;52120
953;20815;2435;22324
954;35453;24170;67763
955;36772;9429;281553
956;116151;20903;13362
957;82110;55897;301984
958;51670;57393;88055
959;58334;753783;216093
960;49615;49608;219176
961;14177;35738;52021
962;6868;16596;218630
963;24533;237787;57348
964;5490;24437;127540
965;11845;46278;91154
966;13957;12675;129928
967;111352;29265;98506
968;98438;33787;173706
969;10311;146058;107231
970;8408;68581;109662
971;135049;53628;20654
972;2859;144134;25701
973;44914;260961;432631
974;15648;21633;51411
975;40578;424938;323592
976;84558;65754;445226
977;175311;402319;53353
978;172056;40633;331223
979;77167;329106;402715
980;58442;46815;186820
981;17959;11939;21979
982;225341;800903;119596
983;20592;32537;69034
984;68901;718924;116442
985;77973;421919;138791
986;100340;6807;82905
987;7107;87581;62355
988;112782;117305;43377
989;123856;3186;209073
990;46328;144200;75094
991;75859;202747;107814
992;40255;189198;407845
993;51702;56562;247308
994;7694;74146;58742
995;2843;13546;93283
996;37517;120900;13405
997;62502;288084;74882
998;43116;173419;41307
999;19728;340856;350844
