;pmut1.25;pmut1.5;pmut1.75;pmut2.0;pmut2.25;pmut2.5;pmut2.75;pmut3.0;pmut3.25
430;6039;8853;7429;944;4425;4313;1246;5291;1045
431;19491;4311;7925;4095;3133;817;1102;1478;423
432;1944;995;3030;363;1089;1088;6202;3473;2049
433;25044;23490;3803;2063;2431;4384;2515;4759;386
434;1698;892;5051;1441;3526;2916;3565;3113;1884
435;463;3446;2601;4634;1894;948;292;3763;3786
436;2832;6288;338;4267;418;12143;1264;5568;1917
437;652;397;2705;421;2131;574;6444;6864;2241
438;799;1518;2007;1971;544;1191;1032;6689;27
439;2450;4296;2763;5313;1827;1090;2546;1139;294
440;3855;1793;17461;2516;3658;427;2072;2135;1740
441;3608;519;2361;168;395;504;575;1441;40
442;7925;447;1729;9214;2404;5164;5002;398;700
443;11186;2119;7701;13519;235;4126;7092;703;1155
444;6179;4055;487;500;2241;2016;1171;3564;3029
445;10203;788;985;5637;8920;14945;3085;3055;2011
446;1248;3811;7102;5652;4547;1836;2519;335;5049
447;4790;4963;4016;515;2997;981;829;1393;552
448;303;2044;4948;3694;376;308;1685;546;696
449;1922;20283;1045;3274;1427;2188;2454;984;3341
450;2833;186;7216;4357;2164;634;3446;4807;1918
451;2688;5704;10875;4434;936;678;3826;1729;2418
452;3718;5703;381;809;106;956;293;1513;1487
453;4892;5051;3254;2335;2557;3068;428;110;2777
454;8488;2520;5878;3288;519;212;254;2186;7926
455;16761;17173;2667;3662;3083;698;456;9544;3303
456;299;5006;12755;317;1031;8927;12310;729;14847
457;12035;1533;442;412;2269;1760;154;1590;516
458;3652;6722;325;2905;3154;4569;182;7794;2476
459;3869;2415;4503;3096;2390;269;601;2488;695
460;12828;2257;3046;2492;3627;434;521;341;1667
461;8041;104;14672;2384;2353;2517;3465;9599;770
462;13675;488;8342;2793;3429;1056;647;373;1035
463;6601;3219;6836;9209;1793;10301;1723;11531;19284
464;1098;2234;1566;417;318;146;1941;1199;3240
465;2098;191;713;560;996;2184;2069;8928;805
466;15345;1198;761;1294;1253;806;305;5350;6684
467;2348;1587;1291;1610;907;530;4969;2163;1106
468;2021;365;1640;1375;935;3249;260;981;545
469;2659;3591;561;2282;868;3703;5515;1510;988
470;753;2112;6860;385;698;1318;599;547;6497
471;827;9960;1634;80;567;3045;1280;2290;2293
472;1685;324;11398;6021;1154;828;5442;9938;1423
473;3442;357;69;4283;1527;712;363;777;2614
474;5462;7603;5159;4921;273;1451;3150;2671;554
475;782;1129;1179;2265;4330;353;1119;227;1088
476;894;499;2152;1543;1177;2721;88;3269;685
477;1225;425;1642;2520;3979;1787;4832;9446;966
478;8662;3071;1168;298;343;677;5446;5385;1310
479;7770;3587;5937;548;265;1948;1047;1040;424
480;4188;30;3242;410;194;393;1084;865;477
481;3039;1037;1259;3136;1197;1611;662;664;1384
482;1147;4306;1253;1262;297;1045;1908;1968;1303
483;1490;12194;5431;2228;1413;2230;660;5556;403
484;14453;839;1412;7940;1637;1122;433;184;690
485;6252;2573;2967;103;772;1196;246;157;2658
486;8910;13976;1301;1053;95;2715;16144;484;1001
487;8189;11356;2363;1278;587;2703;1334;1622;523
488;4591;176;63;769;894;318;6891;1345;244
489;1593;1162;2933;73;290;406;518;1113;1612
490;4894;4049;1798;5184;956;782;3153;1046;2212
491;6338;11120;1143;1091;132;386;3534;6640;3803
492;5865;2108;2308;298;725;2167;761;9;936
493;2291;1045;1336;285;976;784;2953;884;219
494;660;4535;1057;1751;7320;1118;809;1359;1151
495;708;426;4134;4952;1721;133;6392;822;917
496;525;36768;2137;5162;843;3837;4448;2614;1817
497;1634;2650;7296;715;8130;6831;1218;3469;1964
498;5359;2157;1007;4599;2876;417;3858;2582;3118
499;12697;12937;4184;10057;3183;822;645;5364;170
500;8901;1351;2485;1612;307;3666;6294;2485;914
501;2388;737;2411;2385;347;4023;4445;5808;5801
502;564;2650;1436;3759;8241;13335;1385;507;10404
503;27335;4865;1071;6083;3226;4365;2046;949;7807
504;775;5400;1373;187;1205;86;481;1803;1624
505;14602;2432;1294;1476;4088;3817;8013;1185;2419
506;2848;350;1924;468;2560;4351;1933;707;938
507;9990;1612;2445;2937;1728;2133;1696;719;2045
508;4353;2193;2402;108;1264;1164;1983;654;1919
509;10867;857;4028;7873;2517;556;3926;4721;1399
510;4569;2668;3245;1420;298;3679;1151;1389;1655
