;RLS-R2;EA2;pmut3.25
1266;1297;819;155
1267;1057;672;1117
1268;716;540;1601
1269;8979;4082;901
1270;337;652;828
1271;3565;1834;511
1272;1128;2405;271
1273;570;4953;1312
1274;1592;590;3266
1275;508;5022;70
1276;3342;477;1619
1277;3046;1303;2870
1278;397;394;4371
1279;867;651;813
1280;827;2167;566
1281;170;1201;1202
1282;1501;191;2570
1283;3822;4515;2683
1284;1091;2256;2574
1285;907;4300;326
1286;1040;4212;2348
1287;460;647;6067
1288;616;2733;3138
1289;987;11051;1163
1290;1599;5874;736
1291;463;1478;630
1292;1991;2043;728
1293;1056;9595;1969
1294;898;885;893
1295;4782;4242;5651
1296;518;1004;2839
1297;283;2820;331
1298;4577;3807;1746
1299;815;1831;6358
1300;682;7212;1003
1301;1382;2655;802
1302;785;1522;709
1303;8700;371;3488
1304;928;3315;3275
1305;311;2261;1551
1306;9211;613;503
1307;10276;1759;2335
1308;2542;3076;2210
1309;1454;7516;246
1310;1834;494;1203
1311;2564;3971;2999
1312;1377;7159;571
1313;6067;6692;2811
1314;2721;9238;1075
1315;1093;6617;4943
1316;2585;4427;2336
1317;5438;5390;776
1318;2024;1898;3227
1319;3591;1708;8142
1320;2010;901;2222
1321;5058;2418;1875
1322;2405;1215;5784
1323;243;1451;598
1324;422;1148;156
1325;665;2779;2180
1326;2012;6465;3096
1327;3383;736;2487
1328;710;982;3879
1329;49;904;2568
1330;624;2379;6676
1331;1114;923;598
1332;4862;4988;2166
1333;3513;4613;1018
1334;471;2511;2024
1335;3248;669;341
1336;5236;459;2061
1337;352;957;63
1338;1633;786;3498
1339;769;680;2115
1340;299;252;1238
1341;2232;2961;8365
1342;1356;583;447
1343;3507;7673;1287
1344;11955;16030;2239
1345;3103;7852;2975
1346;1651;7553;201
1347;580;297;417
1348;789;2721;1059
1349;340;2655;2091
1350;6227;988;6660
1351;690;1063;3577
1352;507;810;1281
1353;499;4427;1250
1354;2678;1975;632
1355;4047;2404;3200
1356;693;1914;2475
1357;698;634;638
1358;1807;8862;2811
1359;4889;1819;2208
1360;3141;1794;3101
1361;5761;1766;284
