;EA;EA2;EA3;EA4;EA5;EA10;EA50;EA100
449;468;342;882;3589;1805;4109;42285;25250
450;13504;570;2602;2651;9978;5865;567;12045
451;2746;2035;120;3211;267;2838;546;17145
452;2259;1632;2116;5123;289;9883;2652;59622
453;705;694;3998;2260;238;5315;28193;3760
454;1686;11806;4375;7042;5054;543;7041;4469
455;875;899;1186;1281;10554;3660;20417;1563
456;436;804;3274;928;96;30300;30242;44132
457;5051;4271;3271;22178;2256;6448;50267;4464
458;4154;187;6434;823;15163;25733;32719;5209
459;4536;2301;3632;1367;10557;6974;16059;19035
460;7596;134;4477;1220;1816;595;10589;19450
461;768;642;2445;9738;1036;4983;41824;21636
462;2088;3018;108;108;784;17379;14774;28825
463;4713;6441;1827;334;2764;641;5355;989
464;153;960;2894;352;537;1138;899;561
465;2279;2823;218;228;4051;3616;8680;24183
466;2126;1766;4467;678;2604;3102;2307;1766
467;10650;3907;3291;6313;3071;3924;46275;15939
468;534;957;5336;3319;198;4188;9206;21748
469;2027;239;1143;1204;1430;3591;843;1625
470;887;2326;3423;12298;1331;1437;13317;22396
471;8259;10094;528;2950;1367;2354;52154;34436
472;578;697;733;56;6006;58;605;9442
473;720;5242;7821;879;322;2140;6685;5108
474;150;1472;1133;438;1791;395;27086;35498
475;2577;576;5272;4717;1862;20336;44322;8331
476;867;1874;872;2677;1023;6140;382;10168
477;607;1534;3402;3043;120;7589;39694;15337
478;1671;436;616;3878;3080;1938;12083;22130
479;2993;295;802;2135;3242;4238;1608;33765
480;5626;3497;1675;4601;3953;23844;63047;60929
481;2217;616;919;1299;2611;2194;7033;19325
482;1969;1243;782;879;11792;12487;18920;24853
483;1426;1299;3300;3290;8849;910;14920;9604
484;1055;314;3724;2391;6463;2659;17051;15161
485;472;324;342;4072;241;16804;579;34908
486;4854;6359;4094;13139;4285;11057;24822;14216
487;4312;6756;1476;5316;838;809;3243;9833
488;20154;493;1683;3054;4299;3659;3418;53942
489;18499;2754;2146;16531;7504;26734;3879;29533
490;1077;1503;2939;1730;322;18589;1148;1053
491;457;1086;4372;319;2597;1764;4449;14424
492;5458;1482;522;9999;282;8795;18134;116961
493;2217;2687;3483;2160;7530;8333;10176;20229
494;3232;2130;202;1042;1137;12149;3305;29628
495;7122;5306;9936;964;7530;5655;16197;27021
496;3975;162;2419;1182;929;11884;9163;22532
497;2150;8283;1372;3246;6583;12678;27362;5792
498;9311;3105;19798;3963;1270;9279;34148;46987
499;2358;2364;6133;2114;6481;7627;210;48138
500;1642;921;263;1772;2602;10101;124819;3361
501;5809;3195;5761;892;2728;6674;17457;109
502;378;3331;3622;6120;1774;8931;15783;87416
503;4905;3948;1766;10369;3428;7946;960;4234
504;71;2382;5869;1934;683;5369;3903;26300
505;1011;3389;8090;510;1177;13166;2626;15621
506;1026;2535;669;783;2556;11623;3514;9313
507;6682;785;1657;3295;4784;20875;3517;42499
508;3097;2242;3947;19777;2182;8003;11622;100366
509;1708;2894;934;1276;5191;231;21228;24057
510;1673;2589;8718;4944;4762;18010;15303;471
511;2974;1201;1480;2427;1286;3552;5472;25701
512;2918;4906;713;859;14554;4781;1671;8467
513;2724;1805;2727;152;2564;1086;2947;50575
514;1228;3564;497;907;366;26061;18574;10259
515;6321;2310;1898;822;2571;3732;85;21333
516;292;249;1685;1044;220;2166;4639;9321
517;4378;1389;5469;1720;1353;4600;4474;31917
518;737;448;7243;2342;436;4712;1668;216
519;785;267;1583;3247;649;12602;4812;19259
520;3574;8719;2391;1123;1712;6496;8525;15910
521;844;2764;2140;878;3222;2497;6662;24543
522;33108;4389;883;3326;2393;3191;21939;44320
523;3703;284;3998;292;5127;7961;1532;5710
524;5822;433;3308;268;6400;2050;3657;29415
525;3786;152;1509;4197;11013;14921;13398;27273
526;1450;4509;2523;9550;1194;14444;10810;68365
527;1130;409;7679;5706;2625;6352;1501;8007
528;4205;3894;6818;4227;408;44320;24243;2228
529;889;956;362;4907;1388;2889;3755;13060
530;489;621;2524;837;4944;8614;18840;11230
531;1004;3194;1574;1685;3867;7995;22591;27
532;3889;2036;2717;1744;5851;10797;4625;10252
533;433;1591;324;4859;4178;1277;19733;11441
534;2254;8134;423;2032;2188;5381;11591;53805
535;345;3365;387;124;7478;2953;253;56638
536;355;1121;3529;568;5739;12871;11961;15356
537;1577;1461;4563;725;8123;4566;32429;3976
538;2607;1058;725;7960;551;4941;18860;3968
539;1320;3466;11152;805;9354;9656;9626;14168
540;5763;1458;902;5734;1988;5989;31748;917
541;2833;482;744;3869;9468;3057;13610;1625
542;1317;10326;10366;4325;3024;6661;22148;20342
