;RLS;RLS-N2;RLS-N3;RLS-N4;RLS-R2;RLS-R3;RLS-R4
335;3484;99;723;5103;2554;437;813
336;1857;3366;3743;2193;2063;226;1450
337;595;2793;4568;9187;1090;187;520
338;760;643;2087;762;742;902;1269
339;995;2508;841;2353;787;1718;865
340;124;1760;5724;1835;2210;5595;529
341;305;3799;355;4377;1482;3665;860
342;3628;8183;8261;336;740;8714;1346
343;4589;2295;3776;22618;792;833;2020
344;4231;1701;4058;1165;2835;1442;2771
345;400;1207;2576;8426;2600;262;1276
346;3385;1233;1099;7123;2410;6832;6466
347;721;4630;1867;107;1398;2635;4770
348;547;4158;1920;3752;1636;6729;5965
349;1262;3048;12057;4336;5988;429;3359
350;3020;2814;5993;2494;874;570;1973
351;9873;3635;1270;14705;1540;2517;4737
352;491;2057;1853;2489;3021;572;1061
353;73;884;491;105;277;753;2907
354;971;191;2842;1325;1759;542;1284
355;11053;2582;7843;1155;813;13548;1544
356;718;4815;4258;8595;1786;15;1102
357;347;3144;5225;9646;530;210;335
358;898;7532;6755;905;9043;21130;6663
359;412;2183;1579;487;178;428;1217
360;1409;330;3112;882;50;464;661
361;1895;8434;4289;4407;1335;1620;5640
362;6184;11346;1473;8497;2963;1977;2170
363;300;8600;5628;3585;1136;5905;918
364;261;7404;1965;2643;1794;1523;2469
365;1130;599;8934;4854;914;4702;2526
366;2308;3898;2650;263;245;668;679
367;346;956;1432;426;5171;2757;1200
368;198;7066;1602;4758;380;168;550
369;390;3405;2259;4279;707;1308;1212
370;766;620;187;1722;3135;1139;2944
371;1203;5430;5641;99;1465;5164;1074
372;277;4513;1491;2404;706;3647;2493
373;239;889;828;144;285;177;673
374;783;4369;2765;11862;9092;1112;13042
375;9497;250;1898;998;3008;2933;2893
376;681;13268;145;8490;11315;740;9108
377;567;7656;1720;7220;1183;7269;5846
378;1703;1813;5358;2112;544;2821;4632
379;7152;1797;4367;1960;694;3374;245
380;1281;666;10954;475;2545;1565;1703
381;1552;1417;1825;3669;1977;871;579
382;1673;2521;2489;677;3059;12394;3199
383;242;1218;3801;4407;2601;779;3049
384;685;1511;6587;4484;1152;154;1274
385;5477;1797;8111;6774;215;38333;2404
386;1329;5871;1825;452;239;125;526
387;529;3335;5318;3640;250;6975;3419
388;722;155;8760;24002;886;3124;1008
389;1802;12253;501;292;1714;1593;11940
390;2619;4044;20434;14791;4412;6109;16197
391;5002;4693;12595;315;13331;337;1345
392;691;8476;5787;1869;3121;740;3844
393;1369;764;275;2737;1007;8411;1092
394;1762;5096;5673;2574;949;2690;3436
395;1166;1153;644;1038;5621;3328;1452
396;5710;5791;1159;3155;6097;10097;5874
397;3224;397;8882;1478;3240;189;4951
398;1418;3784;6345;3570;3621;1214;1177
399;1028;4612;1263;408;165;485;1900
400;3605;564;3118;1790;1567;2369;2494
401;1554;9593;3394;3315;3788;4190;3380
402;895;908;6324;8298;1450;2121;138
403;141;7847;4351;1269;2856;3732;4418
404;2227;5723;2863;2154;1260;2054;531
405;137;2379;1557;1218;257;6559;2463
406;2527;3535;4948;5701;1288;1241;1539
407;5532;798;4774;9386;14326;1214;407
408;116;462;1317;2402;169;7211;3042
409;393;820;1520;9741;195;581;1652
410;626;9016;10197;3560;10822;403;75
411;2124;332;3690;1069;2886;2109;695
412;422;1751;591;11344;2663;7291;4136
413;1466;17600;3257;28983;8329;2753;1108
414;10013;1110;10268;1355;1270;3185;4323
415;329;1800;4561;2061;329;643;2085
416;1728;1338;973;259;519;6273;2135
417;2983;2498;25251;17530;1193;4658;3293
418;1167;2672;2981;634;1791;1176;801
419;2061;1318;11665;6582;1261;5739;14071
420;1930;1893;2608;2026;2731;2547;2610
421;3739;1693;7229;1771;3358;673;2567
422;2069;1564;943;3740;1524;221;1876
423;2549;3072;2199;1825;999;1627;6165
424;4968;5264;7223;13488;486;1273;2401
425;8011;367;7390;5872;4308;4109;1388
426;683;811;3177;990;6747;11679;7957
427;1898;720;1269;3680;3078;1431;369
428;2604;5435;8506;656;1010;8194;1271
429;2906;1775;1012;547;1321;5693;2498
430;649;3062;2917;1248;546;507;3015
431;3523;5965;9349;1390;7410;4050;4843
432;316;546;6139;212;258;1392;1542
433;1932;1061;7619;8246;3653;5904;4188
434;3964;5712;300;4720;1016;1476;8391
435;713;2330;3472;4769;1551;3468;5183
436;353;2960;8826;2734;1826;3878;2051
437;1590;560;2235;3328;1674;1729;1223
438;8537;383;2947;2397;12029;7427;6493
439;fail;4388;4703;14706;236;1108;183
440;985;4725;1172;97;733;1664;6688
441;3634;634;13632;12522;2288;3540;672
442;561;15731;689;20017;34066;8141;6038
443;102;1866;4929;7262;136;2521;4308
444;6167;7563;5673;1848;1262;9376;1107
445;222;3938;3394;622;562;2097;2809
446;989;838;1993;206;4566;210;3627
447;703;2548;7732;3184;3056;7317;35
448;5202;4720;3528;9064;3078;14064;9734
449;3200;1700;19899;3062;4135;97;1570
450;1183;3066;646;4345;458;2256;5689
451;3379;825;264;567;2446;275;3044
452;2142;4272;15379;3102;2840;958;3567
453;802;3458;5795;2123;181;769;109
454;256;1133;2176;10405;1109;11262;1639
455;2202;17555;9656;11832;2150;3242;4034
456;2897;147;12982;5610;4690;15231;7537
457;50;342;760;5396;712;578;65
458;5787;4751;1002;1575;8056;1118;2930
459;1332;2246;3511;434;863;7206;415
460;174;1479;6629;340;902;1364;652
461;1758;2841;5526;1547;1467;107;212
462;98;1332;101;6663;134;2266;3731
463;2596;2174;6834;2754;3466;741;4157
464;1686;5715;2679;6037;4425;11428;2507
465;250;614;4081;1580;1018;719;4782
466;10865;11532;3927;6640;353;1638;6155
467;3589;2163;1665;8621;1644;1581;3443
468;151;843;289;1864;1095;606;2635
469;420;330;934;4046;376;2752;558
470;1857;3389;470;4889;584;1852;2846
471;2436;17184;168;18327;1654;4517;716
472;384;6062;1312;21028;2538;1982;580
473;3960;2774;525;4215;317;231;425
474;5442;1314;1653;1968;824;4982;830
475;481;3635;462;2792;1932;1473;966
476;1823;10164;490;8938;390;1307;1934
477;3045;5406;5602;240;135;3934;4503
478;4350;1721;4136;4532;484;4654;6864
479;3006;1686;6160;183;809;1590;3921
480;309;1577;2252;5199;234;1160;3073
481;1608;3536;1959;1109;265;1055;2950
482;1167;5326;2588;2232;4233;238;1459
483;3984;4104;2943;3523;2656;12114;60
484;129;441;2226;3550;202;1735;2941
485;2477;2119;1832;5567;3172;755;3382
486;5723;9031;4378;2902;688;586;11810
487;463;2577;8603;15391;1150;2244;11385
488;923;2495;532;1366;375;372;607
489;1671;9121;14674;2488;1979;14064;2205
490;5596;3355;3199;558;80;862;158
491;511;1803;3131;2849;672;837;1025
492;1006;990;6578;18197;5328;1437;2672
493;3813;328;2715;6148;2335;64;968
494;18049;1697;7475;6035;3287;2936;8622
495;132;217;9128;2229;651;2241;252
496;2594;4363;1807;3097;1098;1135;785
497;451;1306;2176;175;611;1955;998
498;2605;8945;263;5331;2544;3154;1162
499;4238;2807;12314;264;286;2403;6880
500;2960;657;963;11651;946;3320;6660
501;1265;1052;2795;3129;1028;720;977
502;5969;1821;1581;14418;1939;19110;4716
503;454;1060;514;2050;405;4878;3702
504;193;609;1150;1259;3284;720;1024
505;1302;9614;4546;3159;1564;1083;436
506;1429;1908;3463;1991;1231;603;3131
507;783;2576;2172;3082;2042;317;16766
508;1871;5387;417;4590;8910;65;6632
509;1379;2344;5372;1486;3483;1736;4356
510;774;1396;374;1343;4912;2484;1380
511;4985;3820;9522;497;2161;9698;7313
512;5575;6931;3615;1038;444;1134;4060
513;2289;21261;23848;335;1466;1269;757
514;605;1443;8727;1445;2058;284;323
515;713;1900;5203;2174;1754;5170;89
516;204;378;3084;2492;578;840;3636
517;1594;7559;1861;5556;4616;1594;1821
518;2173;370;4378;1226;2084;2768;879
519;3607;1537;3933;16274;302;3455;7450
520;201;993;6926;13817;554;1925;684
521;518;831;1266;1534;70;1681;1211
522;7160;12460;3468;724;523;3423;1675
523;1853;2252;326;1998;1696;476;7622
524;1728;1097;808;5493;463;845;10607
525;322;2996;1480;2047;1222;7281;666
526;6195;652;3750;2130;3992;1186;670
527;1013;411;1999;1641;2261;7162;557
528;1621;1413;2567;7671;1959;3250;6587
529;1841;4741;1953;29399;320;3512;2012
530;555;2323;555;3414;2975;2314;1235
531;6122;1017;5498;3523;6190;3149;2198
532;625;1194;2343;215;1141;7254;131
533;1096;4586;5011;8033;3104;1861;11113
534;134;6202;860;4790;2692;233;4933
535;207;2229;1850;1405;149;1061;520
536;1088;4818;266;7660;783;405;262
537;820;7477;5805;384;983;2411;1233
538;372;98;3660;4986;1795;1780;2966
539;774;362;136;1380;10933;7020;2766
540;6675;768;5007;8971;3146;4157;1675
541;364;6720;5911;5656;4908;1702;270
542;1279;336;6493;3610;902;1388;1020
543;137;4115;155;99;1032;541;1166
544;1094;483;3331;3069;604;1395;255
545;2574;1326;480;3916;532;208;572
546;7663;2038;1224;1148;5132;951;4170
547;120;701;2664;4763;2048;1273;2126
548;652;2506;959;2494;4607;980;3629
549;319;6175;1743;5288;3623;3325;1792
550;723;184;1918;1242;6887;1117;3728
551;5142;2523;237;8670;902;5606;966
552;2410;6539;1637;2647;1301;1402;492
553;1505;6276;4627;1251;674;825;2858
554;2855;3426;1807;23317;4514;3400;103
555;316;3802;17643;7004;2349;10976;904
556;6787;2044;1992;1583;2105;10897;10741
557;443;3967;2285;11498;1968;948;9848
558;2592;4463;2265;4273;1312;156;1122
559;2619;4034;4351;5865;1199;143;2271
560;1153;445;1611;16303;2109;1391;352
561;1700;5341;2442;1628;11094;68;3203
562;2218;7306;2298;652;3245;576;7
563;4552;1855;7550;4126;575;1819;360
564;1371;3787;436;954;2363;1934;1438
565;325;462;257;6555;2812;1127;1449
566;239;466;1834;292;384;2237;6080
567;5565;2059;2996;691;541;4419;2437
