;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0
62;fail;fail;fail;50200;31661;7593;fail;fail;3015;3218;15545;94263;fail;15457;27607;3473;48136;40463;fail;386;5951;2510;360;776;fail;1034;10022;10812;10421;18994;3365;7234;3175;164;2644;1659;1215;3740;2663;5029;93;1331;1703;1994;8203;2269;960;2951
63;fail;fail;fail;35868;4141;80226;fail;1095;63386;7631;6138;2840;fail;15189;8124;22274;1256;90998;835;3123;339;5702;816;1472;fail;14632;364;13234;1522;7834;1529;782;4103;1251;2261;464;653;98;4430;972;411;467;686;3852;2461;2004;2105;4777
64;fail;fail;99260;7706;fail;6793;fail;1007;10298;28823;3008;486;fail;746;12522;323;1141;16160;347;1509;746;6125;1696;9784;99;1715;594;1708;8039;10757;428;967;377;422;996;3124;5150;8721;9750;18896;551;2426;2385;7906;265;2592;5158;292
65;fail;fail;21045;27306;5764;fail;fail;fail;2374;18665;98066;1290;fail;4560;7451;334;3739;3419;fail;2951;2579;7359;854;2457;fail;6952;21856;936;9237;41641;429;107;175;715;3723;409;2487;2161;10151;166;1735;1414;1232;27;7156;1262;271;339
66;fail;fail;fail;21297;1156;fail;fail;2203;5819;625;7790;12853;fail;15170;12538;4216;10173;92;fail;916;15657;1050;6580;799;674;6609;361;1936;506;927;250;487;1779;2699;842;391;484;1173;518;265;2606;1349;889;5654;1580;629;1183;3252
67;fail;fail;36270;785;fail;48268;fail;4209;39740;249;82558;8187;fail;fail;37;146;1555;60;2633;888;2087;2505;724;109;fail;287;7313;1850;868;352;292;5043;17346;1795;1685;18;554;1592;3412;1750;4041;623;441;1075;1465;2707;1319;2214
68;fail;fail;2634;5027;17608;300;fail;fail;7339;13228;2206;2110;fail;465;4381;34080;495;9178;1020;126;3629;518;250;971;fail;804;1889;3296;1691;1503;881;511;3320;2117;986;705;513;2941;863;111;4048;535;3784;1729;896;1923;1581;3487
69;fail;fail;37727;1158;3026;420;fail;fail;20206;7626;1452;976;fail;316;23424;2974;6226;12706;732;9473;21984;7784;162;220;359;4944;3868;2616;15840;26871;1184;2023;1915;4498;359;800;2634;9530;96;1490;527;475;233;1190;2103;1570;1252;2740
70;fail;91;fail;fail;14505;42;fail;187;46341;13192;fail;8999;fail;165;7337;318;6093;358;fail;8935;9597;1810;46399;4628;1319;10410;1052;1128;5612;3849;756;70;4719;23;2871;1812;350;718;2543;1793;776;1466;531;1841;1261;80;1312;1978
71;fail;fail;6352;93195;559;30474;fail;5766;193;279;41922;232;fail;8955;5748;79;1270;312;fail;1048;19292;13294;48;524;fail;7323;4197;825;11396;357;892;1522;373;717;1972;3733;1613;931;729;723;406;465;2033;268;1367;1439;657;2017
72;fail;fail;86;1314;42745;6512;fail;fail;fail;40417;46866;2650;fail;2758;810;137;2593;6999;fail;582;16004;4258;151;7814;3129;1171;401;1444;1634;798;9180;4349;1983;6805;2691;14310;2809;5847;74;1264;882;7895;4166;1325;8764;4882;657;942
73;fail;93;22803;339;7872;227;fail;fail;75277;37809;59734;52409;fail;2757;166;2309;3357;24041;1089;4663;905;2140;4191;707;1111;709;1670;6596;1421;2523;5665;2441;1543;3738;860;66;3235;2721;191;1732;2265;229;6264;1048;2694;419;1216;1135
74;fail;fail;91097;fail;6702;4248;fail;fail;1700;9273;fail;68209;fail;12221;2987;65;4478;10721;299;5975;1595;2729;464;10015;345;11299;1780;1192;3667;384;2774;7493;13852;12851;2369;939;10633;1495;22601;883;612;800;633;805;863;806;286;1058
75;fail;fail;fail;10895;9541;17580;fail;fail;13745;2051;86105;28707;fail;fail;12720;12707;1333;734;693;7858;12902;4226;3557;595;26;388;4572;1092;3474;8163;1744;527;1139;1136;2775;938;875;61;3138;1070;758;6577;4690;2113;5386;1234;1731;1128
76;fail;fail;1593;77804;46493;fail;fail;fail;fail;26731;6267;43688;fail;866;7922;226;19595;4881;936;521;878;1547;729;1992;387;1423;2392;51;1550;623;927;335;290;1245;2287;3895;695;1126;1060;273;558;3299;298;490;1196;573;855;3005
77;fail;11;182;3052;fail;1647;fail;2442;6627;18695;3374;1721;fail;6150;8502;462;53675;42664;1473;265;1485;2869;1296;205;fail;15240;7819;4739;29748;33513;259;5037;3344;718;393;197;101;1130;1290;617;636;459;3249;4212;3190;7441;521;4229
78;fail;fail;fail;17467;38746;25416;fail;fail;21534;3826;31057;776;fail;1303;165;11181;4375;1457;2258;1060;8741;4027;1674;359;27;2726;610;3189;1054;284;1555;2247;14087;921;797;2284;2948;2295;873;10457;349;166;450;1469;998;3703;622;616
79;fail;fail;fail;11792;fail;1233;fail;397;1171;8425;29840;61310;fail;fail;46415;14194;fail;5411;fail;525;12238;1165;3199;2568;fail;231;997;3703;72;3099;531;326;1660;1472;1731;1502;149;656;963;5498;1287;156;718;1276;13517;1465;1295;4779
80;fail;fail;57546;14209;5565;637;fail;4634;6289;5038;2039;384;fail;7714;9232;7482;13733;116;fail;2990;1280;6991;4021;9716;fail;4309;8094;2863;1582;20301;1356;1422;9252;8424;7542;16947;1318;138;1220;3027;1157;3813;1821;374;1769;5940;1380;5757
