EA;EA2;EA3;EA4;EA5;EA10
532;1924;7050;637;2416;15867;2364
533;928;1625;2730;3572;561;1535
534;1154;397;1268;501;7294;4269
535;757;6680;16408;2392;3680;46040
536;3381;3240;5720;2008;2299;345
537;16700;2314;9632;6271;2332;2576
538;6168;2340;1293;3641;1800;1687
539;4416;2388;2676;1125;539;19842
540;796;433;5020;3962;1776;134
541;34874;5063;769;8108;539;14751
542;5244;3181;1323;921;2319;893
543;2500;5896;1201;9160;9303;4312
544;789;3012;845;10841;388;879
545;1424;2444;2781;292;348;828
546;421;1855;535;3749;1585;1239
547;1077;823;1212;2917;193;9120
548;326;7429;1069;1151;2878;3909
549;1113;1403;7541;8316;5844;11142
550;3093;609;1193;596;1047;1386
551;4562;9609;8281;427;8921;11092
552;11895;7011;16139;17349;1681;4761
553;642;145;663;2373;999;2423
554;1231;219;255;1602;808;607
555;533;5329;8427;7990;4999;21128
556;419;1631;744;929;167;3098
557;1578;9155;22823;484;4752;20451
558;1697;2002;2816;18840;2720;14568
559;299;916;9999;1482;593;5549
560;3640;986;2560;9898;784;8197
561;365;10285;1795;6448;8759;8515
562;7123;7877;802;1735;2685;5631
563;9677;1015;13185;18434;1351;1980
564;3427;3690;332;317;1893;756
565;285;216;506;150;5309;4925
566;5220;812;1412;2192;7901;2103
567;190;367;1447;3967;3027;2696
568;544;1687;717;1678;791;6881
569;3034;847;38;3510;1266;2454
570;3748;3406;12812;1129;1390;19779
571;1171;1435;13323;806;8557;1822
572;320;1776;299;270;941;2682
573;3258;8946;8437;14580;5362;1275
574;1374;1024;1107;5605;1963;441
575;12616;20333;551;4248;12512;885
576;2611;576;156;481;1925;5258
577;339;164;398;457;6437;861
578;481;423;609;638;1535;1009
579;3038;2005;6079;672;1115;18214
580;3295;12339;812;7667;17204;1508
581;1495;568;3856;518;2320;5536
582;1178;2315;1734;693;2329;3992
583;6059;2843;9206;304;5730;13434
584;360;1224;919;217;1073;14501
585;3209;402;6093;1058;4304;3898
586;6640;3167;2356;737;11966;3484
587;1207;267;277;184;107;1236
588;1729;1242;262;414;1499;1109
589;2200;165;1528;15796;3631;13026
590;2813;537;2479;1543;1444;9808
591;1996;4425;246;233;724;1205
592;352;1721;2918;2031;207;1295
593;448;1179;2193;4113;1931;1570
594;579;2130;378;2980;675;1194
595;3729;179;5816;6557;8447;1888
596;2271;2538;12960;2331;5252;11698
597;959;3358;6297;8660;135;12244
598;678;109;1474;588;4949;6344
599;17383;5628;14635;16717;2595;38541
600;1016;325;223;723;4611;1491
601;2046;3283;1651;4001;6167;1780
602;3228;419;3134;4146;273;389
603;2755;1143;10988;14519;5862;17996
604;3062;460;2879;2030;2028;2368
605;952;1906;893;661;151;7762
606;309;391;3489;411;592;930
607;678;6725;3569;14422;11998;19340
608;5094;1102;271;51;615;887
609;665;2885;4044;643;5644;310
610;858;149;2768;14968;1982;4926
611;11077;1224;9691;9204;1272;14110
612;2449;5101;12847;228;1802;22782
613;9821;6972;3511;12738;11479;14285
614;1221;284;2820;1897;1511;1814
615;1121;10547;1665;646;2690;10389
616;525;12055;4752;4965;2652;5901
617;1582;2671;1544;4270;1466;12058
618;4120;1064;1810;12530;8893;251
619;5579;165;1924;622;8045;785
620;4375;1336;2980;8978;6003;4571
621;1741;75;415;738;962;106
622;2026;91;1382;15152;620;7706
623;284;7484;1801;352;1370;23760
624;147;6988;5485;4278;6760;10581
625;1996;12856;5461;27100;15250;19197
626;890;531;67;8614;6658;1732
627;1764;1405;652;981;7130;6907
628;629;7773;9607;817;4510;19990
629;8115;914;1113;14725;7738;7792
630;882;819;502;2429;1061;543
631;2010;2754;566;2061;2238;952
632;16271;230;1626;1542;3692;3549
633;1966;1144;3482;7075;8016;5684
634;3162;258;1710;3055;6205;15175
635;3725;321;2544;5293;4069;7338
636;6659;1273;9145;2127;5810;35055
637;9633;2671;4186;552;1137;1577
638;7125;5148;727;4285;16738;3722
639;551;1197;3439;599;4138;9347
640;374;661;2853;3596;1817;295
641;2512;698;3743;833;380;7345
642;2787;2476;200;2546;1968;7248
643;1441;1640;1353;1227;116;5697
644;4316;1926;8454;1347;676;1807
645;4230;4581;4326;6007;8622;6276
646;679;1528;1599;2039;1576;3802
647;1548;3903;4535;2321;459;6102
648;3060;613;1973;8397;5835;14845
649;873;2100;2163;1946;6152;3521
650;2507;3406;1211;1814;3348;3954
651;7681;1768;1621;3946;4079;9464
652;503;979;801;4796;832;1279
653;11650;1242;1681;9321;3051;4354
654;5548;3232;1917;5619;816;884
655;514;3827;1092;596;795;3080
656;6109;3907;271;1169;5980;1942
657;9191;10563;3550;5629;4915;3182
658;418;7544;3454;4230;2058;9676
659;9797;19784;1059;1936;2559;22006
660;446;1473;2940;712;904;2565
661;1947;1201;631;999;1457;3110
662;4941;1140;1497;3501;12951;5971
663;955;535;1872;5203;2006;11986
664;421;3012;227;2159;514;2288
665;1459;41;3490;4060;3254;1772
666;6458;3099;8759;7377;214;6196
667;3535;1624;2432;123;1635;12354
668;2690;2672;1742;2573;1786;8807
669;8477;841;306;708;1700;1766
670;453;7424;390;9329;5816;5319
671;724;665;224;2273;832;503
672;2802;10610;1417;4361;2334;1353
673;2872;7882;483;10851;351;6589
674;1614;570;2130;1486;947;1654
675;1213;2404;8397;4782;13743;8483
676;880;265;2895;980;939;16538
677;2251;7050;8290;2706;6440;356
678;238;2136;763;1725;1642;2633
679;13615;1057;5285;2772;5733;28612
680;466;1314;1260;1594;518;2413
681;7663;923;2600;1039;23935;18078
682;6383;1035;6029;705;3938;12170
683;2997;765;1212;510;612;975
684;5798;32236;1044;22675;10960;6752
685;6042;1157;12937;12274;8337;19270
686;2628;3005;2139;9002;8380;15343
687;192;2808;942;730;620;139
688;4291;2957;7063;1234;3583;29739
689;1061;479;1041;5533;8450;1624
690;6431;3569;780;2332;6994;3784
691;4584;622;7460;7274;19839;15441
692;12071;7362;5984;3623;21650;26235
693;470;2758;295;6001;1561;740
694;99;63;480;7519;7432;13978
695;521;603;3580;3673;2768;2050
696;4323;86;5232;2175;1476;6992
697;9687;1599;6666;4817;8349;11242
698;721;227;1464;1231;745;382
699;3291;2897;1189;2505;1923;3347
700;253;1946;1162;14909;32478;1943
701;11746;2093;3341;1480;4095;360
702;11178;21978;10167;8560;2074;1644
703;218;1155;2312;2730;48;4232
704;3015;4468;4982;4023;10511;2199
705;7501;1172;2982;623;2885;20442
706;2073;1412;2258;2587;2542;537
707;7275;3892;15659;449;3056;10696
708;531;697;731;711;1981;865
709;708;8296;1165;4657;2796;1812
710;8485;891;2254;10019;11933;1117
711;372;84;178;694;973;437
712;3089;3664;2069;18368;1897;15354
713;1272;5042;633;1456;966;3821
714;482;55;408;902;1840;5850
715;1152;154;592;370;1183;1206
716;11930;4543;1109;3416;2091;5581
717;2448;1254;1642;9328;6478;3176
718;633;69;2305;566;880;1550
719;710;172;585;1824;8648;1200
720;1058;191;603;2370;1631;23539
721;1071;1804;2389;1412;2499;141
722;848;1704;517;910;2244;9370
723;1295;824;363;4091;5265;3667
724;1762;940;306;2596;2215;13764
725;456;523;1878;1516;1210;693
726;2338;13873;1481;5615;541;14808
727;691;1718;1854;7070;23127;13692
728;44;3860;248;3243;67;203
729;2109;199;1721;330;3067;878
730;1950;1292;622;14004;105;17921
731;4888;1643;8716;220;7728;3469
732;1909;1726;777;4263;425;366
733;3560;1641;2542;3415;1921;503
734;2879;3701;1194;2279;194;13080
735;2062;876;597;723;1407;3609
736;8846;1941;4067;12809;4285;10590
737;473;7175;7514;9246;4584;3000
738;917;2919;1503;3678;4079;1765
739;3564;491;234;1519;4620;1069
740;1337;4217;265;171;1042;1090
741;920;5854;4715;4005;3485;3959
742;2792;295;324;5280;1593;382
743;264;1445;3045;2280;2409;8905
744;3089;1488;2297;1041;5484;1652
745;2112;375;994;992;4530;2913
746;1186;7095;4801;3102;4515;777
747;1504;1856;884;1139;488;8134
748;4698;10299;336;11549;1797;24531
749;44;950;1078;2007;180;1555
750;1046;6952;3220;918;8854;7358
751;452;2016;600;2557;311;1243
752;4503;3008;330;964;362;2938
753;1777;1793;8849;1121;12005;2574
754;2963;4474;20201;10214;2777;622
755;11008;4504;3508;13853;10347;9599
