;RLS-N2;EA4;pmut2.25
852;3453;112317;25563
853;3136;14828;15861
854;1684;6384;2350
855;3143;27901;20685
856;6189;20770;48174
857;39655;26865;9741
858;8708;45747;5517
859;4414;52003;160105
860;54562;29169;41848
861;58748;43515;1757
862;1251;19181;2954
863;62420;2670;77400
864;6160;31974;471
865;6924;22291;15627
866;58985;27175;1658
867;12726;4870;10954
868;13200;156;828
869;3002;5588;59933
870;19165;24535;43192
871;12276;7381;18577
872;45514;61390;2251
873;3553;2489;21857
874;2465;14068;933
875;121528;69945;169320
876;19619;6440;21997
877;41420;31782;52308
878;15913;25638;14301
879;66956;4417;8119
880;17459;28176;326
881;10595;57442;25644
882;2277;6678;17288
883;9374;2971;18962
884;87682;647;1459
885;9268;149;38602
886;57052;7417;3019
887;18622;51521;40096
888;6725;4343;4266
889;11982;6392;27854
890;36685;37639;20347
891;19012;1643;18056
892;295;22170;4799
893;24088;18089;11730
894;17844;11107;88106
895;18354;65094;39143
896;4137;20120;672
897;51932;1950;2103
898;17936;11692;30888
899;3360;102605;27351
900;4474;1105;155004
901;62763;50297;35436
902;7777;65239;2142
903;733;7742;36024
904;2299;9396;29838
905;9008;4770;7072
906;24553;21979;11803
907;17476;12422;23748
908;11609;7199;30417
909;17843;21294;3755
910;10315;41025;43930
911;18593;78399;30032
912;18227;590;26175
913;20600;15944;50495
914;10460;33494;10658
915;13051;97;2452
916;30672;9562;3484
917;31428;987;26064
918;40116;21259;681
919;5068;22633;28927
920;7444;20328;35817
921;8312;94466;27766
922;3998;12467;17132
923;28427;26632;32593
924;38743;12485;406328
925;6996;15833;20581
926;5245;34283;8675
927;25346;8650;3632
928;10718;46421;5390
929;53471;62964;10265
930;34085;15301;29540
931;11436;25697;106948
932;10619;11890;135539
933;14963;40926;10024
934;91565;35766;6983
935;26911;17297;12538
936;1482;73552;28173
937;5608;4576;34154
938;1358;10159;12233
939;14404;33878;683
940;31052;29220;25200
941;37017;1136;81230
942;30911;13185;140166
943;11948;42908;68492
944;10492;9508;42350
945;5527;25743;33140
946;27703;91084;10618
947;817;21151;19085
948;15594;2798;117416
949;1941;14164;2318
950;9636;25433;45466
951;42005;9054;5232
952;6473;15410;16294
953;11128;12050;159094
954;17673;48570;48438
955;2408;14294;147554
