id;length;n;p;count;minDif;maxDif;avgDif;solvable;solvablePercent
268;7;10000;0,90;1000;4333;4487;4426;0;0,000
269;7;100000;0,90;1000;44547;44963;44764;0;0,000
270;8;10;0,10;1000;0;1;0;991;0,991
271;8;100;0,10;1000;0;2;0;971;0,971
272;8;1000;0,10;1000;0;8;0;751;0,751
273;8;10000;0,10;1000;0;23;1;348;0,348
274;8;100000;0,10;1000;0;74;5;128;0,128
275;8;10;0,20;1000;0;1;0;993;0,993
276;8;100;0,20;1000;0;2;0;926;0,926
277;8;1000;0,20;1000;0;10;0;642;0,642
278;8;10000;0,20;1000;0;24;1;320;0,320
279;8;100000;0,20;1000;0;97;6;121;0,121
280;8;10;0,30;1000;0;1;0;996;0,996
281;8;100;0,30;1000;0;3;0;903;0,903
282;8;1000;0,30;1000;0;12;0;576;0,576
283;8;10000;0,30;1000;0;27;2;256;0,256
284;8;100000;0,30;1000;0;121;8;92;0,092
285;8;10;0,40;1000;0;1;0;997;0,997
286;8;100;0,40;1000;0;5;0;897;0,897
287;8;1000;0,40;1000;0;8;0;542;0,542
288;8;10000;0,40;1000;0;32;2;267;0,267
289;8;100000;0,40;1000;0;89;8;88;0,088
290;8;10;0,50;1000;0;1;0;993;0,993
291;8;100;0,50;1000;0;4;0;898;0,898
292;8;1000;0,50;1000;0;9;0;602;0,602
293;8;10000;0,50;1000;0;34;2;220;0,220
294;8;100000;0,50;1000;0;88;8;97;0,097
295;8;10;0,60;1000;0;1;0;992;0,992
296;8;100;0,60;1000;0;3;0;889;0,889
297;8;1000;0,60;1000;0;12;0;584;0,584
298;8;10000;0,60;1000;0;25;2;254;0,254
299;8;100000;0,60;1000;0;72;8;85;0,085
300;8;10;0,70;1000;0;1;0;994;0,994
301;8;100;0,70;1000;0;2;0;916;0,916
302;8;1000;0,70;1000;0;9;0;619;0,619
303;8;10000;0,70;1000;0;23;2;267;0,267
304;8;100000;0,70;1000;0;125;7;111;0,111
305;8;10;0,80;1000;0;1;0;987;0,987
306;8;100;0,80;1000;0;3;0;929;0,929
307;8;1000;0,80;1000;0;13;0;649;0,649
308;8;10000;0,80;1000;0;27;2;313;0,313
309;8;100000;0,80;1000;0;121;7;112;0,112
310;8;10;0,90;1000;0;1;0;989;0,989
311;8;100;0,90;1000;0;4;0;957;0,957
312;8;1000;0,90;1000;0;6;0;755;0,755
313;8;10000;0,90;1000;0;26;1;387;0,387
314;8;100000;0,90;1000;0;51;5;125;0,125
315;9;10;0,10;1000;0;1;0;996;0,996
316;9;100;0,10;1000;0;2;0;982;0,982
317;9;1000;0,10;1000;0;41;19;11;0,011
318;9;10000;0,10;1000;314;466;401;0;0,000
319;9;100000;0,10;1000;4432;4900;4694;0;0,000
