;RLS;RLS-N2;RLS-N3;RLS-N4;RLS-R2;RLS-R3;RLS-R4
576;fail;2084;76968;7549;2213;15001;132090
577;58951;1166;6408;80962;19783;18781;4958
578;19893;12290;1011;21376;74307;25371;4050
579;fail;7556;42111;80090;15699;37403;6714
580;fail;30230;17768;24087;1388;8608;66887
581;fail;9690;33691;47496;9598;718;33023
582;5831;4781;29188;46735;11186;21815;43278
583;18127;2340;15398;8343;50995;11407;962
584;fail;40673;25600;61571;9889;21629;25965
585;fail;4733;13866;13368;30857;46168;8203
586;fail;7602;20093;23211;22793;17054;3466
587;fail;1027;2549;31489;39;101782;3050
588;fail;7984;32398;28517;7299;30622;18764
589;3927;16930;43390;2172;652;4269;6701
590;1266;9119;79147;14286;2857;66316;883
591;29667;43822;23986;11371;9177;3109;21515
592;4480;71656;23273;10757;152068;359;14063
593;7469;2004;7009;18787;30926;130;29399
594;866;16733;64143;83201;49534;15966;3177
595;fail;17713;6722;762;5197;18528;24381
596;fail;1336;2215;60282;62263;21340;654
597;5602;13605;15262;64527;1055;28458;38167
598;fail;15706;9037;36274;27810;11193;79079
599;28657;10505;8895;56741;35040;2415;21204
600;4159;32881;70261;38578;33635;590;27058
601;fail;39443;49234;37511;5532;14499;37832
602;fail;6122;29014;17455;8286;60428;68240
603;fail;8236;4155;24968;14795;64045;11698
604;13404;19649;22622;28500;26847;29589;54228
