;EA;EA2;EA3;EA4;EA5;EA10;EA50;EA100
426;7285;4486;2941;1403;459;12;65;88
427;3932;1036;3095;1771;14;23;68;92
428;101;4808;3466;121;5352;17;47;2
429;23;125;231;85;49;6;38;21
430;89;186;147;1901;44;96;12;83
431;41;2362;153;3056;3722;18;61;12
432;2592;4201;10;109;1839;37;328;101
433;9873;4186;0;46;23;1649;345;118
434;173;49;6993;29;33;39;187;11
435;439;3549;2562;2819;23;25;254;50
436;6001;74;294;874;1677;64;55;75
437;169;103;78;2504;1469;819;194;62
438;2118;1489;34;13;13;2760;19;31
439;15673;17;254;13;85;311;69;118
440;20;6282;112;31;611;435;4;42
441;15846;147;176;1834;70;43;75;73
442;55;19;4845;137;2946;63;17;46
443;1157;82;45;1726;774;101;25;56
444;14256;28;96;3044;323;237;9;20
445;12810;179;90;35;1661;56;296;11
446;376;184;443;33;860;79;35;86
447;13916;97;107;1779;12;35;98;17
448;236;668;26;4450;162;133;112;64
449;12;91;28;265;681;1191;164;60
450;7412;2631;486;17;274;714;10;23
451;0;60;40;2551;2266;110;39;21
452;117;2560;579;63;228;1824;24;41
453;13025;287;198;2816;3723;388;135;40
454;2977;40;67;85;83;1547;20;19
455;1360;1578;9857;1416;1326;854;32;25
456;257;7008;21;902;45;235;146;32
457;19136;21;3074;4199;1050;11;306;59
458;65;4094;4408;1101;34;18;21;18
459;12785;2124;993;2320;661;56;401;0
460;9178;219;1132;3706;44;76;75;322
461;18388;3604;68;62;2612;1216;25;21
462;1485;40;204;321;2249;28;27;122
463;11574;98;55;3;38;30;107;122
464;1;21;57;6;69;27;42;30
465;84;84;5890;1322;4575;20;5;82
466;12400;23;544;571;1189;53;8;36
467;14232;2594;19;81;57;104;23;21
468;231;3730;1296;2704;79;43;378;86
469;4419;10;21;2018;205;90;237;7
470;6423;70;4379;12;3;582;47;35
471;112;126;100;1339;774;284;244;31
472;2703;1393;21;29;8008;443;203;60
473;106;1135;73;104;27;47;126;21
474;222;601;110;2586;3659;119;24;217
475;2738;1694;3068;54;10;27;154;3
476;52;630;16;2329;115;63;28;15
477;235;22;172;602;117;66;196;158
478;3784;510;45;2530;2529;2017;38;53
479;6;620;2944;129;106;600;127;30
480;301;6947;79;585;2046;1548;5;78
481;122;6869;6;74;1268;2445;10;111
482;147;4852;95;664;1833;271;458;8
483;11;59;491;44;72;12;91;121
484;38;46;10491;452;28;5;311;24
485;12;6362;74;8;1996;17;157;89
486;6938;5818;5039;48;36;35;16;122
487;130;1467;138;79;28;510;113;69
488;120;1801;5720;2975;3433;43;14;167
489;6571;68;10;28;2978;10;87;27
490;37;5039;2506;787;2198;19;10;111
491;5;225;147;706;2796;1748;57;110
492;37;fail;27;3183;91;9;23;23
493;fail;583;2593;19;1348;658;19;276
494;80;1489;53;628;2147;454;268;114
495;79;1613;42;1210;498;76;51;16
496;9004;322;35;106;2998;1385;62;36
497;2247;43;3679;65;66;1319;57;118
498;9221;2189;3285;72;1689;44;199;73
499;3388;49;4782;74;1907;471;39;21
500;252;8612;5438;155;6;65;60;9
501;424;8;1601;47;1441;379;64;33
502;20;116;113;3801;1037;24;274;37
503;2579;3250;2245;1286;37;5;795;37
504;128;1033;1373;34;19;474;114;39
505;244;856;3720;28;762;1290;45;63
506;10034;81;236;6269;16;1740;26;56
507;78;954;83;4255;48;1035;272;53
508;150;1604;11359;30;7;974;168;5
509;291;105;7246;47;27;14;369;64
510;200;13;356;459;719;24;24;228
511;12412;6632;2183;785;56;80;35;29
512;1829;48;1950;1249;3681;176;17;35
513;8576;78;89;583;1496;714;456;65
514;8617;34;87;5382;10;683;23;221
515;80;7286;950;32;0;55;170;31
516;8657;2861;3659;1063;50;1353;32;195
517;227;5226;3290;34;1645;665;18;39
518;3202;866;221;1449;136;516;333;19
519;73;71;78;166;489;396;38;184
520;13206;2631;5617;29;7;1440;40;11
521;268;5;24;2264;93;41;61;1
522;27;3497;124;3117;5148;437;37;19
523;182;79;67;33;11;3636;131;8
524;54;83;168;54;4;885;43;30
525;15913;1794;3;28;5;6;87;24
526;269;32;89;2511;1470;1141;56;121
527;6366;33;21;2;2781;36;40;12
528;13288;2086;45;32;56;519;41;9
529;17798;79;2;88;1611;24;96;44
530;141;812;1981;12;75;70;132;229
531;4176;5362;125;27;1625;22;155;33
532;15;4962;48;2504;3792;673;65;10
533;1445;3826;79;37;30;772;30;45
534;13189;137;265;115;32;1531;163;38
535;80;12;1880;92;1484;68;329;17
536;175;780;1755;39;836;176;6;23
537;5710;39;7406;225;177;37;72;384
