;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25
202;3;35;2;13;9;7;111;60;2;167;46;35;397;32;33;1165;11;2;8095;2;68;38956;52;30
203;9;2;0;5;5;7;7;17;6;76;52;15;1090;13;42;10;38;53;479;70;37;13024;90;45
204;8;6;11;0;26;18;7;41;10;194;19;30;860;12;2;28;95;92;13660;58;45;35877;213;62
205;3;2;3;42;0;12;16;6;7;69;39;24;51;6;39;777;66;2;920;4;16;37275;431;57
206;25;5;8;113;7;1;0;22;5;315;43;16;1388;58;33;3058;6;74;18;70;44;142263;236;58
207;10;29;21;49;8;5;195;39;11;23;48;27;88;66;17;952;28;33;50;33;110;57;1168;13
208;11;2;5;1;11;0;4;8;7;222;21;47;684;90;21;367;64;5;1581;193;21;17779;7;31
209;2;1;24;15;93;3;195;12;7;11;48;4;52;12;42;384;91;48;16746;46;172;20450;232;55
210;6;12;3;6;49;9;5;114;11;1;15;1;1205;4;17;2654;20;15;5278;29;33;27;55;115
211;12;9;6;96;25;23;6;34;4;211;5;6;137;82;19;3100;14;27;6104;59;108;26624;452;5
212;14;21;20;10;35;5;5;47;5;2;65;7;40;47;1;1971;13;58;3223;15;19;19764;146;24
213;10;1;4;5;21;11;126;12;9;55;8;11;426;7;13;897;1;56;59;84;26;188;956;43
214;1;9;2;10;2;9;63;11;12;153;18;44;80;184;17;2161;31;18;10505;188;53;43939;63;232
215;7;8;1;1;1;6;36;21;6;351;57;5;458;26;13;1485;160;22;8755;36;40;3691;174;81
216;24;22;5;6;17;31;26;6;11;962;16;15;642;62;21;115;41;34;16090;63;143;7956;471;40
217;6;4;9;63;0;13;18;1;12;327;46;33;985;1;67;3880;6;15;14171;7;71;48214;131;267
218;34;0;13;38;22;11;75;68;8;184;91;2;33;10;42;5165;115;50;234;32;50;80886;268;26
219;4;6;2;47;29;17;2;31;1;749;8;2;44;5;56;8407;47;119;2015;51;56;2;386;90
220;6;53;10;19;15;5;16;14;12;55;4;16;520;1;2;5433;39;21;4434;6;81;13845;210;61
221;7;12;3;80;9;10;54;0;16;347;56;31;468;13;5;42;185;32;704;12;98;23370;83;151
222;4;47;1;21;9;20;30;23;25;274;20;11;33;37;40;51;13;41;5614;65;36;31374;26;72
223;20;1;13;26;0;7;3;47;0;6;72;16;1;14;68;1067;29;18;4116;24;14;47211;64;22
224;1;29;25;3;9;6;18;1;34;317;88;14;141;32;17;532;22;28;31752;105;8;23720;63;20
225;1;4;9;0;5;35;119;96;12;671;66;21;441;35;17;25;82;92;5380;48;24;3762;55;18
226;21;7;4;119;120;2;8;5;2;358;25;24;13;11;22;117;68;52;802;5;42;51938;39;47
227;0;17;0;14;12;5;0;21;36;1;20;10;111;25;25;728;114;20;218;52;41;652;896;103
228;0;4;12;0;17;0;10;21;0;73;38;24;433;35;39;1270;62;28;11374;92;37;142;108;23
229;0;23;14;21;15;6;19;68;1;247;30;21;18;63;22;3562;46;23;4256;73;47;9;650;19
230;90;16;15;7;39;5;11;68;1;845;24;11;363;8;15;3110;17;7;3644;75;92;20478;41;36
231;68;6;5;11;4;35;148;61;9;98;99;9;18;22;36;4880;9;28;2071;54;37;64614;972;9
232;10;21;4;25;2;5;22;9;3;194;6;5;419;194;38;2448;37;12;14305;88;46;45;287;59
233;6;21;4;21;2;15;221;90;7;283;28;37;257;6;7;1925;55;20;13224;48;3;20714;56;34
234;6;1;0;0;34;7;99;51;12;888;54;40;222;33;32;209;3;26;66;28;34;119;61;97
235;46;11;3;43;4;3;11;64;21;25;2;20;735;18;12;931;27;29;0;159;60;97;33;40
236;3;1;0;14;32;4;19;8;3;9;48;11;22;36;7;808;7;67;2659;16;22;20455;42;41
237;0;2;8;26;22;7;47;33;1;451;58;36;140;27;16;10867;33;43;21;39;138;8623;280;42
238;18;1;0;29;9;14;12;24;32;11;87;10;466;26;27;37;28;4;2054;23;111;68757;384;91
239;2;0;23;76;11;7;4;13;7;213;15;13;2679;23;21;941;101;59;3577;85;59;19669;377;118
