;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25
7399;4;10;4;12;4;17;18;8;2;22;22;13;18;27;44;1746;46;44;9313;13;32;156;1022;47
7400;fail;1;12;50;5;4;3;14;29;12;13;15;8;14;36;736;51;31;23;13;11;4380;66;42
7401;3;34;2;40;16;3;7;36;6;108;19;31;406;30;62;97;114;23;1832;104;26;2967;38;68
7402;7;4;15;2;32;3;18;6;14;5;32;13;16;11;20;500;70;23;4922;70;45;33851;181;111
7403;0;8;6;2;1;3;50;12;6;1256;85;25;305;24;34;6189;43;63;3700;108;16;42880;199;71
7404;11;1;4;1;24;4;10;24;16;530;62;1;562;14;11;623;39;24;24;94;153;2498;20;110
7405;7;7;3;29;9;2;51;30;46;166;4;28;73;7;28;4365;34;12;4966;23;31;24375;569;26
7406;5;14;5;7;1;1;76;7;2;41;9;9;49;120;10;529;108;61;8220;133;34;31837;41;35
7407;3;11;7;24;2;0;8;4;0;248;14;12;1305;3;20;1274;32;29;1418;5;42;60012;21;36
7408;26;3;16;24;42;14;22;7;12;577;20;32;33;13;33;323;21;42;3112;19;38;181;25;38
7409;28;5;11;2;16;12;8;22;18;182;16;13;31;7;40;7884;45;18;1402;78;10;2862;340;18
7410;3;3;1;91;74;10;46;74;20;4;1;8;366;59;46;258;82;40;26795;97;4;290;65;92
7411;22;26;3;93;33;0;31;28;14;2;75;16;39;1;27;17;132;35;534;35;105;28780;12;139
7412;13;2;4;30;8;12;38;20;20;611;35;20;537;14;25;651;38;6;1941;11;26;27132;133;341
7413;7;12;4;53;20;11;44;0;29;43;15;21;291;4;10;65;41;23;1161;138;55;87569;24;71
7414;5;6;18;1;20;7;11;6;18;156;4;20;514;39;6;2179;66;60;0;47;16;4636;113;220
7415;11;3;12;5;14;0;36;13;25;22;12;12;76;19;22;4111;10;37;17;354;21;3223;33;30
7416;12;7;5;0;10;9;60;3;12;6;19;19;103;0;5;6787;20;21;36;21;27;111121;475;88
7417;16;0;18;17;15;0;5;15;15;7;27;28;1;6;0;4427;8;86;1478;24;50;30;45;80
7418;9;7;0;0;13;9;54;6;0;250;15;31;704;54;21;4354;23;44;4408;106;22;285;1320;45
7419;11;16;0;32;25;3;38;2;19;418;55;19;90;19;35;1470;7;68;8049;112;32;25;759;45
7420;12;33;22;62;20;10;22;2;6;63;4;23;1598;35;15;57;48;64;556;119;50;19711;431;79
7421;35;8;9;61;1;8;121;0;15;350;60;30;236;23;12;179;35;29;2740;243;24;71516;92;42
7422;4;36;2;37;6;6;80;6;11;11;8;17;1482;17;21;2192;21;20;2759;76;75;4092;55;20
7423;15;32;1;0;19;13;21;25;15;38;19;18;217;69;32;71;48;16;10;38;22;36136;52;8
7424;4;19;3;8;3;8;127;5;29;107;15;10;35;30;5;677;108;37;39881;177;19;9937;8;53
7425;14;2;11;4;27;3;53;30;6;460;15;30;745;4;33;104;59;22;23;192;5;10608;44;83
7426;4;22;3;3;20;8;9;9;24;24;63;7;454;10;24;673;61;17;52;224;19;45826;1174;138
7427;4;0;3;62;0;16;29;1;1;120;31;4;1470;35;19;2341;46;18;2295;285;16;211;242;190
7428;18;8;7;2;16;21;9;84;1;22;26;19;9;12;16;88;74;51;1933;28;14;49;729;53
7429;24;7;12;10;3;16;27;1;6;119;36;15;546;8;75;5064;11;30;660;201;53;22036;492;17
7430;3;8;24;10;12;0;34;24;17;55;19;5;144;13;36;30;9;23;1532;37;26;1395;37;71
7431;0;3;3;15;1;4;5;48;14;3;32;21;33;64;64;2662;58;6;95;119;29;3890;53;22
7432;8;2;1;3;0;7;343;22;9;182;21;24;131;23;47;17;94;25;9150;84;41;26524;496;66
7433;2;13;25;48;5;8;143;5;40;594;5;10;801;5;40;605;50;19;107;49;28;21410;26;120
7434;6;8;7;4;1;62;24;1;2;85;82;22;166;26;26;3421;30;9;16;16;26;71;433;30
7435;3;2;19;24;10;7;5;25;27;6;56;10;52;117;17;31;13;21;4456;49;19;7387;431;29
7436;30;4;3;0;2;7;10;7;11;73;4;6;70;23;5;8;42;68;1877;177;21;9105;295;27
7437;50;8;7;3;23;14;18;5;13;7;22;10;706;33;43;6676;63;27;647;36;12;3018;6;141
7438;22;0;2;0;0;12;53;38;25;176;26;10;145;10;50;531;163;78;1116;160;10;4798;32;126
7439;0;5;19;26;5;5;45;14;2;240;94;4;48;4;35;19;51;57;953;11;24;17990;25;54
7440;1;36;9;17;0;14;29;28;11;26;27;0;808;27;10;50;81;27;1593;62;13;196;102;64
7441;8;0;13;31;11;6;88;46;11;5;67;7;132;14;23;949;15;32;1227;35;27;20801;563;143
7442;12;7;5;177;11;3;105;5;6;40;62;8;426;50;50;5348;152;88;46;232;2;46146;1449;76
7443;0;34;9;35;46;18;95;27;11;402;52;11;1078;47;16;14729;32;26;2374;93;34;4256;172;68
7444;0;11;0;44;1;0;167;4;12;148;57;14;515;21;12;4773;41;26;17379;33;61;60;48;28
7445;4;3;1;31;11;8;49;27;3;9;23;25;17;10;21;8354;177;93;9416;140;19;45296;37;91
7446;3;0;7;48;0;2;84;10;10;54;2;75;307;42;4;75;114;20;70;119;19;783;207;96
7447;12;1;2;27;7;9;24;30;36;421;65;6;572;69;55;3240;64;38;19270;9;43;4541;471;45
7448;13;15;3;59;5;18;138;2;19;232;19;10;698;0;9;1637;17;35;5904;115;43;6840;62;20
7449;1;0;1;76;16;16;10;13;19;68;3;38;6;19;16;63;64;81;3561;132;12;4444;63;42
7450;58;19;24;22;9;30;304;16;11;141;64;13;62;15;50;498;32;84;6247;63;26;17060;1520;25
7451;3;0;11;2;22;12;52;9;4;13;30;39;144;48;9;1285;54;52;43;2;87;9176;377;103
7452;16;0;11;7;12;17;25;37;4;1338;17;25;301;14;26;3248;25;4;38;34;29;15349;9;22
7453;18;4;0;0;0;11;75;20;12;818;34;35;1000;20;26;1997;45;15;416;52;33;73038;43;33
7454;13;13;6;34;8;1;50;11;3;536;10;11;38;13;15;52;16;23;7345;58;28;28;601;50
7455;3;4;14;42;0;36;32;14;16;925;27;12;4;10;19;454;99;14;2000;8;118;19958;51;39
7456;8;1;2;5;29;17;9;7;19;1183;127;15;643;9;17;8680;16;15;6345;53;42;38211;14;60
7457;17;15;34;16;20;0;1;16;5;14;0;14;20;21;26;12492;19;25;130;163;33;230;1870;84
7458;26;47;2;17;3;24;36;9;28;101;30;5;452;52;16;169;8;42;1271;60;117;129;701;165
7459;34;1;6;41;11;4;2;22;26;18;35;11;1738;61;30;9254;29;8;3592;7;26;190;2;15
7460;5;20;18;0;1;7;11;14;4;14;21;12;10;0;22;6393;11;13;169;265;28;22465;351;110
7461;79;3;17;59;5;0;72;10;50;1036;39;44;181;49;16;57;47;61;5912;36;26;7966;61;29
7462;1;11;3;2;27;9;12;16;24;140;47;32;5;82;35;41;45;12;63;11;32;58966;32;182
7463;6;24;3;29;1;14;20;18;13;101;33;17;216;47;70;2857;44;35;1225;97;17;37910;97;36
7464;0;2;3;31;8;4;60;49;2;140;3;5;107;61;16;9;3;13;2034;9;41;106;553;32
7465;2;11;9;136;48;8;145;3;1;287;24;39;21;24;42;2689;62;128;9713;120;32;100;72;174
7466;8;4;8;22;22;6;68;41;26;72;2;33;27;51;19;405;83;44;9554;27;21;162;15;70
7467;5;11;5;110;53;22;18;50;26;1014;61;7;12;60;5;2572;5;49;1372;21;43;102;17;46
7468;16;6;0;50;32;9;13;4;7;4;13;28;613;9;36;563;13;27;23;134;35;3286;133;37
7469;1;3;14;31;4;5;44;34;40;17;19;21;321;37;33;780;45;43;4011;55;53;122;35;12
7470;7;1;4;47;1;4;13;26;3;107;2;4;6;15;47;70;6;3;6958;46;23;41605;832;11
7471;18;0;3;2;22;0;186;37;21;54;9;14;143;15;23;5;90;22;2123;90;33;758;42;47
7472;14;16;24;3;6;13;21;27;13;260;35;9;131;56;16;1935;62;34;10800;31;77;103503;585;38
7473;2;0;4;6;44;11;25;17;1;452;1;16;4;25;6;707;44;41;444;41;41;17848;23;11
7474;3;1;7;14;13;16;4;10;7;54;74;9;3;41;23;33;22;20;17;205;69;7234;42;136
7475;47;8;1;1;29;0;6;11;19;37;21;18;482;29;24;81;30;40;377;7;38;856;222;64
7476;3;5;5;6;8;11;9;2;40;20;47;1;439;3;16;1693;80;19;1461;230;193;40250;59;226
7477;6;69;0;27;12;15;37;37;20;76;9;22;17;3;8;6681;73;35;31;143;20;24185;404;40
7478;17;1;18;0;30;12;5;18;9;359;2;2;151;60;16;3413;39;15;5077;48;159;10539;97;54
7479;10;1;10;57;4;17;134;5;5;39;24;61;18;45;22;2862;16;19;2090;17;47;58605;210;40
7480;9;37;18;8;17;2;0;9;16;680;19;74;7;2;70;120;18;22;381;89;73;17859;27;189
7481;12;27;2;35;37;2;22;60;9;1;49;22;25;30;63;2733;31;20;571;306;54;123;114;22
7482;6;10;6;4;48;3;97;22;9;134;45;29;95;31;32;2267;39;71;15661;143;54;44;144;58
7483;20;11;9;23;24;15;34;9;10;190;36;30;29;28;19;2255;19;7;7908;65;18;31161;49;27
7484;40;7;0;71;3;12;2;22;0;96;1;3;1748;15;57;626;18;21;6081;43;15;513;42;75
7485;3;27;14;17;13;7;66;3;20;738;51;13;246;66;55;4264;45;4;63;21;54;3374;15;160
7486;1;9;19;3;19;6;30;57;4;579;64;10;905;5;19;3376;10;7;12233;220;37;100104;486;65
7487;12;10;17;20;27;21;11;18;8;6;24;5;1339;11;31;3576;117;12;2687;179;24;19722;72;42
7488;4;17;0;66;1;13;18;78;14;512;19;11;43;57;45;366;66;5;6953;1;38;156886;379;163
7489;44;2;7;8;65;1;5;44;10;23;35;11;13;51;25;1322;46;5;198;136;34;13339;26;173
7490;8;10;3;30;3;3;13;6;10;331;8;42;142;11;20;19;17;31;54;6;123;255;47;33
7491;3;5;3;19;0;19;14;12;3;232;33;40;307;101;37;1336;9;26;5223;153;38;5317;346;45
7492;4;17;2;48;29;1;11;26;14;146;5;18;516;29;11;231;8;40;1392;199;20;2624;561;75
7493;22;20;6;107;21;16;66;8;16;183;23;34;113;17;21;875;18;68;7273;14;37;106;94;84
7494;38;12;4;1;56;20;25;17;31;2;109;4;339;5;31;60;37;11;947;36;30;9124;202;127
7495;0;28;1;24;0;0;24;11;13;65;98;13;124;39;31;2583;130;51;5543;91;72;19885;28;22
7496;35;13;4;32;7;23;56;0;7;194;11;21;19;48;19;23;9;35;97;59;28;23;327;13
7497;11;19;5;10;58;7;99;18;29;374;68;34;223;22;42;1264;44;20;4247;9;12;28297;44;170
7498;29;2;10;46;17;8;22;0;11;37;107;16;686;47;22;5086;61;49;117;47;14;35162;686;51
7499;48;6;3;28;38;6;2;26;27;9;7;15;20;39;80;1078;13;30;68;16;46;142;13;115
7500;7;11;3;28;13;8;9;62;11;649;42;17;26;35;24;36;102;22;947;23;38;44547;67;33
7501;5;26;6;15;11;20;41;0;19;30;20;7;287;52;47;1459;19;14;134;5;37;28906;23;12
7502;20;5;1;130;2;15;67;7;13;2;5;36;0;38;0;8240;11;108;1029;120;49;212;467;35
7503;22;8;4;29;24;3;81;29;18;93;11;6;351;10;32;911;66;28;13770;56;31;6623;5;101
7504;11;19;13;22;19;14;142;52;5;37;12;4;978;4;10;3887;28;20;6866;37;23;21064;16;57
7505;2;0;5;79;34;5;6;57;12;241;39;42;722;108;23;4771;45;45;48;41;51;7851;417;105
7506;6;8;5;27;21;13;4;0;7;70;6;23;428;40;0;938;54;183;2912;17;73;398;172;23
7507;7;1;15;1;65;2;34;0;9;711;39;18;464;14;31;16;69;23;880;22;8;74134;9;53
7508;0;3;3;28;12;0;5;74;0;563;33;7;254;3;14;4708;22;0;3222;200;16;2076;151;77
7509;64;14;0;5;30;5;4;5;18;50;89;14;444;16;2;47;40;11;40;27;23;13036;33;147
7510;1;27;17;10;5;3;21;47;18;316;88;7;399;10;3;1999;23;36;60;6;50;18449;390;57
7511;41;1;3;37;16;7;6;9;16;194;22;26;64;67;39;1144;58;76;159;168;54;14407;17;29
7512;8;0;14;21;4;0;57;1;7;1;18;24;18;30;17;842;18;15;4550;178;36;5585;37;40
7513;5;46;10;6;5;3;7;19;18;22;17;11;603;3;13;31;21;11;6881;24;19;29732;994;36
7514;7;5;6;3;9;14;5;12;8;621;12;15;13;41;56;2;45;18;9281;59;64;34070;30;38
7515;5;8;1;6;5;18;210;2;20;32;55;15;255;10;14;7100;24;40;7532;66;28;140;16;55
7516;4;4;7;96;9;4;74;21;14;534;38;19;1081;6;2;591;74;28;1513;63;68;49584;782;42
7517;10;15;4;10;4;8;36;20;10;13;33;29;147;17;45;1475;10;11;861;40;25;53013;601;36
7518;4;0;5;52;84;9;3;2;3;76;25;29;675;31;52;56;4;45;3881;12;13;139;111;50
7519;4;17;6;8;3;9;8;29;12;128;19;28;2945;5;30;32;34;13;5792;54;83;59703;68;74
7520;2;7;12;41;2;9;16;4;59;2;98;26;701;15;0;13;25;25;9768;62;15;2956;55;61
7521;2;8;8;7;47;6;150;5;11;56;41;14;1780;72;15;1378;22;37;4369;109;86;4442;517;23
7522;1;33;5;19;11;10;71;29;29;177;12;11;343;20;10;1399;67;28;2200;209;20;52;45;112
7523;27;0;28;62;32;2;12;45;9;15;48;13;902;42;54;4910;36;30;1871;47;29;10832;492;74
7524;10;0;18;2;4;9;22;35;19;209;59;24;25;21;45;569;56;8;2132;59;45;66705;246;31
7525;0;2;5;65;5;6;161;1;6;2;9;7;1437;49;39;96;4;77;16;67;52;6245;36;61
7526;9;6;2;40;22;2;7;0;17;112;5;20;774;15;7;9;28;83;1999;38;24;13343;32;101
7527;0;2;6;10;12;4;6;4;26;141;101;9;16;31;8;6956;84;12;5516;48;59;9878;60;95
7528;7;14;7;6;13;9;29;10;6;3;11;10;1478;46;24;3418;7;10;43;5;69;42285;104;160
7529;13;2;0;86;13;1;34;35;21;46;20;12;2;8;34;2306;17;19;2028;3;37;95;30;77
7530;8;7;0;2;14;15;19;13;6;15;26;42;25;27;10;26;59;28;1505;31;9;27;61;19
7531;7;7;11;9;67;0;6;39;6;614;12;12;602;48;21;2;27;47;14305;19;41;20559;120;167
7532;2;21;2;10;2;0;121;7;3;47;82;15;7;17;13;632;200;35;7223;82;73;8982;33;43
7533;2;0;2;6;3;6;59;24;6;8;80;25;181;26;12;3914;59;49;4660;94;77;117;447;80
7534;32;22;22;65;21;10;6;9;8;409;6;11;280;5;47;216;16;15;9890;6;38;25126;65;62
7535;25;12;4;8;32;7;13;0;8;45;0;22;731;26;15;2200;87;46;8698;12;37;8270;16;53
7536;1;6;5;17;17;56;1;27;13;347;0;6;473;32;19;1932;8;58;14944;116;23;42646;432;36
7537;40;5;0;32;3;7;7;2;38;431;40;10;1407;16;15;1699;46;23;104;126;17;3813;63;250
7538;2;27;2;19;17;5;9;7;5;557;3;27;38;12;22;614;4;31;2566;34;69;19447;51;58
7539;43;34;5;1;11;0;8;7;1;313;24;43;435;29;8;8904;15;43;1716;41;42;31;18;127
7540;1;28;7;11;6;6;0;6;1;51;34;73;565;40;10;3321;143;47;74;69;22;243;13;215
7541;4;5;9;5;57;11;14;0;2;72;34;2;0;23;17;2683;71;109;11705;93;15;0;313;60
7542;11;22;1;11;53;7;65;37;10;21;8;25;26;81;27;902;8;31;66;171;7;17229;95;16
7543;2;3;3;36;24;5;132;8;35;12;32;8;22;39;30;126;26;5;6;174;27;434;108;90
7544;19;4;18;10;2;2;29;33;10;179;7;2;19;92;13;3150;84;22;6904;4;31;88;1542;87
7545;14;26;3;179;81;1;1;59;5;519;7;40;33;3;52;10496;8;71;33;60;13;268;34;26
7546;3;33;8;4;59;3;17;5;2;135;18;5;445;13;2;1946;60;14;11601;194;55;196;21;41
7547;33;45;6;69;28;4;67;9;14;6;9;35;8;26;2;1096;0;69;4836;60;51;6009;892;67
7548;29;7;2;9;29;24;262;2;16;16;5;6;800;42;16;1037;25;25;73;151;36;10495;83;40
7549;8;0;9;17;17;0;17;9;8;319;2;7;50;15;8;289;111;53;6294;80;5;34023;326;78
7550;2;25;12;4;21;15;88;24;1;58;7;8;917;24;15;9839;138;146;10131;10;40;32484;49;17
7551;43;0;3;3;12;7;39;10;18;61;25;16;16;28;9;15;14;53;2427;120;26;11725;111;26
7552;15;21;0;77;11;6;9;18;8;415;2;11;2;4;57;5760;71;79;7894;24;78;28000;365;56
7553;8;2;12;28;32;34;0;17;3;619;33;13;445;34;12;63;8;46;770;26;30;1266;55;140
7554;13;3;21;29;0;8;10;29;17;9;13;7;143;76;13;815;19;64;2188;53;29;3431;70;34
7555;17;3;20;7;20;10;41;22;0;386;15;16;634;21;60;1777;73;52;86;12;26;17277;45;6
7556;9;9;10;12;18;12;58;30;2;4;54;16;7;9;0;481;18;17;1435;23;54;82;106;26
7557;20;5;12;33;2;18;4;101;14;338;52;8;5;19;12;35;16;78;11632;59;57;367;166;112
7558;24;0;2;60;16;9;15;54;3;131;14;4;9;10;11;2196;50;29;2975;183;24;14840;41;71
7559;23;3;8;4;55;1;43;2;12;183;8;16;366;12;10;3309;15;10;2484;60;42;1041;33;55
7560;13;4;18;8;90;27;2;40;13;41;28;22;40;4;25;11352;29;55;1603;303;10;14411;312;38
7561;5;1;4;24;13;15;24;10;7;178;3;7;383;6;24;1418;33;28;1344;32;19;14289;78;56
7562;7;0;7;19;19;1;28;53;22;102;7;27;203;20;36;209;79;9;5336;1;48;91670;70;63
7563;3;1;8;92;90;14;3;3;13;254;43;7;19;66;29;1399;53;17;411;27;37;195;19;20
7564;3;27;2;21;3;5;24;19;8;350;12;6;92;81;61;4486;37;11;1578;190;27;4953;35;64
7565;2;6;9;22;10;13;16;7;3;64;7;12;32;28;63;436;23;21;1664;152;34;11438;214;52
7566;5;21;19;19;14;22;112;26;4;21;22;2;350;40;10;1543;8;32;4;164;99;235;33;129
7567;3;8;20;45;40;21;21;52;4;195;94;3;759;7;70;2365;27;15;0;138;12;39675;811;38
7568;9;21;22;4;1;7;22;4;2;154;5;7;173;13;39;391;99;48;544;47;42;80946;29;50
7569;2;14;5;19;4;21;10;23;0;152;17;28;178;38;28;65;26;56;3103;57;180;65;15;25
7570;3;0;26;30;4;8;199;1;29;323;11;4;625;38;27;19;42;51;599;210;28;179;23;77
7571;18;1;6;2;3;19;24;46;10;316;43;26;206;15;8;5696;45;2;62;208;33;182;278;1
7572;33;16;11;6;0;18;151;76;11;8;18;29;21;24;55;2270;40;7;586;75;7;6596;40;32
7573;11;2;3;90;1;3;13;20;15;57;72;21;1615;4;22;703;37;26;143;47;15;28464;688;35
7574;27;10;10;57;14;8;107;26;1;30;54;19;40;21;47;2394;5;30;1670;36;38;1734;375;45
7575;0;17;7;12;0;0;0;33;14;14;7;9;10;28;5;200;86;81;1235;208;1;57;50;15
7576;10;15;19;8;10;11;20;17;21;50;16;7;34;35;17;1730;129;178;7645;4;120;46;37;32
7577;5;3;6;3;54;8;41;24;12;576;7;24;134;45;64;1221;131;49;1996;82;36;128;24;56
7578;1;6;3;25;9;8;63;19;34;150;22;14;210;119;4;472;37;33;11076;302;61;7688;38;67
7579;28;3;9;6;13;13;2;37;5;497;2;0;1531;10;36;8661;84;38;18739;185;114;26464;1508;241
7580;2;16;7;6;29;32;0;111;4;676;31;1;464;33;27;16989;107;7;17;14;27;15440;73;7
7581;15;6;3;3;18;9;29;6;18;211;29;25;390;12;13;3534;61;14;1792;129;44;40490;40;82
7582;3;8;4;11;3;10;2;1;11;193;53;42;627;41;18;1305;122;34;2324;83;14;4823;1519;52
7583;7;16;0;13;27;3;45;6;2;135;30;20;23;19;29;3113;58;87;8992;90;83;40538;1211;62
7584;7;15;3;17;0;8;11;0;0;101;11;24;29;93;21;9762;27;35;2197;76;74;902;129;27
7585;17;12;4;26;20;15;18;1;7;379;7;55;213;59;44;2096;26;18;551;28;4;22870;1066;20
7586;49;13;4;80;1;13;31;9;4;8;56;19;334;36;14;3344;19;33;5159;16;64;7351;735;69
7587;2;6;2;34;3;16;12;8;17;644;14;13;6;34;4;19;19;28;5012;53;21;28033;1133;31
7588;3;19;4;40;0;9;0;14;30;1568;6;19;39;73;32;99;6;21;1861;9;85;10;673;59
7589;3;20;20;10;15;6;79;7;16;187;21;6;394;25;31;5953;88;37;8711;38;38;42;27;31
7590;1;9;8;5;32;4;58;21;4;220;13;17;588;27;30;1923;17;20;5195;71;40;30481;224;3
7591;0;55;2;1;6;6;3;38;15;47;84;6;493;26;7;57;2;46;1089;57;6;6233;523;15
7592;4;23;5;7;9;6;30;4;26;83;2;38;306;218;7;1653;9;46;4365;126;109;7513;132;24
7593;11;3;19;56;6;3;116;39;5;57;8;8;705;91;52;2960;44;79;31;18;52;25082;56;54
7594;0;14;2;37;6;2;17;3;10;432;6;3;391;28;9;1022;29;83;8084;76;59;431;387;68
7595;6;3;16;25;2;25;168;0;3;9;12;9;443;34;19;1017;39;12;39;8;29;3829;131;54
7596;1;5;18;43;12;6;4;42;9;648;52;18;17;24;36;1132;75;10;129;44;24;6309;71;88
7597;9;13;3;7;2;7;15;18;7;225;20;25;13;3;22;1116;155;26;76;10;12;45033;23;2
7598;19;4;16;4;20;4;21;15;18;1296;18;1;10;3;39;2515;15;20;1620;15;54;11209;498;81
7599;5;5;0;34;81;17;3;22;9;92;7;29;25;4;17;14264;66;50;77;57;81;3242;39;28
7600;13;0;6;125;42;9;52;5;11;388;46;52;27;9;8;4416;21;22;101;56;16;14210;609;28
7601;4;1;3;43;22;14;26;49;4;15;26;31;18;41;5;590;37;41;2920;59;72;55;295;18
7602;0;0;0;9;12;15;26;7;22;521;40;33;38;21;24;4107;120;29;26879;67;16;66;527;104
7603;1;0;3;119;27;11;0;9;13;517;23;22;561;26;35;22;66;2;33;22;16;119888;32;27
7604;9;8;5;36;8;21;17;18;8;26;23;16;254;56;16;384;42;97;20;24;130;16631;573;89
7605;0;4;4;91;13;12;17;18;8;540;20;13;2354;75;16;21;48;40;3186;68;56;12534;213;55
7606;1;4;13;18;1;26;8;6;24;253;13;5;68;18;28;14411;26;14;9618;27;5;46240;60;38
7607;31;3;3;63;33;26;12;34;20;1;62;21;3;13;7;1076;14;54;8234;8;7;21936;162;71
7608;14;6;22;71;1;8;72;19;4;417;47;38;11;20;31;1586;7;10;3122;3;36;237;564;124
7609;11;4;7;14;20;5;3;56;4;89;55;28;3;66;19;376;1;26;6114;34;191;25852;87;19
7610;6;5;13;18;3;3;102;10;17;466;28;15;21;26;21;36;11;22;1179;129;11;157;10;30
7611;13;10;2;1;8;4;60;7;0;429;40;13;7;14;32;6921;26;22;2192;152;44;11028;126;27
7612;0;10;4;33;3;7;9;33;11;56;54;9;1175;46;1;169;19;6;93;11;35;55229;22;27
7613;28;2;2;61;9;16;20;51;16;101;46;41;90;93;17;47;27;21;87;139;44;49277;718;69
7614;3;3;0;0;4;22;10;31;30;72;20;30;1957;5;13;57;107;25;6677;56;17;112;61;57
7615;9;27;0;9;16;7;5;16;12;300;83;14;842;11;53;2891;24;113;9813;61;46;20810;45;44
7616;15;14;2;4;1;18;6;2;13;373;23;22;19;16;9;1572;6;18;196;40;68;38334;110;88
7617;42;13;4;25;3;14;30;0;6;373;7;31;163;26;8;1427;79;63;9836;30;38;5447;1700;83
7618;3;2;3;34;14;9;134;44;14;134;75;30;146;146;45;7546;17;25;12;13;28;32912;81;24
7619;49;4;0;5;13;14;2;13;18;77;8;6;74;70;43;8;50;12;4977;23;30;100;71;25
7620;1;10;5;14;18;18;7;31;2;264;7;12;0;9;3;1376;39;15;1416;53;44;30784;48;7
7621;1;5;6;63;7;2;184;79;3;4;1;15;1349;76;33;9925;43;33;129;31;32;107606;381;66
7622;4;14;6;1;5;14;7;33;12;32;31;19;1927;51;10;1137;9;25;77;71;68;7619;294;36
7623;8;1;9;7;43;12;1;27;29;1272;32;14;731;37;4;74;29;27;1828;396;26;1225;66;19
7624;57;14;5;25;37;12;0;0;5;364;1;12;1;26;15;1294;92;38;520;53;26;7945;37;45
7625;16;11;5;10;8;0;6;112;4;337;30;16;172;60;10;402;18;55;14899;32;87;17541;56;80
7626;3;9;5;12;0;9;44;3;25;126;78;41;88;12;11;3046;72;24;3274;168;32;2480;456;69
7627;12;39;5;23;12;7;221;28;15;114;13;11;160;58;7;5414;41;11;5;412;25;4184;837;105
7628;17;13;1;11;41;5;6;5;28;4;35;0;324;72;32;762;35;30;369;58;59;271;820;21
7629;0;5;6;10;6;25;170;26;11;460;37;22;7;102;44;738;52;14;5736;27;8;174;29;75
7630;0;2;4;5;9;14;318;13;1;52;0;0;48;7;6;2621;49;14;3668;50;62;5924;497;278
7631;2;0;3;30;5;4;82;22;5;454;29;20;512;42;4;1860;45;30;114;47;63;101;42;73
7632;4;4;14;14;3;5;211;79;15;63;51;7;28;53;18;14;8;13;79;36;55;106;66;52
7633;27;5;8;0;0;5;494;54;4;12;24;23;3870;31;49;2680;5;11;2599;56;118;3740;12;78
7634;7;2;6;0;110;0;18;7;4;129;20;60;1638;10;23;9276;120;30;57;71;75;161;272;52
7635;25;14;3;12;34;2;89;1;14;211;76;0;1175;21;15;64;93;28;3543;185;31;92426;293;2
7636;38;4;18;10;24;9;38;9;34;128;17;10;0;40;28;27;66;16;16;71;31;21989;24;44
7637;5;18;4;229;21;16;4;47;10;289;49;4;270;21;26;793;54;48;1865;138;51;3711;63;58
7638;1;18;10;17;2;22;11;65;10;25;26;19;1044;3;18;5379;7;29;5972;30;27;14881;45;51
7639;7;49;6;14;1;0;192;2;22;192;28;21;2686;33;96;20;68;57;121;44;52;19334;755;45
7640;17;1;3;10;0;2;94;11;32;105;25;18;320;49;26;13;30;37;7818;36;47;2675;345;21
7641;44;7;3;14;8;2;15;19;12;106;7;35;3017;123;14;7095;38;11;4438;93;22;13405;32;125
7642;40;10;0;4;5;22;115;30;14;22;90;30;295;57;11;393;102;32;1356;99;17;8528;127;131
7643;14;6;8;23;15;17;72;16;10;52;37;50;87;32;18;22;57;11;5769;22;60;30844;252;22
7644;10;12;9;9;10;3;38;19;29;248;46;12;203;51;20;1568;6;82;4968;170;5;9926;641;8
7645;11;26;16;65;71;3;26;13;11;46;24;3;17;106;4;5408;28;17;86;18;29;73748;53;25
7646;7;15;9;14;52;8;18;39;6;328;36;18;21;157;29;5542;20;52;64;185;98;56641;130;24
7647;4;0;5;25;30;12;74;13;18;294;62;31;1149;16;5;3253;20;118;33;27;32;14097;24;111
7648;15;4;29;0;26;7;12;19;0;1;51;30;844;32;52;1529;27;29;14;78;62;13684;6;3
7649;0;1;4;33;13;11;8;1;12;30;97;19;628;3;12;3992;23;21;28420;135;29;10796;389;0
7650;15;0;16;10;53;4;104;0;50;43;9;20;224;60;4;1095;38;67;10176;82;21;6404;363;74
7651;11;4;0;4;18;14;25;35;20;5;28;15;12;104;30;3414;70;19;4831;78;35;4287;17;33
7652;23;1;8;33;4;21;5;37;21;314;10;62;195;51;14;1014;55;217;2573;26;52;48794;607;81
7653;28;15;16;3;6;6;31;17;7;187;40;5;433;11;15;911;60;23;2597;165;47;14695;31;86
7654;5;6;2;1;10;9;4;3;27;17;90;13;451;23;24;53;102;3;556;10;13;43300;65;67
7655;0;5;4;1;6;31;1;23;13;472;62;13;5;30;26;56;25;20;5;31;46;16;23;34
7656;3;9;4;fail;25;17;130;31;11;133;41;21;1455;0;23;2493;74;55;2350;20;6;13;82;83
7657;fail;0;9;0;8;0;15;0;4;325;51;24;485;19;20;62;20;81;2798;50;38;7792;77;4
7658;28;0;7;12;27;2;18;94;21;284;100;6;19;5;17;81;29;81;5;91;21;22929;720;17
