;RLS;RLS-N2;RLS-N3;RLS-N4;RLS-R2;RLS-R3;RLS-R4
373;7416;3838;2204;13246;214;1423;8491
374;91;39783;10;10902;228;13;19
375;140;32203;3258;5483;181;64;93
376;1967;7727;1479;5731;fail;295;16
377;1592;501;1174;71;9442;42;79
378;1411;2498;39;146;2630;95;4630
379;167;17170;1701;126;3005;0;81
380;3;1922;2845;3278;86;172;4520
381;1908;2068;8681;552;150;156;12
382;102;20731;108;22;2172;131;5178
383;5859;4006;6359;4568;4;61;2994
384;735;10;81;49;15;fail;6178
385;116;196;710;4480;7283;34;190
386;2771;49901;98;112;7816;719;110
387;7;37;103;4563;1923;106;74
388;3070;4;50;339;124;32;23
389;101;3792;2280;141;56;10;57
390;fail;2960;632;2143;6428;41;178
391;27;174;8;2058;2;74;1252
392;21;5156;4;9110;81;2;1975
393;11653;4558;470;22410;58;1058;2214
394;20;7458;64;36;158;9;1571
395;89;3312;17;180;67;82;95
396;72;13515;7;24580;167;690;3499
397;110;24122;29;1236;4;7089;2585
398;2244;57;45;853;2077;28;49
399;58;9726;3874;10941;8623;6120;76
400;143;5652;56;1;65;1164;3661
401;13;64;18;38;41;47;107
402;111;4911;253;3329;90;2778;58
403;86;21306;32;14232;62;2909;64
404;155;58;59;2905;2163;194;37
405;1421;27551;168;107;183;32;133
406;44;167;75;6885;112;853;68
407;2095;6108;2117;37;12345;400;149
408;4669;418;17;12;74;4;52
409;10;37;996;1336;58;19;395
410;fail;18146;88;30;70;75;1471
411;49;22;1479;18;4177;4908;138
412;3802;135;3555;43;89;338;5642
413;40;13714;34;1991;95;63;4414
414;fail;14298;27;31;29;3367;11
415;3195;44;858;482;27;11;95
416;23;6179;4133;20197;20;71;4533
417;117;5837;82;2234;137;298;32
418;fail;8059;1412;3307;8232;1528;52
419;172;5018;2455;8059;6234;30;2817
420;3;4855;4097;1544;114;14;22
421;fail;12;6;1863;6550;2905;45
422;6115;2582;31;1237;4735;3;1842
423;7;23475;3592;1831;86;7278;125
424;37;7049;23;7418;4168;26;89
425;fail;12442;448;44;110;440;1874
426;85;1221;48;17;1055;29;78
427;7;20;66;1884;2967;78;99
428;2758;14319;32;2645;5403;975;12
429;11013;17947;2840;9473;107;128;1875
430;6518;190;93;118;fail;129;52
431;9669;15016;2198;685;57;fail;4538
432;2373;17554;6877;5;68;70;8744
433;32;1511;fail;10419;6;2895;55
434;9841;10487;73;18;114;1516;7
435;5597;15921;67;1782;1411;9867;3741
436;166;1152;98;9707;50;2200;2833
437;143;1337;5324;99;fail;4249;7812
438;655;3;6;1742;28;21;46
439;69;1255;130;14280;fail;177;5440
440;21;358;109;8046;103;1101;84
441;42;7255;84;6759;235;108;2946
442;195;159;1827;9459;1576;47;678
443;87;15944;3492;4086;2;93;1852
444;44;43;139;23316;99;8644;145
445;1843;30729;6487;19950;10655;1170;97
446;41;5841;3558;6610;8;286;9
447;48;36728;21;2317;472;16;4378
448;9428;47982;6;14553;11;40;127
449;fail;fail;86;480;3596;65;55
450;9025;25520;45;125;49;10467;108
451;7203;24;1262;12985;859;368;133
452;127;3490;1719;958;2205;38;2884
453;996;36661;7;71;2851;77;15
454;7300;4511;17;7169;3518;7129;1218
455;3248;6697;396;1056;4;10365;156
456;10196;11;198;12405;2618;143;7017
457;183;1;80;81;155;2607;1243
458;14;1843;60;1412;10;90;68
459;52;1327;115;3053;0;156;154
460;75;6;43;35;115;1949;543
461;77;792;8;2864;84;121;2861
462;32;69;14;76;11097;39;538
463;2561;971;6918;1041;2;5;85
464;160;19482;930;12731;1274;3908;199
465;472;13399;12;467;94;71;6441
466;101;9065;129;4567;26;120;12
467;260;11120;1552;3549;10;535;120
468;2729;9415;35;8017;fail;1451;132
469;28;28546;851;292;17;3080;4234
470;3626;16;1276;828;5060;103;1548
471;92;17027;92;3741;3124;6433;3883
472;150;1810;3448;15451;8120;1482;4569
473;2648;2941;3505;1143;6987;92;65
474;29;3386;1632;3040;14;1134;1174
475;4349;1033;5;753;30;808;87
476;2;4501;3750;5348;97;4159;96
477;37;2051;23;4932;169;7;2777
478;10872;7951;773;3614;86;1304;105
479;98;25;1;573;1462;1427;11617
480;121;8472;24;8;8186;4320;18
481;10;24951;2765;14834;2992;1239;43
482;44;6127;1489;15;83;48;1855
483;fail;3802;61;319;12939;2539;2155
484;5428;24;47;3583;6425;173;1965
485;63;12513;1395;22;6024;86;3014
486;4471;34676;2;1205;311;5968;15
487;3918;6137;62;7673;27;146;985
488;143;17205;83;2025;2695;2736;278
489;7522;4313;50;2518;1784;28;163
490;10764;5361;87;1348;3066;91;10287
491;504;8995;4123;7;fail;43;180
492;11569;175;1805;5362;2387;145;5035
493;2598;4107;419;90;2644;78;68
494;58;918;762;3860;91;107;12
495;36;6948;133;1968;41;27;253
496;745;967;2670;4810;3739;8594;52
497;fail;12;7049;0;146;944;119
498;16;7965;129;615;3026;51;8601
499;2809;156;5108;3357;8104;1937;2217
500;1415;2875;98;476;42;78;35
501;1495;8759;5410;652;3360;8;84
502;9125;25360;3;16;4826;241;3315
503;fail;11995;8;81;34;642;2588
504;64;1093;52;4282;3191;78;2591
505;128;1270;1744;3605;900;34;17
506;3393;4100;2721;35;119;89;202
507;2565;17867;24;8623;88;302;28
508;4332;3748;84;6385;12580;901;1163
509;3557;1923;28;3597;103;68;27
510;54;3372;100;952;43;40;3067
511;11280;115;82;232;56;173;3242
512;7383;3762;167;3871;79;1168;1912
513;166;3838;2686;12474;8919;2480;54
