;pmut1.25;pmut1.5;pmut1.75;pmut2.0;pmut2.25;pmut2.5;pmut2.75;pmut3.0;pmut3.25
400;19;105;19;482;142;3849;2852;6325;105
401;64;77;57;33;38;12;2838;11;93
402;33;9;1577;182;4675;4038;16;2737;2196
403;27;13;537;125;816;55;77;95;155
404;21;79;86;369;1279;6553;704;1530;83
405;19;88;29;84;3406;3604;6153;3993;131
406;5;380;87;27;1711;2237;1217;17;8
407;41;24;129;29;1563;4085;81;4060;6893
408;19;32;753;91;99;126;7973;6346;8
409;49;68;9;1038;62;674;140;5669;91
410;50;39;73;116;27;85;78;243;677
411;11;52;267;926;1947;85;229;2486;25
412;20;165;78;1683;4150;1145;4200;21;86
413;16;28;29;12;817;1869;4525;2545;3
414;57;25;37;2576;36;4459;25;46;130
415;52;23;15;14;72;70;53;28;147
416;26;18;368;2862;73;64;3471;78;382
417;36;91;57;442;69;825;2875;126;659
418;21;169;64;310;21;152;126;246;1228
419;5;99;10;124;65;68;4085;78;356
420;37;49;18;73;1149;974;126;177;16
421;59;0;4;157;68;42;198;21;192
422;36;41;573;74;19;100;6529;143;161
423;29;189;65;146;174;5;2822;6025;35
424;36;15;74;162;136;6414;69;3594;4467
425;27;229;417;70;2434;5269;107;12;31
426;33;30;29;178;68;36;243;239;181
427;56;13;627;1037;53;4;258;2208;4827
428;51;70;38;6;139;986;20;1295;5344
429;2;12;73;58;80;3398;875;2567;1610
430;55;105;66;5;95;152;10;7221;1423
431;29;242;141;760;89;2135;102;1707;37
432;49;11;350;1366;2874;2408;5561;1451;6261
433;16;15;86;75;3115;16;9671;128;fail
434;84;78;33;67;1174;1358;53;3476;2966
435;158;15;35;507;6517;66;12;74;36
436;63;178;6;401;80;11;7300;61;513
437;34;91;774;32;95;77;886;3144;40
438;98;61;59;519;74;32;3708;8503;1287
439;23;16;9;47;51;561;44;87;53
440;27;29;1491;22;687;4642;198;133;2748
441;11;37;573;1230;2485;2917;13;32;4727
442;70;35;51;472;79;2123;4;162;5860
443;23;30;820;47;1757;67;4022;1883;3391
444;22;213;237;67;3207;388;76;7963;3362
445;40;39;29;109;1393;4241;23;249;3883
446;87;12;60;57;1638;7418;31;18;4
447;38;31;604;89;2722;46;6342;3764;163
448;29;4;16;2148;26;5729;4632;79;69
449;51;258;514;420;96;506;101;6234;17
450;57;3;11;118;237;63;3473;151;693
451;47;33;48;75;29;88;4339;76;96
452;15;75;553;20;4;2157;39;152;29
453;28;29;16;10;1391;54;28;806;11235
454;26;30;37;675;4368;1141;4;27;21
455;79;46;394;78;11;20;3107;1109;20
456;76;352;60;3;6;664;54;4480;55
457;159;31;1569;1011;2260;93;54;37;82
458;93;327;1730;215;5;18;11061;3899;563
459;23;35;771;207;43;114;23;fail;9437
460;69;49;565;559;1580;11;3536;146;1384
461;76;38;488;14;35;3097;62;112;43
462;36;164;55;707;1688;1048;75;6362;53
463;71;65;15;3363;6;624;799;5983;fail
464;35;31;19;1968;3787;73;163;144;7889
465;57;89;509;50;404;130;6;142;49
466;23;70;158;1177;160;79;458;60;72
467;30;26;23;11;19;294;530;68;4730
468;56;75;225;983;1282;34;4397;3312;57
469;234;55;675;27;2458;124;5463;107;4
470;14;15;106;594;1510;20;3899;997;6625
471;14;153;214;46;5201;2502;61;29;312
472;103;23;209;100;74;20;820;68;119
473;29;45;115;127;705;350;3173;10621;122
474;50;38;382;1414;939;118;4211;103;9
475;21;55;20;1660;7082;1078;81;586;1861
476;5;289;714;94;54;4301;498;21;44
477;42;347;28;228;25;2073;2967;55;3175
478;31;18;181;26;20;2754;1752;7;61
