;RLS-N4;EA100;pmut1.25
1066;32417;218;44
1067;5676;143;56
1068;31;1;121
1069;19;16;42
1070;3444;165;28
1071;6999;10;8
1072;1360;44;26
1073;1104;83;31
1074;36;8;38
1075;4776;19;80
1076;1338;11;56
1077;6337;12;7
1078;9072;26;18
1079;12763;45;45
1080;652;97;39
1081;8468;43;23
1082;11453;41;61
1083;11101;48;26
1084;14;184;22
1085;71;12;181
1086;0;21;64
1087;980;18;104
1088;5723;34;35
1089;2807;19;22
1090;10;19;23
1091;10295;87;20
1092;4916;14;62
1093;56;18;54
1094;55;87;86
1095;15568;7;20
1096;12;116;13
1097;5955;67;30
1098;2569;39;28
1099;2716;145;43
1100;2820;3;22
1101;4724;16;14
1102;1610;27;2
1103;96;17;17
1104;935;122;95
1105;0;12;14
1106;2670;72;29
1107;5444;67;40
1108;5124;23;17
1109;8980;16;22
1110;37;14;39
1111;1542;207;8
1112;1122;128;27
1113;232;4;95
1114;5338;30;20
1115;32;25;26
1116;20951;37;18
1117;48;35;45
1118;5867;136;3
1119;3875;154;23
1120;1064;22;175
1121;273;10;17
1122;50;25;24
1123;28730;34;106
1124;183;73;21
1125;150;15;106
1126;12852;53;149
1127;5734;40;28
1128;119;145;17
1129;102;158;43
1130;1573;5;32
1131;2185;34;28
1132;67;38;54
1133;16420;100;13
1134;5301;152;16
1135;75;38;24
1136;177;69;40
1137;348;165;11
1138;17123;135;30
1139;3322;9;89
1140;9807;39;27
1141;1717;119;51
1142;4422;0;47
1143;5988;27;21
1144;30835;78;9
1145;6145;9;11
1146;42;5;14
1147;3467;3;77
1148;45;18;46
1149;6609;22;14
1150;3;43;19
1151;957;11;26
1152;1302;196;28
1153;833;102;24
1154;7912;42;22
1155;459;135;37
1156;10;58;56
1157;1121;173;24
1158;11042;62;54
1159;2743;34;44
1160;18;79;65
1161;93;72;9
1162;16686;89;34
1163;18;33;28
1164;5269;207;10
1165;3860;110;55
1166;3808;194;36
1167;5027;92;31
1168;10949;36;45
1169;3573;20;19
1170;415;13;53
1171;4131;63;59
1172;8718;30;101
1173;1519;268;59
1174;9517;25;42
1175;9504;60;30
1176;59;36;21
1177;429;46;3
1178;108;77;14
1179;4612;19;52
1180;1569;64;152
1181;4894;47;69
1182;17290;220;25
1183;57;111;4
1184;22;20;23
1185;291;48;50
1186;5993;38;25
1187;4581;12;72
1188;1758;96;51
1189;2535;58;123
1190;4067;193;15
1191;10319;119;43
1192;2554;14;10
1193;3416;109;28
1194;2827;140;8
1195;996;34;41
1196;2589;224;14
1197;20;30;10
1198;481;63;61
1199;3118;76;37
1200;8865;18;48
1201;693;13;35
1202;5170;29;73
1203;2862;79;21
1204;2051;4;45
1205;11204;48;9
1206;449;67;59
1207;6013;54;26
1208;1587;18;53
1209;224;22;0
1210;7749;99;64
1211;19276;20;0
1212;2840;47;30
1213;10720;98;55
1214;55;16;53
1215;1354;372;36
1216;58;20;30
1217;40;12;15
1218;133;31;14
1219;7625;96;16
1220;15783;18;15
1221;39;8;22
1222;7398;45;38
1223;4377;289;104
1224;114;16;24
1225;378;200;71
1226;4548;115;63
1227;1747;54;57
1228;25;15;18
1229;41;79;24
1230;1245;27;30
1231;6301;20;33
1232;8411;32;68
1233;31;103;47
1234;5;7;56
1235;3123;0;33
1236;9687;216;42
1237;14802;128;51
1238;10742;45;25
1239;16227;82;37
1240;144;166;60
1241;21;58;26
1242;15515;154;51
1243;1108;62;6
1244;1874;96;20
1245;2785;44;28
1246;3093;34;2
1247;449;60;17
1248;4694;255;38
1249;2968;152;39
1250;803;15;85
1251;1150;29;43
1252;53;33;47
1253;134;218;55
1254;35;25;39
1255;4642;30;37
1256;4;108;47
1257;462;64;29
1258;13;83;93
1259;135;44;50
1260;9086;77;65
1261;2955;55;60
1262;31691;177;15
1263;1206;71;56
1264;3746;7;35
1265;163;40;39
1266;4832;307;43
1267;8544;20;11
1268;41;83;37
1269;15566;201;41
1270;5778;133;123
1271;2027;5;30
1272;69;61;76
1273;75;20;73
1274;6931;115;36
1275;21049;28;150
1276;1208;148;33
1277;945;54;14
1278;98;47;60
1279;88;19;82
1280;1158;61;26
1281;268;64;4
1282;5533;46;61
1283;3201;53;32
1284;16297;11;82
1285;3350;25;113
1286;1183;159;15
1287;3;27;41
1288;4983;74;10
1289;53;74;204
1290;5379;4;24
1291;724;145;5
1292;1219;11;29
1293;28380;143;31
1294;16511;59;20
1295;127;311;30
1296;79;339;48
1297;6795;116;72
1298;5729;147;31
1299;487;36;26
1300;1009;46;32
1301;2560;128;22
1302;4233;35;0
1303;41;121;23
1304;3130;18;42
1305;10875;24;22
1306;11908;7;55
1307;14;82;44
1308;15141;162;74
1309;1668;35;10
1310;16;49;42
1311;2075;11;59
1312;6069;27;26
1313;99;50;30
1314;2738;26;13
1315;2054;50;69
1316;4223;46;55
1317;58;81;21
1318;5260;2;76
1319;2095;97;22
1320;12000;43;30
1321;21320;74;24
1322;8614;48;7
1323;6178;18;73
1324;2948;80;102
1325;2395;266;40
1326;3977;138;48
1327;1731;55;50
1328;3500;44;17
1329;7;8;35
1330;76;129;51
1331;35;29;48
1332;23096;77;36
1333;9332;37;67
1334;45;40;5
1335;3300;139;30
1336;42;179;34
1337;23976;114;45
1338;4757;20;79
1339;487;19;30
1340;49;41;16
1341;10437;2;24
1342;1943;71;11
1343;651;285;93
1344;1005;128;33
1345;4756;25;114
1346;2663;171;50
1347;108;24;16
1348;1553;23;13
1349;4451;231;54
1350;215;121;125
1351;17853;59;36
1352;10924;37;134
1353;7425;159;11
1354;18;28;28
1355;1002;146;17
1356;9391;20;17
1357;8048;55;37
1358;2456;34;37
1359;1;59;31
1360;802;57;29
1361;10;23;30
1362;486;9;75
1363;696;51;40
1364;3451;46;49
1365;87;73;20
1366;7547;62;111
1367;387;28;35
1368;2750;23;11
1369;2298;36;28
1370;351;88;94
1371;7002;51;10
1372;19573;189;69
1373;26;13;59
1374;2297;29;4
1375;3771;25;3
1376;4522;18;25
1377;1311;28;112
1378;27;9;111
1379;3066;20;55
1380;2446;55;33
1381;4533;9;23
1382;517;17;10
1383;4463;97;46
1384;8326;36;11
1385;888;51;61
1386;1239;63;22
1387;375;51;61
1388;1574;257;42
1389;1077;42;27
1390;2915;90;33
1391;7319;23;20
1392;9427;196;24
1393;4481;19;28
1394;310;192;60
1395;1263;23;17
1396;1389;37;44
1397;71;16;45
1398;1410;48;37
1399;3786;8;33
1400;1261;21;14
1401;24;18;6
1402;54;10;77
1403;11698;13;20
1404;2462;119;61
1405;2667;73;156
1406;2843;119;21
1407;851;64;16
1408;2405;29;18
1409;3183;23;37
1410;1575;51;60
1411;4048;23;24
1412;69;49;51
1413;6897;19;33
1414;512;44;46
1415;58;172;18
1416;587;21;27
1417;5858;50;106
1418;849;49;18
1419;307;208;25
1420;8090;93;40
1421;9012;88;44
1422;14345;10;106
1423;6398;13;15
1424;7075;14;36
1425;52;84;38
1426;19631;278;76
1427;2637;82;19
1428;6419;29;16
1429;841;59;107
1430;8065;5;75
1431;4745;134;67
1432;1063;31;14
1433;348;38;23
1434;1994;6;123
1435;37;110;119
1436;92;55;14
1437;60;93;28
1438;37;103;55
1439;4130;75;68
1440;1833;46;54
1441;134;44;40
1442;71;29;118
1443;1615;132;80
1444;611;24;17
1445;20;110;25
1446;12232;364;107
1447;25;76;26
1448;3346;147;75
1449;3220;12;47
1450;1178;21;9
1451;100;38;42
1452;5692;43;111
1453;28;253;32
1454;18973;27;15
1455;8954;47;28
1456;6323;134;13
1457;16266;130;84
1458;1029;99;4
1459;65;247;52
1460;93;9;10
1461;11235;117;27
1462;1539;203;37
1463;3739;304;16
1464;94;11;78
1465;45;3;25
1466;20;6;65
1467;8220;110;14
1468;696;133;137
1469;75;94;75
1470;4702;79;62
1471;169;48;31
1472;5942;8;22
1473;622;206;13
1474;1676;168;22
1475;4707;36;60
1476;3305;24;37
1477;110;18;27
1478;2616;68;9
1479;2247;21;32
1480;10303;96;40
1481;2;39;36
1482;89;33;53
1483;2364;197;89
1484;3548;13;50
1485;53;129;20
1486;10;138;23
1487;166;11;147
1488;1069;2;44
1489;30;206;22
1490;13182;159;18
1491;2433;105;52
1492;3833;23;74
1493;571;31;24
1494;7774;44;19
1495;2392;15;114
1496;28;26;58
1497;11393;58;10
1498;4157;59;23
1499;4203;114;41
1500;7589;22;57
1501;9135;71;65
1502;4754;120;27
1503;12397;80;28
1504;5512;26;31
1505;957;18;32
1506;4457;156;167
1507;3974;36;25
1508;53;196;42
1509;0;4;24
1510;195;11;38
1511;91;29;18
1512;76;76;21
1513;6615;15;18
1514;7074;13;4
1515;82;24;1
