;RLS;EA;pmut3.25
712;97651;224327;148365
713;94472;184260;131076
714;73380;211391;155771
715;96403;263271;163138
716;79995;252703;118102
717;79980;268145;134764
718;134769;231612;155298
719;106377;337538;122137
720;90098;241931;135925
721;85347;188751;119746
722;92061;229917;157929
723;93030;224614;131552
724;115265;214956;169420
725;92971;247494;128060
726;71544;260613;119692
727;97509;291885;194823
728;86808;292803;119856
729;80622;215120;130490
730;98107;186737;122318
731;99592;179584;198841
732;92169;300407;137920
733;85978;243719;129062
734;75518;246579;152781
735;89746;220834;124609
736;108498;256914;132730
737;109032;231221;171523
738;116441;197593;125168
739;91795;211630;140411
740;99096;203984;142847
741;101042;251842;146548
742;102369;220016;126307
743;111794;208252;160576
744;77240;181685;142634
745;79979;229971;153454
746;85818;206063;136295
747;90577;204962;167176
748;81704;209179;124952
749;95776;227920;175372
750;99346;243266;210990
751;87477;185525;133567
752;81402;241820;185292
753;89713;252903;129863
754;75808;211361;241523
755;76684;201277;122157
756;87367;275182;145145
757;81871;203948;143680
758;90084;211017;150543
759;81676;272625;189767
760;101518;247133;131222
761;158677;236041;133566
762;82703;239044;148825
763;89151;203697;140352
764;105643;262643;152244
765;110281;160579;194691
766;137652;227078;171558
767;85796;263422;133020
768;98812;275695;118176
769;90930;235994;116946
770;94523;221546;157383
771;111115;218803;133990
772;82655;234674;154299
773;76607;224208;135217
774;69148;210636;138891
775;92091;247420;119537
776;106109;217707;149066
777;79019;236061;140013
778;74891;239200;167338
779;99609;223804;138764
780;89076;198441;172192
781;91700;224228;157932
782;118074;207367;154114
783;83518;189561;188377
784;78907;229299;169284
785;85178;226564;147375
786;88990;241430;144107
787;91489;199380;130500
788;91234;240866;124750
789;111165;190628;171208
790;87505;203330;138671
791;83218;222605;158513
792;90304;207993;134471
793;90203;228368;152767
794;99896;205159;150228
795;79278;198929;133286
796;83801;284197;158327
797;79731;248440;142254
798;103429;212864;142371
799;75759;186105;115859
800;88232;268420;139299
801;100597;227698;177070
802;101632;185539;139738
803;97502;182605;122097
804;72166;212708;151264
805;113029;278479;116480
806;95762;328409;135468
807;82310;239039;122873
808;93712;274453;134879
809;69153;212006;164520
810;83904;277996;149139
811;74149;212203;139585
812;85981;251605;171693
813;81554;287325;110522
814;109535;234600;200540
815;109449;233895;131903
816;100359;230687;241403
817;73926;306479;130512
818;106080;243136;139561
819;98736;226049;130909
820;81069;248549;208618
821;83622;239006;160310
822;94309;282641;131728
823;81952;194602;116920
824;144678;239702;150988
825;78845;212919;244772
826;80877;199464;131600
827;101296;221088;153036
828;88897;257221;130577
829;103604;199908;181302
830;82252;242002;118522
831;91466;272971;152797
832;96121;224831;169830
833;70024;203475;172575
834;84897;240841;136719
835;80082;247146;118494
836;77375;260756;160701
837;87675;189315;139954
838;91044;246174;150338
839;84079;203117;133977
840;82087;199342;133186
841;75710;249735;151274
842;88350;362953;140441
843;93069;308057;151260
844;100198;209193;155986
845;67633;225019;157438
846;95418;322982;162049
847;83116;222858;191149
848;98974;234608;136727
849;86557;190479;136415
850;82089;225363;136718
851;77028;227064;120859
852;92047;200500;137941
853;96411;282497;147621
854;96171;245867;180048
855;92237;348674;128959
856;100868;209798;119904
857;78876;242187;135485
