;EA;EA2;EA3;EA4;EA5;EA10
362;215619;304515;429406;756190;fail;fail
363;248203;301816;433417;914174;fail;fail
364;254155;271601;485058;848676;fail;fail
365;258396;295341;465260;fail;fail;fail
366;198600;277838;515815;fail;fail;fail
367;261489;304076;427301;fail;fail;fail
368;232064;408702;400884;fail;fail;fail
369;246176;256090;422317;fail;fail;fail
370;205252;392425;436969;fail;fail;fail
371;228477;280865;481470;664878;fail;fail
372;254765;261133;442384;796700;fail;fail
373;190210;244042;420123;654112;fail;fail
374;219033;220774;402774;fail;fail;fail
375;209806;292987;640822;fail;fail;fail
376;242166;370651;379377;822039;fail;fail
377;207816;308414;642627;fail;fail;fail
378;291837;293171;451163;fail;fail;fail
379;232104;282431;433135;fail;fail;fail
380;207248;335835;559441;fail;fail;fail
381;215282;331538;457936;753134;fail;fail
382;259348;245651;453444;810161;fail;fail
383;243773;237336;581684;fail;fail;fail
384;203908;241016;456011;fail;fail;fail
385;181777;227265;459799;850710;fail;fail
386;299004;261770;405765;767785;fail;fail
387;250343;249351;364626;fail;fail;fail
388;212472;302078;415605;867227;fail;fail
389;199206;204891;458607;714457;fail;fail
390;283385;293917;429309;fail;fail;fail
391;202724;279849;504423;729505;fail;fail
392;209166;289340;524098;fail;fail;fail
393;229953;276091;406971;894525;fail;fail
394;198310;367109;471329;fail;fail;fail
395;228999;279478;453097;fail;fail;fail
396;256702;269453;396466;fail;fail;fail
397;270471;278103;378275;fail;fail;fail
398;243857;259556;508505;fail;fail;fail
399;267198;365184;392303;800981;fail;fail
400;246459;247734;505898;851804;fail;fail
401;261532;228054;448814;fail;fail;fail
402;213484;257022;360833;fail;fail;fail
403;199961;225490;601825;832701;fail;fail
404;212487;298958;409339;fail;fail;fail
405;181354;265777;468617;fail;fail;fail
406;271724;278273;525675;789727;fail;fail
407;265905;315460;393299;904719;fail;fail
408;198737;388690;849612;fail;fail;fail
409;235944;322048;557060;849044;fail;fail
410;217456;302994;644865;814056;fail;fail
411;288047;322721;765667;872766;fail;fail
412;192711;329394;426508;824998;fail;fail
413;241330;278678;478629;fail;fail;fail
414;208434;303859;640556;fail;fail;fail
415;244359;353282;702363;fail;fail;fail
416;269053;284954;539297;712107;fail;fail
417;208362;420329;448850;fail;fail;fail
418;265920;258329;449103;fail;fail;fail
419;252066;377577;446081;879352;fail;fail
420;276884;275814;431529;693017;fail;fail
421;246674;260707;420890;866546;fail;fail
422;207613;362590;417936;810742;fail;fail
423;200608;313550;487366;875536;fail;fail
424;285589;366927;441284;fail;fail;fail
425;235671;310541;460212;834933;fail;fail
426;216184;243953;514823;884925;fail;fail
427;234316;332470;543913;fail;fail;fail
428;236148;233217;478065;fail;fail;fail
429;223436;375879;387227;fail;fail;fail
430;249800;270779;508359;fail;fail;fail
431;206693;299420;441316;893177;fail;fail
432;276415;298234;666623;fail;fail;fail
433;241804;314719;597966;709558;fail;fail
434;247390;373180;580652;911358;fail;fail
435;260760;282844;459749;fail;fail;fail
436;263225;258410;505736;875209;fail;fail
437;207543;259641;462533;794840;fail;fail
438;198974;315176;436155;708379;fail;fail
439;185260;305804;389566;fail;fail;fail
440;196291;251789;711948;fail;fail;fail
441;214598;264873;446234;835840;fail;fail
442;222242;247644;590002;818088;fail;fail
443;253344;263618;431832;fail;fail;fail
444;230714;227542;481301;833909;fail;fail
445;249506;357441;416120;864544;fail;fail
446;240515;235617;519558;fail;fail;fail
447;238936;260752;535736;767923;fail;fail
448;194474;232192;391097;835815;fail;fail
449;210700;285961;462693;fail;fail;fail
450;265150;240554;562889;fail;fail;fail
451;190301;261311;433793;fail;fail;fail
452;245202;289333;407324;fail;fail;fail
453;234641;328633;524129;fail;fail;fail
454;261288;284069;415114;863168;fail;fail
455;259184;268919;564308;831931;fail;fail
456;201027;328373;483628;fail;fail;fail
457;209895;365681;468788;915241;fail;fail
458;283326;258050;495520;fail;fail;fail
459;213356;273519;513931;fail;fail;fail
460;246865;279288;588178;890464;fail;fail
461;208836;273707;485233;823100;fail;fail
462;211547;295129;491120;fail;fail;fail
463;230326;300555;480289;901559;fail;fail
