227;fail;10896;2500;4654;2367;225;6541;25873;21963
228;908;1516;2643;1523;112;2618;394;3918;7391
229;303;18256;4536;1016;2542;3279;10104;3001;4874
230;fail;12205;95;419;884;3872;3698;1265;749
231;fail;944;3284;30564;8128;2627;6379;38707;6347
232;fail;1806;4095;21;5160;296;5333;21256;522
233;131;232;2589;568;4491;3165;591;31291;2686
234;791;16309;870;7598;793;5256;630;6870;27902
235;1024;1568;6310;506;10338;453;2327;3083;23678
236;120;9219;1630;7794;2712;161;16236;9564;39977
237;26;3529;3168;6551;519;2028;12722;15570;1210
238;1720;2199;1363;885;1422;2958;8616;343;11667
239;326;3459;10433;9854;3717;789;14410;2950;35686
240;8;17463;1045;1051;7377;5262;250;3047;13111
241;1699;16843;135;8463;1350;372;10316;3303;574
242;fail;fail;1678;144;5149;1999;1636;481;801
243;2935;884;453;2089;791;414;19393;69;8805
244;523;176;283;581;4134;817;522;1390;3936
245;fail;3183;8640;807;4262;3433;737;17527;5716
246;fail;2959;17006;716;2565;105;1641;7462;3370
247;fail;3912;405;2087;185;4076;5187;11432;2880
248;3870;2279;797;864;355;251;807;4332;6302
249;fail;115;189;124;34207;12290;1449;16240;11119
250;fail;17093;14610;7601;11505;442;10025;2199;1427
251;167;4852;4863;4425;1670;5690;4799;2806;10534
252;fail;25276;2287;341;4718;1050;71;11356;12346
253;fail;13726;3097;110;12519;208;1650;31295;14947
254;fail;4299;3532;79;260;2619;9613;10930;14141
255;3344;513;11587;556;1044;2097;2440;7852;595
256;fail;7637;10605;383;1654;1457;4491;11570;fail
257;94;10415;10879;1106;150;1310;5155;12315;3882
258;202;3563;1885;1685;4125;7010;5637;7179;25452
259;fail;13519;504;335;19218;1825;389;683;17432
260;342;4648;5561;49;1424;11127;1226;3739;8797
261;fail;417;10319;1185;183;251;1653;1058;1738
262;1874;161;3206;270;1163;1310;1825;1028;1051
263;480;1357;2567;697;307;145;595;6957;20039
264;fail;948;468;6208;1642;4043;2590;749;415
265;fail;4406;636;1824;377;522;6034;14534;7965
266;fail;1989;1530;2893;10764;359;11768;777;14467
267;fail;1628;358;143;109;2019;162;9214;1851
268;1221;2329;4566;1851;1905;5298;1802;4962;4957
269;838;79;427;284;889;1382;825;1993;fail
270;fail;259;5016;1581;5905;4292;2966;21608;1435
271;fail;192;431;1786;1277;2163;2380;1038;1943
272;fail;3084;182;852;1780;5158;2282;2198;2865
273;837;605;10706;789;491;1481;1536;66;531
274;423;1426;202;2202;292;4625;3732;2258;3113
275;936;14095;3665;1143;469;4006;2069;372;445
276;fail;2165;3061;10763;10896;5450;10319;3059;10607
277;955;240;9381;14782;519;2592;1372;8415;22937
278;2387;15863;2602;759;163;1311;3775;11651;2966
279;fail;1973;1411;6391;2610;690;5912;18481;13150
280;196;195;4933;14328;3997;4915;5464;13860;8819
281;3607;323;1138;5317;1216;2066;2900;2548;16058
282;207;16979;315;4820;508;10151;258;15068;5133
283;fail;5311;1896;982;2041;3566;2214;16590;3146
284;fail;14453;5015;1334;1279;15476;1324;152;3366
285;1202;4189;2291;290;337;1209;3132;67;3842
286;265;24572;612;2266;13174;1498;150;3099;998
287;1000;1761;476;1629;4810;2116;8887;630;52304
288;fail;770;1692;86;1510;940;469;7955;5192
289;904;901;1181;68;58;642;275;1343;fail
290;329;5459;1165;10570;7035;662;407;30962;3040
291;2134;433;1624;820;3461;4768;836;1794;784
292;161;1307;495;8565;4905;1322;7309;2288;4647
293;262;1047;9065;8857;2401;23;4092;13866;6437
294;fail;61408;989;2800;1676;236;6333;835;12386
295;fail;819;1367;3376;513;3583;1985;1261;24977
296;fail;2175;15750;821;5573;662;8327;45304;29849
297;fail;3299;1483;412;2279;987;1116;11505;fail
298;1527;517;1573;524;1172;1454;1054;12431;4020
299;52;1037;157;972;1236;3879;1575;2424;9623
300;fail;1064;318;771;375;354;4176;718;36994
301;4766;369;461;1469;1541;2885;678;44991;2411
302;670;204;4314;632;539;836;855;5899;769
303;1263;4473;967;428;2345;4999;2586;4466;15970
304;fail;17260;1089;2738;2142;17752;13624;9389;7036
305;fail;899;2754;13647;979;7381;6419;1668;5744
306;527;899;117;4882;862;548;6073;714;13304
307;139;2334;4800;1849;4727;6252;1690;17749;5559
308;1398;777;895;1758;50;2866;3951;13472;1533
309;1492;1404;5093;3587;676;4897;2873;747;34804
310;fail;4453;24644;11425;4960;6396;2202;17739;27951
311;fail;5265;1359;912;2674;3092;70;21529;9904
312;152;3120;497;2484;2606;4651;4907;6543;42488
313;fail;21162;997;1487;11389;16409;25586;10637;1868
314;1987;2393;2914;2280;4222;5693;4326;11111;51302
315;3061;8180;714;21613;634;255;195;926;14423
316;fail;921;801;479;392;11754;12167;5737;17553
317;fail;2949;1451;1323;5202;70;218;4576;32906
318;fail;2187;18;760;632;12173;7327;7064;13692
319;fail;794;7483;114;4805;1203;3125;3831;20868
320;536;2400;1574;17803;1162;788;1357;3802;5002
321;3155;2477;2368;553;666;819;10597;2427;978
322;fail;52894;16175;10476;548;917;2312;2504;4758
323;1305;21788;1825;3591;3904;334;2712;1214;17106
324;895;296;229;202;4193;1276;1787;31856;9968
325;fail;2012;2009;15198;1378;6727;1327;22856;6779
326;1352;734;1180;427;1117;2086;3618;22123;36900
327;fail;2636;2896;385;7924;6771;2157;1952;8821
328;1239;5517;189;1611;1554;536;1457;7226;11505
329;3077;22236;112;435;37;6154;228;12546;56577
330;fail;7047;18159;814;4264;8874;24240;11459;3176
331;1509;1847;1671;373;2756;7045;45;13697;11728
332;445;109;6657;644;6817;1060;1186;526;19972
333;549;6468;175;3417;2523;5944;4940;27861;307
334;647;399;2340;1015;4453;1971;981;1946;6148
335;781;400;200;3701;1357;4221;14575;12166;14
336;fail;29251;108;1483;64;3056;5755;10477;fail
337;374;246;1440;619;816;942;352;952;5962
338;1491;396;690;697;3042;2270;1591;50;38648
339;fail;927;1205;794;132;6528;4251;1506;14479
340;fail;1495;373;2278;784;853;2409;16522;13417
341;311;993;456;1118;1471;813;14147;3468;3982
342;1864;3367;2737;9113;7121;1116;163;24306;3666
343;870;22046;3249;18172;435;2329;6342;44371;19787
344;fail;13480;660;5967;664;7780;821;12107;13121
345;104;14077;1540;179;1728;6359;4580;5304;15138
346;1121;5212;7327;534;3240;12103;4023;4755;17133
347;2074;3469;1058;759;10603;3614;17405;32914;11225
348;292;7036;10955;3091;647;6733;67;5583;342
349;359;1674;150;136;1540;8606;194;1126;12830
350;867;34038;155;2120;76;795;1223;2138;412
351;146;8145;1247;530;8089;185;1784;896;2512
352;40;2179;1667;1299;1400;1649;1403;74;12455
353;fail;1690;3960;655;125;15845;1041;8030;6747
354;fail;848;591;871;1034;2992;165;12396;55590
355;167;1049;1578;96;905;439;5174;15084;2163
356;450;8287;3343;637;1515;5774;2485;9430;6781
357;2927;1126;18096;1185;15679;2315;1760;4422;27343
358;fail;1665;23095;1144;9402;7444;1676;5921;858
359;fail;15365;353;11058;6227;1889;16954;7029;8137
360;fail;963;387;4264;538;2153;98;2282;52698
361;fail;113;1647;2101;2473;1906;3831;15754;3235
362;1835;9782;365;295;80;3144;5244;4216;7846
363;fail;2183;287;1202;2296;8622;5806;2544;725
364;695;17324;8642;6016;1226;851;5561;7072;6103
365;fail;40764;9259;13099;341;9839;4268;6524;10504
366;303;1097;2412;574;276;4028;1907;14867;2198
367;fail;2982;8627;4350;2931;1045;12152;8171;13322
368;fail;3170;11211;4293;32121;1522;4492;15984;872
369;1885;1188;3576;229;8173;1553;1789;50622;11193
370;639;2126;1670;932;1416;2315;490;17991;2208
371;2496;5627;6006;2191;717;1478;990;4001;8174
372;fail;12305;1990;4378;13371;74;4712;915;fail
373;1065;34484;8978;534;2000;2792;11316;2124;6884
374;2302;9390;1738;15047;5094;8224;10234;1560;4197
375;958;315;4158;155;11993;4889;4274;2411;4280
376;404;5186;17063;8584;2470;1730;23517;4028;4885
377;fail;3498;568;8501;2485;795;1752;5274;201
378;fail;4355;1955;7845;3862;5325;40273;17768;14417
379;1688;3889;2784;541;4385;6308;11215;16815;57537
380;105;35622;4025;22894;6541;119;3368;13049;3278
381;fail;507;2310;1588;415;1128;6000;4159;30690
382;fail;1931;2522;3867;241;241;4853;436;24357
383;4099;1497;881;452;682;4820;3946;5176;115
384;125;8835;2985;845;3405;544;684;1750;41830
385;456;51138;1088;1802;3572;244;784;14129;1835
386;fail;8190;2016;11127;4396;5800;5277;2923;741
387;870;814;15115;1298;1511;5947;597;6652;24709
388;fail;11031;14116;1237;2081;965;2860;19677;4855
389;fail;13413;9742;508;3302;9385;2348;16586;9444
390;75;3821;248;927;1263;2059;70;676;23042
391;176;6063;4132;7295;1210;4913;6390;2921;10009
392;3344;3162;1345;3463;2305;372;3103;480;4491
393;452;16296;40;7005;17886;885;17150;2427;46696
394;fail;5903;281;3457;726;2955;861;124;66302
395;1170;6383;45070;6500;1170;2371;436;1044;12915
396;fail;298;2155;2215;3098;12441;5033;12391;6742
397;fail;1249;2150;470;2795;52;12898;1365;5306
398;fail;4623;1463;163;4698;3440;4634;8730;8795
399;1148;529;320;1176;991;573;714;14662;2625
400;859;2893;242;786;2766;1038;3546;1092;11428
401;fail;21843;1455;703;2718;3769;4506;8243;9505
402;971;2355;270;6277;885;1305;6419;1145;9630
403;2884;2640;3609;6961;2427;1057;19965;25399;667
404;fail;2252;42460;67;3692;3974;1121;1033;11174
405;fail;1162;689;9376;12471;2366;18051;1991;6892
406;655;4658;623;1724;3312;6267;2577;7922;6018
407;fail;194;328;1745;91;1113;18378;2545;3100
408;fail;9147;14197;12640;9203;5608;1674;3829;5900
409;fail;1095;6722;2235;13458;3513;3654;4231;7905
410;1023;25534;688;1498;2320;5650;9972;1970;25641
411;1433;481;1818;14036;217;2631;1126;3040;11680
412;fail;1128;966;5412;1992;461;1086;4910;2774
413;fail;5789;7136;3955;213;5893;149;3738;3521
414;535;1213;618;211;155;377;5123;5828;27787
415;99;2691;3301;656;811;586;7776;8833;11459
416;820;125;5950;421;1601;11306;357;7595;1340
417;fail;209;997;7522;680;3141;593;17835;235
418;889;539;2630;918;198;3188;6110;1139;7604
419;141;863;898;801;190;1482;1904;8425;219
420;715;2135;1732;1920;3569;2903;3538;8332;1277
421;381;3677;2045;22974;1616;6201;4700;856;4651
422;fail;20969;5036;2341;1271;1923;1258;14825;2135
423;261;749;255;567;131;1043;3640;2724;5656
424;fail;5858;5332;5099;3758;9573;4859;4081;19767
425;fail;1047;5833;1179;3292;5783;38061;15619;1943
426;110;34641;28485;159;238;655;9713;14326;5116
427;678;816;3826;2186;3313;3204;4096;11219;24532
428;fail;217;1143;6176;141;5980;2425;2741;fail
429;fail;7777;15244;4180;957;1559;74;17309;1874
430;fail;528;10208;906;1275;399;6499;9393;33150
431;fail;353;4552;612;1311;460;9478;13961;11071
432;fail;1078;1714;161;2777;4398;456;2593;2251
433;fail;235;5309;2611;9398;1387;9650;11679;15730
434;875;1529;2121;4142;698;2788;13730;15664;1448
435;276;1093;474;6752;1710;160;725;5942;2129
436;fail;322;1838;1240;508;1202;1887;2843;18907
437;fail;7757;7447;10135;4479;8758;5067;221;17016
438;1176;1097;7537;65;1986;351;7301;2992;3948
439;763;1197;406;1684;801;11316;907;3635;17504
440;922;1486;11635;723;4063;2842;2157;1096;353
441;1267;527;2283;4085;842;917;8912;2599;6425
442;fail;3663;4655;16638;117;3196;4366;3719;23888
443;3070;2740;4275;19512;361;2550;1171;7830;2312
444;fail;23909;2301;945;733;1292;3123;906;13543
445;1409;6718;7361;12;2449;3210;3811;24240;8432
446;3279;2103;857;1574;185;819;3919;51603;8044
447;fail;24360;13283;3786;7179;1023;2476;1404;1138
448;fail;3973;4674;5206;816;26;1326;48108;8687
449;974;333;803;890;22424;2145;6228;4943;1498
450;1001;7662;85;342;628;252;951;1698;2546
451;fail;21900;246;8989;404;4924;23982;4873;5445
452;fail;4453;6695;1142;5634;626;578;6787;1349
453;fail;1377;4272;4330;2641;369;4436;35802;3683
454;549;735;284;266;2214;1963;4976;423;68875
455;1004;14102;6223;68;2585;3644;192;2090;30647
456;2733;1753;148;4042;2571;318;353;3451;3851
457;fail;396;210;3137;445;12791;1636;177;4076
458;1393;2031;451;491;226;998;11394;2618;30644
459;265;313;1628;11354;1826;6287;1006;6832;8226
460;383;1216;302;703;5288;300;1837;21967;11228
461;631;1455;3034;943;6472;6476;2195;19119;5700
462;fail;19026;209;2905;506;2216;1457;5524;10009
463;955;203;3151;1102;2292;1364;906;2701;15462
464;fail;618;1428;7624;618;2643;5751;3571;36936
465;664;585;4109;380;1730;384;2403;29695;3553
466;691;1882;548;3601;14897;692;10342;2537;8892
467;878;1497;4361;1111;174;4504;1842;3715;838
468;925;1135;2235;967;11365;2541;4121;2236;667
469;fail;8438;16999;6028;876;9891;17874;5385;4433
470;909;124;10730;8087;4505;482;1306;21265;3260
471;fail;1729;3533;416;13433;20247;5791;15111;11120
472;fail;3646;493;8135;9168;4619;1864;39870;9985
473;1159;1846;763;9598;3279;48;489;892;4236
474;fail;31321;11604;968;721;406;2020;10379;10743
475;738;271;5347;2856;656;11341;29355;4536;22417
476;384;376;529;3856;307;3362;3630;502;502
477;1045;1778;2923;4748;8834;21498;385;6006;4386
478;211;3920;12581;206;2945;4297;11676;7467;68310
479;2487;6476;1276;2493;3560;6393;8769;12872;11923
480;fail;830;3296;1749;12590;688;14590;9714;37010
481;680;1495;946;5307;3186;355;9577;24627;29306
482;fail;2303;1975;490;1778;822;6600;5043;51199
483;119;1176;20497;10257;722;1395;6266;5600;21888
484;fail;110;858;9281;1028;3665;4621;17576;918
485;fail;1773;242;1605;18684;344;157;1020;2328
486;72;7338;325;218;3401;4701;5885;1197;32812
487;588;203;180;85;79;2537;6347;9477;1937
488;fail;68619;2382;8088;430;1237;465;13880;18563
489;1199;3137;364;185;1906;3066;2308;11577;1442
490;fail;563;61;8472;638;1453;6621;5542;14985
491;fail;4368;9109;357;9951;3777;1054;58;14120
492;529;5156;375;4906;378;2068;10800;547;6829
493;fail;3989;4488;1685;5238;1259;3603;28331;9860
494;296;3384;495;3196;1035;61;3776;13694;16844
495;fail;2547;1775;3214;5352;1350;364;9247;3340
496;411;18075;1228;4983;5154;275;2918;32093;55534
497;740;73;1197;7550;374;7189;796;13350;6929
498;672;763;1114;4285;4364;10561;7044;3459;17449
499;fail;251;2309;15269;7780;2888;1236;3222;6831
500;1795;18358;1470;867;714;355;2709;4056;14963
501;33;547;1594;4141;1121;5593;9595;2838;336
502;2139;7402;15097;361;1460;1432;7450;3116;62056
503;1310;19973;1002;1384;5049;961;2797;7469;1542
504;fail;1535;695;6174;85;3332;1997;1579;22008
505;269;155;278;535;1992;580;867;8102;1059
506;955;4446;575;112;4703;1426;14883;1318;3089
507;574;18855;1390;7583;942;2344;412;2899;14384
508;840;7197;15255;1301;232;4467;1021;7833;7046
509;56;115;886;1983;12307;168;1051;6975;6003
510;1793;4474;137;1498;2188;2785;1017;10893;2298
