;pmut1.25;pmut1.5;pmut1.75;pmut2.0;pmut2.25;pmut2.5;pmut2.75;pmut3.0;pmut3.25
266;450;383;1190;1286;282;570;863;1235;3293
267;1744;779;257;134;1049;269;304;395;717
268;1107;253;302;1130;359;742;430;2330;740
269;856;107;654;117;291;140;293;289;689
270;2242;652;4524;354;1029;260;1129;1060;284
271;288;1079;942;375;622;592;364;1150;417
272;44;608;574;336;119;216;70;1159;99
273;1630;2433;2799;1575;906;444;969;1685;318
274;1134;1053;1630;729;1001;316;160;550;358
275;604;1119;248;147;1611;451;1884;152;217
276;682;436;123;527;1593;443;229;461;1680
277;1628;721;1179;264;350;1576;1781;1455;1064
278;461;516;288;244;219;114;271;210;263
279;3814;2429;676;1531;625;163;506;203;220
280;2892;1039;829;522;134;1391;424;270;807
281;784;868;704;86;309;794;658;305;522
282;442;1227;574;92;309;341;254;312;497
283;267;1753;319;286;146;281;907;579;322
284;71;543;416;534;630;1081;483;381;288
285;194;285;663;298;1037;342;160;1210;817
286;1851;612;541;169;140;279;679;505;394
287;63;412;55;253;201;284;651;82;868
288;1053;927;953;881;418;163;621;3347;1212
289;646;271;1239;436;616;591;82;681;489
290;144;1211;326;353;477;348;376;444;428
291;383;1095;247;686;583;1221;137;544;585
292;3335;536;316;207;169;892;211;795;208
293;802;846;818;350;529;869;304;246;867
294;104;116;567;437;651;359;615;333;547
295;733;152;79;394;116;616;992;98;214
296;593;709;697;80;310;939;2423;1177;799
297;2403;1848;251;226;518;392;3481;1676;107
298;130;1059;78;360;235;1005;419;86;853
299;533;921;923;273;191;442;543;1122;226
300;338;650;749;422;1746;634;532;758;472
301;1612;59;162;449;373;496;462;320;913
302;414;395;1824;1110;408;787;168;99;229
303;214;2014;481;203;556;179;217;195;131
304;463;358;80;69;184;152;778;246;369
305;508;424;649;226;461;441;519;427;312
306;1006;1883;444;2629;194;667;281;863;1835
307;1278;1647;446;912;246;306;403;557;1547
308;761;127;212;281;831;300;316;249;461
309;1206;716;228;108;360;367;592;199;900
310;163;1314;501;253;737;1120;321;167;386
311;1422;758;505;551;333;1412;808;2116;558
312;2126;2870;1083;880;220;175;1604;506;2876
313;651;974;665;101;192;214;277;567;218
314;1590;624;659;914;381;725;545;2207;566
315;45;1169;307;2030;447;298;190;369;404
316;1308;728;2915;3405;724;923;448;1207;1058
317;1466;1816;95;2323;1025;1076;328;147;1638
318;592;1557;501;492;593;1237;886;520;1193
319;291;914;2012;1342;233;1396;239;908;1131
320;268;190;803;477;365;1088;597;1459;318
321;1284;500;574;324;560;1706;1351;431;1185
322;452;60;229;117;187;411;908;485;234
323;2033;616;368;947;354;303;300;565;588
324;211;773;272;245;609;2032;244;852;157
325;272;106;204;1042;1549;515;321;158;174
326;7359;901;572;652;2420;1810;530;1748;399
327;2834;676;220;617;927;265;2580;277;781
328;924;529;993;115;401;436;524;319;161
329;499;152;606;195;245;82;700;537;1060
330;530;367;147;239;287;559;305;533;164
331;152;380;114;274;419;471;363;128;557
332;345;616;409;486;108;95;471;1001;366
333;222;1280;330;65;239;546;478;528;399
334;1796;1582;397;511;1012;475;265;1826;461
335;432;519;1669;662;676;1118;688;621;2289
336;802;709;185;276;225;663;576;865;783
337;1173;625;220;221;345;575;444;586;78
338;209;410;117;91;819;839;1792;689;644
339;1082;360;1055;257;360;257;516;258;360
340;258;834;149;1313;521;935;1490;1214;767
341;1023;496;187;285;301;511;374;83;388
342;481;570;734;437;415;186;412;844;454
343;1045;1373;346;2222;328;498;1946;2288;703
344;1155;1789;178;726;179;825;77;845;179
345;1567;131;561;641;150;596;580;630;298
346;3051;103;1507;2648;744;97;263;522;836
347;556;334;253;219;593;2473;1340;861;962
348;4240;438;1375;371;175;624;472;446;936
349;541;669;108;523;137;418;830;23;411
350;763;1112;673;789;1742;978;631;547;1088
351;1204;245;190;401;791;503;602;385;668
352;175;486;93;1421;283;547;218;240;1312
353;833;383;147;3878;2081;1124;629;199;1430
354;342;1605;842;523;375;502;479;520;425
355;88;284;69;161;216;403;931;49;1799
356;358;788;222;246;496;203;768;470;428
357;745;1209;1250;2578;299;91;1911;332;76
358;422;1940;944;82;756;1372;1187;3016;533
359;1957;1176;246;662;2504;1051;515;314;1091
360;104;356;426;179;1115;851;803;980;2791
361;178;122;1376;425;187;572;399;712;526
362;293;1205;420;187;813;938;2120;1230;1463
363;546;272;229;902;639;132;908;273;908
364;1771;424;473;412;159;40;527;1860;1419
365;285;521;152;164;124;270;1122;249;475
366;1740;192;772;776;381;1256;422;846;1287
367;650;460;1458;239;321;159;136;329;183
368;250;1066;257;296;1390;69;693;430;129
369;724;516;475;45;335;788;132;466;261
370;1016;1463;833;945;347;274;920;1623;472
371;915;96;1035;788;971;648;320;668;1043
372;221;248;826;226;892;638;165;312;445
373;328;146;741;597;1158;309;571;2466;1147
374;82;156;281;809;94;438;349;231;320
375;446;890;41;244;288;108;208;1057;1008
376;475;1304;256;219;283;246;263;723;897
377;1482;1226;972;72;128;194;593;649;304
378;2118;1009;3012;668;834;1037;1269;456;2856
379;163;541;709;538;145;470;1639;1110;614
380;2635;325;1997;3058;2802;419;636;445;146
381;1744;219;1672;382;1011;378;1096;814;489
382;859;1048;273;204;447;200;528;669;548
383;426;81;672;202;607;162;363;666;487
384;1270;416;547;1048;834;1129;992;608;220
385;847;445;756;565;60;562;512;1209;1457
386;294;332;2434;220;713;612;359;1058;2770
387;1010;743;267;560;756;143;287;188;604
388;1405;787;291;721;1040;211;286;294;453
389;476;2982;817;1116;331;1852;871;349;422
390;1119;325;394;407;294;989;148;169;723
391;2314;1477;634;610;1696;184;149;575;310
392;580;457;222;241;243;85;892;236;213
393;1473;491;116;276;2814;777;2100;205;580
394;930;1551;293;667;660;279;1152;360;1340
395;1105;2432;574;1390;374;925;595;329;748
396;134;381;191;699;387;215;1114;870;688
397;944;86;1363;512;307;290;1219;383;140
398;436;829;761;411;2018;211;1089;2563;2526
399;1178;416;213;503;417;415;841;254;823
400;1036;236;849;255;163;951;636;452;441
401;1178;790;783;2097;870;634;899;525;535
402;162;1017;957;602;327;249;405;258;641
403;1280;1240;1125;774;817;954;1497;377;696
404;682;485;1038;837;573;2284;340;237;1000
405;1370;386;364;478;173;243;295;460;525
406;1228;440;214;397;1286;1218;1588;616;721
407;871;443;1023;1220;159;498;1005;355;816
408;506;502;393;271;224;28;237;365;788
409;380;305;123;147;745;204;380;319;252
410;742;571;617;1167;573;2530;308;1680;548
411;235;247;342;23;262;679;548;461;331
412;236;3351;211;1236;459;388;720;284;342
413;1777;1192;68;543;1116;563;216;845;1436
414;1687;791;1663;705;1202;262;357;2859;250
415;257;252;471;372;360;114;315;348;504
416;575;110;130;969;470;340;1106;3452;419
417;1504;2237;395;1535;1246;2911;49;357;632
418;920;190;824;171;123;204;494;831;314
419;2372;1448;1383;1443;1538;1113;608;428;1723
420;357;37;745;185;236;172;1072;74;308
421;1419;923;50;1562;345;141;176;604;553
422;2167;2458;108;289;1094;800;1774;771;157
423;136;1075;626;479;173;1228;663;333;603
424;526;428;510;662;595;168;553;54;345
425;2044;385;554;401;58;463;1364;324;534
426;179;2700;2869;241;962;2034;332;775;2668
427;82;309;94;1011;176;193;211;374;712
428;346;299;484;334;507;1499;70;288;408
429;25;654;134;857;475;82;214;269;423
430;1427;275;898;554;250;1211;167;1109;545
431;900;136;350;163;1186;139;220;536;170
432;207;373;372;460;69;153;580;630;286
433;579;366;395;523;436;186;190;322;563
434;1029;498;177;370;281;187;229;281;658
435;2052;210;206;718;648;312;289;395;397
436;1471;658;1216;259;377;435;178;138;364
437;269;479;367;105;259;899;262;148;580
438;1257;158;351;344;303;132;449;50;917
439;3449;714;330;366;404;1487;473;1168;552
440;268;409;406;382;366;490;1379;291;332
441;1872;910;407;591;1491;191;662;617;1844
442;3544;1596;170;1937;407;855;327;920;3306
443;162;542;456;1589;1429;1824;494;849;612
444;3377;742;1181;183;763;703;2887;255;1770
445;2373;154;155;602;407;605;766;488;249
446;365;2066;225;4751;214;345;439;1536;1225
447;1458;1322;781;1349;646;238;600;924;602
448;181;479;374;327;655;185;1282;2683;862
449;194;1059;223;433;430;900;239;1472;277
450;216;391;409;251;449;268;554;443;402
451;2216;639;2847;197;809;1105;875;1216;2884
452;160;522;459;80;3087;314;671;525;676
453;509;255;1473;520;649;418;762;863;1430
454;494;248;3299;286;249;93;256;1706;896
455;417;795;1621;745;1124;429;2158;2754;1171
456;1428;2585;156;476;1086;885;122;1786;167
457;982;381;1368;956;321;619;463;848;1451
458;338;871;154;313;285;177;2011;618;1165
459;186;1267;454;546;609;479;422;484;313
460;86;482;399;216;192;556;271;203;912
461;103;257;246;382;220;1270;408;427;330
462;3992;2008;611;248;251;220;1403;1191;522
463;2902;215;119;1123;557;343;210;556;1214
464;434;427;170;957;156;162;336;135;558
465;116;673;196;608;635;643;189;558;155
466;18;908;1503;1344;258;649;345;545;592
467;927;707;309;370;113;870;690;917;518
468;538;251;245;323;476;211;341;758;848
469;172;501;442;289;105;1461;662;619;1910
470;293;655;435;485;456;272;1507;83;234
471;250;308;1098;60;257;580;462;890;260
472;2900;1889;996;143;171;793;563;426;500
473;6531;1926;840;299;318;1790;1805;3062;293
474;312;417;305;297;539;854;613;627;971
475;1669;270;300;404;372;664;131;585;237
476;855;2190;148;72;252;693;524;364;145
477;7769;402;155;1317;920;839;1055;1024;3181
478;321;511;250;834;141;64;120;228;226
479;1661;928;3914;605;3436;1011;1950;1054;226
480;453;8077;2645;1605;297;1667;666;369;1224
481;938;357;265;159;145;587;475;490;220
482;963;709;455;496;312;147;916;466;301
483;394;357;507;363;126;416;198;513;582
484;834;242;261;434;84;517;1265;317;678
485;1984;28;100;793;577;894;135;130;187
486;140;224;422;392;475;442;490;880;213
487;644;494;582;426;877;677;2521;579;114
488;2988;438;806;155;642;817;341;349;1318
489;2032;2198;359;346;245;385;3408;344;582
490;1436;266;284;286;935;281;243;332;763
491;1950;362;1096;877;463;960;21;1756;1593
492;242;3339;163;230;217;707;767;1810;408
493;5484;4287;1273;481;211;224;271;385;1817
494;684;454;147;549;175;387;323;942;599
495;167;2132;971;582;839;1229;484;927;892
496;797;380;233;655;191;276;778;507;591
497;456;616;1242;508;1322;579;1011;396;315
498;645;2056;914;1988;1111;358;192;849;803
499;880;627;57;302;1041;947;293;302;366
500;526;1252;2846;536;651;1659;1657;423;63
501;1333;219;352;71;1097;276;281;317;991
502;1802;1157;583;621;715;701;33;369;1030
503;694;269;1020;472;1283;1542;978;649;429
504;991;380;341;965;905;143;256;641;1231
505;861;849;423;1014;348;447;869;674;1902
506;1438;489;452;1043;354;421;102;2507;366
507;2279;545;98;151;354;863;499;1789;955
508;751;253;61;901;373;886;262;1820;1093
509;374;1246;1148;763;1211;193;825;839;2262
510;760;93;145;263;1184;1021;118;261;887
511;1221;511;2348;248;316;95;1068;520;1883
512;1557;1335;453;680;323;267;490;751;494
513;169;1566;1118;385;117;466;484;787;70
514;259;739;289;698;309;309;392;972;241
515;1475;547;808;1042;325;296;1323;3053;3567
516;1678;267;268;47;728;690;837;926;1543
517;120;407;167;1821;959;330;1033;146;576
518;1325;716;358;232;217;614;220;367;365
519;2568;1048;512;1317;273;378;243;1466;927
520;1047;2750;720;476;682;255;51;704;238
521;366;720;1308;824;360;451;1287;540;604
522;180;174;186;559;128;583;701;1042;752
523;1330;904;411;276;303;435;230;153;489
524;409;108;209;640;172;61;292;671;1167
525;1694;259;635;628;600;1503;244;1025;664
526;347;199;321;227;1195;165;235;290;514
527;1046;83;1302;512;169;172;863;477;239
528;2422;1081;1129;247;613;121;766;320;277
529;3717;1145;463;175;486;1189;826;1250;439
530;298;1263;320;729;654;539;903;220;936
531;918;857;63;232;371;472;1387;460;231
532;467;798;411;739;619;168;509;475;475
533;978;417;356;393;261;182;148;253;289
534;770;1733;88;216;319;1067;612;1214;293
535;597;326;401;731;569;592;535;938;710
536;966;375;101;1313;953;552;199;411;3687
537;328;2286;722;1643;931;1863;438;1347;1150
538;392;547;132;498;1007;1619;540;235;259
539;593;359;132;134;489;677;672;157;375
540;194;596;3083;633;472;1852;306;450;128
541;818;526;590;268;785;167;310;244;567
542;630;500;1023;718;230;1179;989;934;168
543;887;366;658;464;459;244;280;1332;195
544;300;1052;307;123;523;585;436;777;355
545;450;1174;142;131;451;109;252;861;745
546;192;602;237;120;660;344;115;232;854
547;167;270;1007;502;545;137;1703;157;1112
548;397;485;367;352;585;176;108;84;824
549;782;525;470;315;249;837;210;82;525
550;457;234;242;1166;124;154;402;469;595
551;1067;320;76;935;4516;3557;1175;910;882
552;590;564;411;935;1011;347;463;190;324
553;323;325;271;254;372;353;691;380;1320
554;222;231;241;221;878;148;278;267;1056
555;709;593;393;1223;330;727;433;230;420
556;1616;591;487;610;1434;307;791;585;234
557;2106;1306;341;526;1828;3948;245;251;293
558;889;587;401;1259;297;1559;905;608;1641
559;247;135;284;873;1371;156;349;207;534
560;362;470;305;1388;818;815;919;883;1168
561;695;2631;910;495;725;400;1100;432;211
562;598;130;160;230;152;287;350;205;568
563;733;149;944;162;366;374;430;552;142
564;129;229;232;412;313;283;37;314;1419
565;409;315;309;239;91;165;115;338;330
566;1037;184;997;114;1848;418;283;334;414
567;1253;1842;1576;1306;1575;404;691;222;1504
568;246;1694;535;369;116;508;590;455;695
569;423;136;477;516;848;551;214;478;588
570;994;279;1285;239;402;4022;221;290;960
571;146;302;118;494;493;528;608;282;192
572;396;624;102;932;486;577;789;522;957
573;312;419;224;352;314;100;536;355;611
574;32;695;1016;497;711;452;389;935;1206
575;327;1239;519;1274;1599;225;730;588;358
576;303;896;433;229;191;147;553;308;283
577;226;107;2361;1833;775;285;1129;402;341
578;512;672;469;64;170;1370;462;309;159
579;702;82;989;93;168;92;80;251;850
580;127;1306;43;113;184;277;685;318;382
581;1451;1048;213;1137;1820;136;293;1203;208
582;492;621;204;174;663;313;521;439;577
583;685;298;995;115;885;468;327;608;648
584;632;921;784;265;1432;358;835;74;284
585;605;1879;1253;700;612;755;1088;946;783
586;991;1221;125;463;138;218;417;99;1137
587;1104;315;1280;176;293;351;731;886;252
588;466;430;281;996;214;615;1029;922;518
589;100;3684;425;174;1260;541;226;214;247
590;1102;342;380;1214;122;424;640;165;84
591;1935;1247;613;831;755;376;246;388;715
592;155;2279;375;616;467;741;1261;1309;921
593;1078;327;323;313;466;676;278;303;633
594;374;341;601;220;78;462;658;333;1393
595;443;1033;1067;1207;566;592;684;797;6
596;830;996;603;1654;1579;235;1822;1790;1076
597;473;759;277;349;298;173;120;184;806
598;116;409;2543;829;129;225;982;535;904
599;5220;190;1141;280;654;122;1174;999;1287
600;2602;688;289;540;606;362;510;293;388
601;346;278;277;345;165;292;403;129;241
602;357;919;106;2528;498;197;1243;937;1336
603;777;111;489;916;329;201;158;483;404
604;413;916;179;441;281;571;542;186;851
605;422;224;866;530;196;1536;496;252;393
606;455;516;622;124;1060;1847;484;799;504
607;530;357;64;122;1151;849;338;551;356
608;701;88;291;771;338;374;154;517;979
609;237;209;774;153;284;548;323;508;1002
610;786;311;1909;400;1427;911;342;838;433
611;289;135;496;881;489;1687;352;131;696
612;823;649;2195;848;2768;1081;163;227;1002
613;723;345;513;381;647;863;1869;932;1332
614;426;428;391;693;131;539;166;99;169
615;610;578;898;1161;551;930;295;1372;975
616;228;44;374;839;226;354;215;178;384
617;101;102;441;670;233;903;812;693;1155
618;168;417;383;1895;421;223;481;202;385
619;71;132;574;1330;381;232;187;358;360
620;2526;412;140;556;315;160;186;191;254
621;2598;2292;727;634;283;1481;1071;344;169
622;132;473;109;722;208;211;411;716;526
623;527;185;628;298;411;469;108;384;866
624;273;403;359;57;604;110;323;1635;455
